employer;hits;queries;agency;profile_match;inn;egrul_name;okved;region;ruk;ruk_post;match_score;sugg_total
АО ПЕТРУС;1;главный механик;;;7704521059;"АО ""ПЕТРУС""";22.22;Московская обл;Шуйский Максим Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО ДальСтройМагистраль;1;главный механик;;;7707309950;"ООО ""ДАЛЬСТРОЙМАГИСТРАЛЬ""";42.21;г Москва;Калимулина Юлия Евгеньевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ИП Перекопская Людмила Михайловна;1;главный механик;;;;;;;;;;1
Кемеровское Акционерное Общество Азот;1;главный механик;;;4205000908;"КАО ""АЗОТ""";20.15.3;Кемеровская область - Кузбасс;Вишневский Андрей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.25;1
АО Завод Труд;1;главный механик;;да;6829024766;"АО ""ТЗ ""РЕВТРУД""";26.30.5;Тамбовская обл;Савков Игорь Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;8
ООО Сибтрансмонтаж;1;главный механик;;;;;;;;;;8
ООО Современные Технологии Земледелия;1;главный механик;;;;;;;;;;2
ООО Паритет-Плюс;1;главный механик;;;8603104928;"ООО ""ПАРИТЕТ-ПЛЮС""";43.31;Ханты-Мансийский Автономный округ - Югра;Мартыненко Дмитрий Сергеевич;ДИРЕКТОР;1.0;8
ГБЦ;1;главный механик;;;;;;;;;;8
ООО Инженер;1;главный механик;;;6027181965;"ООО ""ИНЖЕНЕР""";71.20.5;Псковская обл;Дегтяренко Ирина Владимировна;ДИРЕКТОР;1.0;8
ООО М4Е;1;главный механик;;;;;;;;;;4
Барнаульский молочный комбинат;1;главный механик;;да;;;;;;;;2
ООО ТК Универсал;1;главный механик;;;9724231055;"ООО ТК ""УНИВЕРСАЛ""";46.52;г Москва;Бондаренко Андрей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО АвтоСпецГабарит;1;главный механик;;;5027296523;"ООО ""АВТОСПЕЦГАБАРИТ""";49.41;Московская обл;Швец Екатерина Юрьевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
Диалог.PRO;1;главный механик;;;1841093767;"ООО ""ДИАЛОГ""";47.11;Удмуртская Респ;Козлова Наталья Валерьевна;ДИРЕКТОР;1.0;8
ООО МФ Система;1;главный механик;;;3015048787;"ООО ""МФ ""СИСТЕМА""";46.65;Астраханская обл;Луценко Татьяна Леонидовна;ДИРЕКТОР;1.0;8
АО Каширский Завод Металлоконструкций и Котлостроения;1;главный механик;;да;5019003188;"АО ""КЗМК""";25.30.1;Московская обл;Белов Сергей Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;1
ООО Монтажстрой;1;главный механик;;;3666236445;"ООО ""МОНТАЖСТРОЙ""";43.22;Воронежская обл;Извеков Дмитрий Владимирович;ДИРЕКТОР;1.0;8
ООО БАРС МОТОРС;1;главный механик;;;7733473748;"ООО ""БАРС МОТОРС""";46.49.43;г Москва;Еремеев Дмитрий Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
Ультрадекор ГМХ;1;главный механик;;;0245957291;"ООО ""УЛЬТРАДЕКОР ГМХ""";82.11;Калужская обл;Курбаншо Ардашер Ермамедович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Барнаульский завод механических прессов;1;главный механик;;да;;;;;;;;0
ООО Крал-консерв;1;главный механик;;;5052021924;"ООО ""КРАЛ-КОНСЕРВ""";10.32;Московская обл;Мамедов Вусат Ильгар Оглы;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Агентство Бизнес и Кадры;1;главный механик;;;7453273016;"ООО ""АГЕНТСТВО ""БИК""";78.30;Челябинская обл;Соколова Людмила Борисовна;ДИРЕКТОР;0.33;1
Производственная компания Такеда;1;главный механик;;;;;;;;;;0
Камшат;1;главный механик;;;5406763387;"ООО ""КАМШАТ""";10.20;Новосибирская обл;Гавриленко Анатолий Викторович;ДИРЕКТОР;1.0;8
ООО Спецпромстрой;1;главный механик;;;7743166577;"ООО ""СПЕЦПРОМСТРОЙ""";41.20;г Москва;Андропов Максим Олегович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Спецтранс, Компания;1;главный механик;;;7017437458;"ООО ""ТК""СПЕЦТРАНС""";49.41;Томская обл;Попов Сергей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ЗАО ПОШ-Химволокно;1;главный механик;;да;6449027908;"ЗАО ""ПОШ-ХИМВОЛОКНО""";13.95;Саратовская обл;Ан Евгений Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО М11;1;главный механик;;;;;;;;;;8
ООО Ильский НПЗ;1;главный механик;;;2308128110;"ООО ""ИЛЬСКИЙ НПЗ""";19.20.9;Московская обл;Карабаджак Константин Семенович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;4
ООО ТАТЛИФТ;1;главный механик;;;1648052787;"ООО ""ТАТЛИФТ""";28.22.6;Респ Татарстан;Загидуллина Гульшат Альбертовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;6
ООО Седрус;1;главный механик;;;7709807968;"ООО ""СЕДРУС""";23.64;г Москва;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК СЕДРУС""";;1.0;8
ООО ВС СтройПроект;1;главный механик;;;7715904751;"ООО ""ВС СТРОЙПРОЕКТ""";42.11;Московская обл;Абаджян Валерий Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Грация;1;главный механик;;;6606036084;"ООО ""ГРАЦИЯ""";69.10;Свердловская обл;Козицын Дмитрий Александрович;Генеральный директор;1.0;8
МОСКОВСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ;1;главный механик;;;7743418626;"ООО ""МСТК""";49.41;г Москва;Погорелов Алексей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;8
ООО Каналсервис;1;главный механик;;;5036170076;"ООО ""КАНАЛСЕРВИС""";37.00;Московская обл;Лукашев Алексей Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Невский судостроительно-судоремонтный завод;1;главный механик;;да;4706020609;"ООО ""НЕВСКИЙ ССЗ""";30.11;Ленинградская обл;Высоцкий Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.33;1
ООО Стройлестранс;1;главный механик;;;6950031181;"ООО ""СТРОЙЛЕСТРАНС""";46.73.1;Тверская обл;Ярошенко Георгий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Автосервис Pro СТО;1;главный механик;;;;;;;;;;0
ОАО Краснодарпромжелдортранс;1;главный механик;;;2309003547;"ОАО ""КРАСНОДАРПРОМЖЕЛДОРТРАНС""";49.20.9;Краснодарский край;Каляпин Владимир Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ООО ТОКК, Завод упаковочных изделий;1;главный механик;;да;5040045543;"ООО ""ЗАВОД УПАКОВОЧНЫХ ИЗДЕЛИЙ ТОКК"" И ООО ""ЗУИ ТОКК""";25.92;Московская обл;Стоянова Елена Юрьевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Торговый дом Каравелла;1;главный механик;;;2901149578;"ООО ""ТОРГОВЫЙ ДОМ ""КАРАВЕЛЛА""";46.39;Архангельская обл;Стенина Марина Николаевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Группа компаний Техсервис;1;главный механик;;;9724194830;"АО ""ТЕХСЕРВИС""";64.20;г Москва;Антонов Дмитрий Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Руспаллет;1;главный механик;;;7735566860;"ООО ""РУСПАЛЛЕТ""";46.13;г Москва;Макаров Николай Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Проектно-Строительное Предприятие Автомост;1;главный механик;;;5902107375;"ООО ПСП ""АВТОМОСТ""";71.12.15;Пермский край;Ищенко Сергей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.33;1
ООО Тлк Спарта;1;главный механик;;;9729144871;"ООО ТЛК ""СПАРТА""";49.41;г Москва;Стецюк Геннадий Степанович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;5
Major Auto (Мэйджор Авто);1;главный механик;;;5024216745;"ООО ""МЭЙДЖОР ЛИЗИНГ АВТО""";64.91;Московская обл;Хохлов Игорь Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.5;1
Дентро;1;главный механик;;;1323123107;"ООО ""ДЕНТРО""";49.41.2;Респ Мордовия;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАНГОДА""";;1.0;8
ООО Технодом;1;главный механик;;;5752035190;"ООО ""ТЕХНОДОМ""";46.61;Орловская обл;Ягельский Михаил Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО ПРОМРУССЕРВИС;1;главный механик;;;;;;;;;;1
АгроЦентр;1;главный механик;;да;7717722732;"АО ""АГРОЦЕНТР""";01.11;Пензенская обл;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИМПУЛЬС-ИНВЕСТ""";;1.0;8
ООО ТСК;1;главный механик;;;;;;;;;;8
ООО Курганский мясокомбинат;1;главный механик;;да;7707527669;"ООО ""ТОРГОВЫЙ ДОМ КУРГАНСКИЙ МЯСОКОМБИНАТ""";10.11.1;г Москва;Яшузаков Рустам Икрамович;Генеральный директор;1.0;4
ООО Негабарит 12;1;главный механик;;;1215207230;"ООО ""НЕГАБАРИТ 12""";49.4;Респ Марий Эл;Смирнов Сергей Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО ТРАНСПИТ СЕВЕРО-ЗАПАД;1;главный механик;;;7842427290;"ООО ""ТРАНСПИТ СЕВЕРО-ЗАПАД""";56.10.1;г Москва;Гайдукович Дмитрий Геннадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО ЕВРОметалл;1;главный механик;;да;7720845371;"ООО ""ЕВРОМЕТАЛЛ""";46.72;г Москва;Тушков Сергей Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Агрокомплекс Зеленая Империя;1;главный механик;;да;;;;;;;;0
ООО Лодка;1;главный механик;;;9723248874;"ООО ""ЛОДКА""";33.12;г Москва;Саввушкин Алексей Евгеньевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Асфальто-Строительная Компания;1;главный механик;;;;;;;;;;4
ООО Славянский экспресс;1;главный механик;;;7721306319;"ООО ""СЛАВЯНСКИЙ ЭКСПРЕСС""";49.31.2;г Москва;Зверев Николай Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
АК ТПГ БИС;1;главный механик;;;;;;;;;;1
ООО НПО Стальпром;1;главный механик;;;5262337000;"ООО ""НПО СТАЛЬПРОМ""";25.11;Нижегородская обл;Куликов Борис Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;4
ООО ГК СтиС;1;главный механик;;;5256059884;"ООО ""СТИС""";47.25;Нижегородская обл;Лебедева Светлана Николаевна;ДИРЕКТОР;1.0;2
ООО Компания Мурман СиФуд;1;главный механик;;;5193410761;"ООО КОМПАНИЯ ""МУРМАН СИФУД""";03.11.1;Мурманская обл;Хижняков Владимир Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО ТРАК;1;главный механик;;;9701260155;"ООО ""ТРАК""";41.10;г Москва;Боловин Егор Вячеславович;Директор;1.0;8
ООО НТ+;1;главный механик;;;;;;;;;;8
ООО Рем-Нова ДВ;1;главный механик;;;4100039778;"ООО ""РЕМ-НОВА ДВ""";33.15;Камчатский край;Фофанов Александр Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО М-Пласт;1;главный механик;;;1650282530;"ООО ""М-ПЛАСТ""";22.29;Респ Татарстан;Луценко Сергей Владимирович;ДИРЕКТОР;1.0;8
Цементум Центр;1;главный механик;;да;5022050558;"ООО ""ЦЕМЕНТУМ ЦЕНТР""";23.51;Московская обл;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАЯ ГРУППА""";;1.0;1
ООО Уральская Горно-Разрабатывающая Компания;1;главный механик;;да;6685201250;"ООО ""УГРК""";49.41;Свердловская обл;Новопашина Оксана Анатольевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;1
ООО ЭКОЦИР;1;главный механик;;;8603229927;"ООО ""ЭКОЦИР""";38.12;Ханты-Мансийский Автономный округ - Югра;Зикий Сергей Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Транспортная компания Кристалл;1;главный механик;;;2222903889;"ООО ""ТК КРИСТАЛЛ""";49.41;г Москва;Варнавская Кристина Сергеевна;ДИРЕКТОР;0.5;8
ООО САВО;1;главный механик;;;4025417562;"ООО ""САВО""";68.20.2;Калужская обл;Безроднов Владимир Игоревич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Рустех Ремайнинг;1;главный механик;;;6685122777;"ООО ""РУСТЕХ РЕМАЙНИНГ""";38.32.11;Свердловская обл;Захаров Илья Анатольевич;Управляющий - индивидуальный  предприниматель;1.0;1
ООО Артфлекс;1;главный механик;;;7801217576;"ООО ""АРТФЛЕКС""";22.21.1;г Санкт-Петербург;Щегельский Андрей Геннадьевич;ДИРЕКТОР;1.0;8
ПАО Группа предприятий «Черкизово», Сегмент «Корма»;1;главный механик;;;7718560636;"ПАО ""ГРУППА ЧЕРКИЗОВО""";70.22;Московская обл;Михайлов Сергей Игоревич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО ДСК Комплексстрой;1;главный механик;;;5249148300;"ООО ДСК ""КОМПЛЕКССТРОЙ""";42.11;Нижегородская обл;Шахбазян Камо Анушаванович;ДИРЕКТОР;1.0;1
ООО Сервистранс;1;главный механик;;;9723039849;"ООО ""СЕРВИСТРАНС""";49.39;г Москва;Артемьева Евгения Викторовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
АО АГВ;1;главный механик;;;;;;;;;;8
ООО Ухуд;1;главный механик;;;1656106299;"ООО ""УХУД""";10.71;Респ Татарстан;Зарипова Олеся Александровна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ООО Аквамарин;1;главный механик;;;3913013911;"ООО ""АКВАМАРИН""";68.20;Калининградская обл;Милушкина Наталья Леонидовна;ДИРЕКТОР;1.0;8
ООО Ал Компани;1;главный механик;;;5404172357;"ООО ""АЛ.КОМПАНИ""";46.34;Новосибирская обл;Сюмак Виталий Сергеевич;ДИРЕКТОР;1.0;8
АЛРОСА.Инженеры;1;главный механик;;;1433000147;"АК ""АЛРОСА"" (ПАО)";08.99.32;Респ Саха (Якутия);Маринычев Павел Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР- ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ;1.0;0
ГК ЭкоЛогика;1;главный механик;;;5904328676;"ООО ""ЭКОЛОГИКА""";38.21;г Москва;Рубцова Ксения Вадимовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО Европолимер;1;главный механик;;;7701949181;"ООО ""ЕВРОПОЛИМЕР""";46.75.2;г Санкт-Петербург;Лебедев Юрий Геннадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Синтез ОКА;1;главный механик;;;5249173547;"ООО ""СИНТЕЗ ОКА-ПОЛИЭФИР""";20.14;Нижегородская обл;Похвалинский Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Кузница;1;главный механик;;;3453005281;"ООО ""КУЗНИЦА""";25.50.1;Волгоградская обл;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД""";;1.0;8
АО Торговый дом СпецСтройГрупп;1;главный механик;;;;;;;;;;1
HR - агентство Detkin Co;1;главный механик;да;;;;;;;;;0
ПрофиКонсалт Груп;1;главный механик;;;;;;;;;;1
ООО Пневмо-Автоматика;1;главный механик;;;3016059037;"ООО ""ПНЕВМО-АВТОМАТИКА""";46.69;Астраханская обл;Куликов Станислав Алексеевич;ДИРЕКТОР;1.0;2
ООО Стул Груп;1;главный механик;;;5018159626;"ООО ""СТУЛ ГРУП""";46.49;Московская обл;Лебедев Кирилл Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Золотой Актив;1;главный механик;;;7709973482;"ООО ""ЗОЛОТОЙ АКТИВ""";70.10;г Москва;Колесников Андрей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;4
Завод железобетонных изделий;1;главный механик;;да;1828023739;"ОАО ""КАМСКИЙ ЗАВОД ЖБИ""";23.61;Удмуртская Респ;Стрельник Максим Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.33;8
ООО ШИВАР;1;главный механик;;;4029066097;"ООО ""ШИВАР""";10.41;Калужская обл;Шиваршинов Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО ТехноСтройГрупп1;1;главный механик;;;6316179404;"ООО ""ТСГ-1""";41.20;Самарская обл;Кудряшов Александр Николаевич;ДИРЕКТОР;0.0;3
СпецАзияГрупп;1;главный механик;;;3808279990;"ООО ""СПЕЦАЗИЯГРУПП""";46.69;Иркутская обл;Максимова Мария Константиновна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
АО Бумажная фабрика Коммунар;1;главный механик;;да;4719002357;"АО ""БФ ""КОММУНАР""";17.12;Ленинградская обл;Шевелев Юрий Валерьянович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.33;2
ООО СпецТранс-Омск;1;главный механик;;;5501256235;"ООО ""СПЕЦТРАНС-ОМСК""";52.29;Омская обл;Терентьев Сергей Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ООО Собрание;1;главный механик;;;5035018150;"ООО ""СОБРАНИЕ""";47.25;Московская обл;Афанасьев Евгений Вячеславович;ДИРЕКТОР;1.0;8
ООО Компрессор Газ;1;начальник компрессорной станции;;да;7802363428;"ООО ""КОМПРЕССОР ГАЗ""";28.25;г Санкт-Петербург;Голубков Алексей Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;5
Российские Коммунальные Системы;1;начальник компрессорной станции;;;;;;;;;;3
ФГУП ПО Маяк;1;начальник компрессорной станции;;;7422000795;"ФГУП ""ПО ""МАЯК""";20.13;Челябинская обл;Порошин Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;4
ООО Научное Производственное Объединение Гипрогаз;1;начальник компрессорной станции;;да;7719486368;"ООО ""НПО ""ГИПРОГАЗ""";46.90;г Москва;Солодов Дмитрий Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.25;1
ТехИнвестСтрой;1;начальник компрессорной станции;;;7727703457;"ООО ""ТЕХИНВЕСТСТРОЙ""";25.61;г Санкт-Петербург;Тетюшин Дмитрий Викторович;УПРАВЛЯЮЩИЙ - ИНДИВИДУАЛЬНЫЙ  ПРЕДПРИНИМАТЕЛЬ;1.0;8
АО Гринатом. Вакансии в атомной отрасли;1;начальник компрессорной станции;;;7706729736;"АО ""ГРИНАТОМ""";62.09;г Москва;Лавров Андрей Станиславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО РН-Комсомольский НПЗ;1;начальник компрессорной станции;;;2703032881;"ООО ""РН-КОМСОМОЛЬСКИЙ НПЗ""";19.20.1;Хабаровский край;Коденев Алексей Андреевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;4
ООО 4с Сервис Плюс;1;начальник компрессорной станции;;;3812995443;"ООО ""4С СЕРВИС ПЛЮС""";33.20;Иркутская обл;Курлович Максим Геннадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
Норникель;1;начальник компрессорной станции;;;7743773042;"ООО ""НОРНИКЕЛЬ СПУТНИК""";62.03.13;г Москва;Лопацинский Антон Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ПАО Абрау-Дюрсо, Русский Винный Дом;1;начальник компрессорной станции;;;;;;;;;;0
ООО Адсорбционные Газовые Системы;1;начальник компрессорной станции;;да;;;;;;;;1
АО Газпром газораспределение Екатеринбург;1;начальник компрессорной станции;;да;6660004997;"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ЕКАТЕРИНБУРГ""";35.23;Свердловская обл;Фишер Юрий Григорьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
Байкитская нефтегазоразведочная экспедиция;1;начальник компрессорной станции;;да;8801011908;"ООО ""БНГРЭ""";09.10.1;Красноярский край;Ганиев Наиль Фаритович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;2
ООО Технологический транспорт;1;начальник компрессорной станции;;;1840044615;"ООО ""ТЕХНОЛОГИЧЕСКИЙ ТРАНСПОРТ""";49.41.1;Удмуртская Респ;Зиязетдинов Айдар Фаризунович;ДИРЕКТОР;1.0;8
АО НПО СПЛАВ им. А. Н. Ганичева;1;начальник компрессорной станции;;;7105515987;"АО ""НПО ""СПЛАВ"" ИМ. А.Н. ГАНИЧЕВА""";25.40;Тульская обл;Идрисов Ринат Махмутович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ПАО «Газпром нефть» Разведка и добыча;1;начальник компрессорной станции;;да;5504036333;"ПАО ""ГАЗПРОМ НЕФТЬ""";19.20.1;г Санкт-Петербург;Дюков Александр Валерьевич;ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ;1.0;0
АО Волгацеммаш;1;начальник компрессорной станции;;;;;;;;;;1
МУП КОС;1;начальник компрессорной станции;;;;;;;;;;8
АО Ямалкоммунэнерго;1;начальник компрессорной станции;;да;8901025421;"АО ""ЯМАЛКОММУНЭНЕРГО""";35.30.11;Ямало-Ненецкий АО;Долгов Сергей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
Staffwell;1;начальник компрессорной станции;;;;;;;;;;0
SocioTeam Сonsulting;1;начальник компрессорной станции;;;;;;;;;;0
ООО РН-Морской терминал Архангельск;1;начальник компрессорной станции;;;2921009226;"ООО ""РН-МОРСКОЙ ТЕРМИНАЛ АРХАНГЕЛЬСК""";52.10.21;Архангельская обл;Беляев Константин Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ООО Центр новой пожарной и специальной техники;1;начальник компрессорной станции;;;0276069708;"ООО ""ЦЕНПИСТ""";29.10.5;Респ Башкортостан;Маулин Алмаз Фанзилевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;1
Новомет;1;начальник компрессорной станции;;;2208023459;"ООО ""НОВОМЕТ""";46.77;Респ Алтай;Андрющенко Андрей Геннадьевич;ДИРЕКТОР;1.0;8
ООО ГЭХ Теплоэнергоремонт;1;начальник компрессорной станции;;да;;;;;;;;1
Ново-Рязанская ТЭЦ, Рязанский филиал;1;начальник компрессорной станции;;да;1655063821;"ООО ""НОВО-РЯЗАНСКАЯ ТЭЦ""";35.11.1;Респ Татарстан;Климкина Елена Павловна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ОАО СМОЛЕНСКИЙ ЗАВОД РАДИОДЕТАЛЕЙ;1;начальник компрессорной станции;;да;6731017748;"ОАО ""СМОЛЕНСКИЙ ЗАВОД РАДИОДЕТАЛЕЙ""";27.33;Смоленская обл;Лужецкий Георгий Эдуардович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;4
ФГУП НИЦ Курчатовский институт - ВИАМ;1;начальник компрессорной станции;;;7701024933;"НИЦ ""КУРЧАТОВСКИЙ ИНСТИТУТ"" - ВИАМ";72.19.9;г Москва;Яковлев Сергей Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Реиннольц;1;начальник компрессорной станции;;;5406697416;"ООО ""РЕИННОЛЬЦ""";28.25.1;Свердловская обл;Блохин Павел Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
Южная нефтяная компания;1;начальник компрессорной станции;;да;9909545449;"""ЯПОНСКАЯ ЮЖНАЯ САХА НЕФТЯНАЯ КОМПАНИЯ ЛТД.""";;;;;1.0;8
"ООО ""Башкирская генерирующая компания"" (Теплогенерация)";1;начальник компрессорной станции;;да;;;;;;;;0
ООО НТЦ Геотехнокин, филиал в Нижневартовске;1;начальник компрессорной станции;;;7713801616;"ООО ""НТЦ ГЕОТЕХНОКИН""";72.19.9;г Москва;Масловский Феликс Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
АО Русская медная компания;1;начальник компрессорной станции;;;;;;;;;;1
ДОМИНАНТ ГК;1;начальник компрессорной станции;;;3662317220;"ООО ГК ""ДОМИНАНТ""";46.33.1;Воронежская обл;Страйку Владимир Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;6
Сибур;1;начальник компрессорной станции;;;7727547261;"ПАО ""СИБУР ХОЛДИНГ""";19.20.2;Тюменская обл;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБУР""";;1.0;8
АО Васильевский хлебозавод;1;начальник компрессорной станции;;да;1620003275;"АО ""ВАСИЛЬЕВСКИЙ ХЛЕБОЗАВОД""";10.72.1;Респ Татарстан;Зайнуллин Рамиль Ильгизович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
"ТЦ ""СпортХит"", аренда офисов";1;начальник компрессорной станции;;;;;;;;;;0
ПАО «Газпром нефть» Энергетика и автоматизация;1;начальник компрессорной станции;;да;5504036333;"ПАО ""ГАЗПРОМ НЕФТЬ""";19.20.1;г Санкт-Петербург;Дюков Александр Валерьевич;ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ;1.0;0
ООО ГСП-7;1;начальник компрессорной станции;;;7810474812;"ООО ""ГСП-7""";42.21;г Санкт-Петербург;Гафуров Джамшед Саторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО Газпром добыча Иркутск;1;начальник компрессорной станции;;да;3812100646;"ООО ""ГАЗПРОМ ДОБЫЧА ИРКУТСК""";06.20.1;Иркутская обл;Дарымов Алексей Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Финансово-промышленная компания Барнаул РТИ;1;начальник компрессорной станции;;;2259003852;"ООО ФПК ""БАРНАУЛ РТИ""";68.20.2;Алтайский край;Локтев Кирилл Сергеевич;ДИРЕКТОР;0.5;1
АО Криогаз;1;начальник компрессорной станции;;да;7805298382;"АО ""КРИОГАЗ""";46.71.4;г Санкт-Петербург;Смелов Владимир Олегович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
