inn;predpriyatie;ofic_nazvanie;status;adres;rukovoditel;dolzhnost_rukovoditelya;okved;marki_mashin;vozdushnyh_zaklyucheniy;posledneye_zaklyuchenie;oshibka
1903021363;"АО ""УК ""РАЗРЕЗ СТЕПНОЙ""";"АО ""УК ""РАЗРЕЗ СТЕПНОЙ""";ACTIVE;Респ Хакасия, г Черногорск, ул Советская, влд 058;Фуртак Евгений Богданович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;05.10.23;GM 130;1;2017-10-26;
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";ACTIVE;Волгоградская обл, г Волжский, ул Александрова, д 100;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСХИМ""";;20.14.7;;1;2025-09-26;
2326008425;"ООО ""КДВ КРАСНОДАР""";"ООО ""КДВ КРАСНОДАР""";ACTIVE;Краснодарский край, село Белая Глина, ул Степная, д 37;Федчишен Анатолий Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.39.2;;1;2025-02-24;
3652001387;"АО МЭЗ ""ЛИСКИНСКИЙ""";"АО МЭЗ ""ЛИСКИНСКИЙ""";ACTIVE;Воронежская обл, г Лиски, ул 40 лет Октября, д 62;Лесняк Станислав Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.41.24;;1;2025-10-15;
3111505362;"АО ""ЛИВЕНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД""";"АО ""ЛИВЕНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД""";ACTIVE;Белгородская обл, Красногвардейский р-н, село Ливенка, ул Транспортная, д 2А;Ряполова Ирина Анатольевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.91.1;;1;2025-04-22;
7705033216;"ОАО ""РОТ ФРОНТ""";"ОАО ""РОТ ФРОНТ""";ACTIVE;г Москва, 2-й Новокузнецкий пер, д 13/15;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЪЕДИНЕННЫЕ КОНДИТЕРЫ""";;10.82.2;;1;2025-12-15;
7734353570;"ООО ""МФ""";"ООО ""МФ""";ACTIVE;Белгородская обл, г Старый Оскол, тер Северная промкомзона, стр 1;Голубятникова Рена Сарвановна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.73.1;F80-14-200, FC 501, RSS 100/300, TKV-010;1;2024-09-13;
5260123469;"ООО ""Завод синтанолов""";"ООО ""ЗАВОД СИНТАНОЛОВ""";ACTIVE;г Нижний Новгород, Верхне-Волжская наб, д 8/59;Фирстов Сергей Владимирович;ДИРЕКТОР;20.41.2;GRBS 165;1;2025-06-04;
5214009264;"ООО ""МК ""Володарский""";"ООО ""МУКОМОЛЬНЫЙ КОМБИНАТ ""ВОЛОДАРСКИЙ""";BANKRUPT;Нижегородская обл, г Володарск, ул Южная, д 19А;Дворникова Ольга Александровна;ДИРЕКТОР;10.61.2;;1;2026-03-20;
6900008846;"ООО ""Мелькомбинат""";"ООО ""МЕЛЬКОМБИНАТ""";ACTIVE;170100, ТВЕРСКАЯ ОБЛАСТЬ, Г.О. ГОРОД ТВЕРЬ, Г. ТВЕРЬ, УЛ. ВОКЗАЛЬНАЯ, Д. 9, ЭТАЖ 3, ПОМ/КАБ 23/39;Старовойтов Олег Дмитриевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.91.1;;1;2025-01-27;
7705014478;"ООО ""ПРОВИМИ""";"ООО ""ПРОВИМИ""";ACTIVE;г Москва, Ленинградский пр-кт, д 37А к 5;Лауритзен Джон Гари;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.91.1;;1;2023-02-10;
7438015885;"АО ""МАКФА""";"АО ""МАКФА""";ACTIVE;г Москва, Вспольный пер, д 5 стр 1, офис 1;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""М-ГРУПП""";;10.73.1;;1;2022-11-09;
4707020432;"ООО ""ПОРТЭНЕРГО""";"ООО ""ПОРТЭНЕРГО""";ACTIVE;188472, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, М.Р-Н КИНГИСЕППСКИЙ, С.П. УСТЬ-ЛУЖСКОЕ, ТЕР. МОРСКОЙ ТОРГОВЫЙ ПОРТ УСТЬ-ЛУГА ЮЖНЫЙ РАЙОН, КВ-Л КСУГ №4.3, Д. 1;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ПОРТЭНЕРГО""";;52.24.2;ЭПБ-1332/2024-10;1;2024-12-02;
4630001280;"АО ""ККХП""";"АО ""ККХП""";ACTIVE;г Курск, Магистральный проезд, д 22Г;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОПРОМЫШЛЕННАЯ КОМПАНИЯ ""СТОЙЛЕНСКАЯ НИВА""";;10.61.2;RSS 125/1650, АД-3000, БКШ-400, КСТЛ-200, ММД50-8;1;2025-12-15;
5403100293;"МОАО ""Авангард""";"АО МУКОМОЛЬНОЕ ""АВАНГАРД""";ACTIVE;г Новосибирск, Северный проезд, зд 18/3;Некрасов Сергей Геннадьевич;ДИРЕКТОР;10.61.2;GAS 75, GBL 080, GIF 75, LT 065, MEF 10, БЭР-01;1;2026-05-06;
4632001366;"ОАО ""Курскхлеб""";"АО ""КУРСКХЛЕБ""";ACTIVE;г Курск, ул Димитрова, зд 100;Лопатин Николай Семенович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.71.1;;1;2024-04-03;
6167055777;"ООО ""МЭЗ ЮГ РУСИ""";"ООО ""МЭЗ ЮГ РУСИ""";ACTIVE;г Ростов-на-Дону, пл Толстого, зд 8;Музафаров Камиль Мунирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.41.24;ТВ-100-1;1;2023-05-31;
7810356819;"ООО ""ХЛЕБНЫЙ ДОМ""";"ООО ""ХЛЕБНЫЙ ДОМ""";ACTIVE;г Москва, Звёздный б-р, д 23 стр 1;Козлов Дмитрий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.72.1;;1;2019-10-01;
6628008965;"ЗАО ""ПО ""Режникель""";"ЗАО ""ПО ""РЕЖНИКЕЛЬ""";BANKRUPT;Свердловская обл, г Реж, ул Советская, стр 11, кв 101;Скворцов Александр Валентинович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;24.45.1;;1;2015-09-29;
6320004615;"АО ""КРАЙ КАРАВАЙ""";"АО ""КРАЙ КАРАВАЙ""";ACTIVE;Самарская обл, г Тольятти, ул Вокзальная, д 21;Зеленцов Анатолий Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.71.1;;1;2022-08-24;
7733338555;"ООО ""Сергиево-Посадский мукомольный комбинат""";"ООО ""СЕРГИЕВО-ПОСАДСКИЙ МУКОМОЛЬНЫЙ КОМБИНАТ""";BANKRUPT;г Москва, Рязанский пр-кт, д 10 стр 2, помещ 7/2;Дюсалиев Серик Ильясович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;49.41;;1;2023-04-19;
5044018861;"ЗАО ""ФЕРРЕРО РУССИЯ""";"АО ""ФЕРРЕРО РУССИЯ""";ACTIVE;Владимирская обл, Собинский р-н, село Ворша, тер Кондитерская фабрика ФЕРРЕРО;Корешкина Наталья Александровна;ЧЛЕН СОВЕТА ДИРЕКТОРОВ;10.82.2;;1;2016-07-19;
6829007922;"ООО ""ЗОЛОТАЯ НИВА"" (ИНН 6829007922)";"ООО ""ЗОЛОТАЯ НИВА""";ACTIVE;Тамбовская обл, Знаменский р-н, село Дуплято-Маслово, ул Гагарина, д 27;Грициенко Андрей Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;01.11.3;AGH 20;1;2017-07-06;
5003028155;"ООО ""ГАЗПРОМ ВНИИГАЗ""";"ООО ""ГАЗПРОМ ВНИИГАЗ""";ACTIVE;г Санкт-Петербург, Малоохтинский пр-кт, д 45 литера а, помещ 2-Н офис 812;Недзвецкий Максим Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;28.12.1;;1;2015-10-20;
3414504304;"ООО ""ЛУКОЙЛ-КГПЗ""";"ООО ""ЛУКОЙЛ-КГПЗ""";LIQUIDATED;Волгоградская обл, г Котово;Хисаев Рустям Наилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20;;1;2018-05-04;
7802831436;"ООО ""ХОППИ ЮНИОН""";"ООО ""ХОППИ ЮНИОН""";ACTIVE;194292, Г.САНКТ-ПЕТЕРБУРГ, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ СЕРГИЕВСКОЕ, ПЕР. 6-Й ВЕРХНИЙ, Д. 3, ЛИТЕРА А, ОФИС Б426;Толмачев Александр Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;46.39;;1;2020-12-08;
0269034133;"ООО ""Туймазинское ГПП""";"ООО ""ТУЙМАЗИНСКОЕ ГПП""";LIQUIDATED;Респ Башкортостан, Туймазинский р-н, деревня Нуркеево, ул Промышленная, соор 42;Мухаметзянов Ильвир Фанилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.2;В-501/2, ТУ-0303-2021;1;2021-12-07;
6827016382;"ООО ""СКХ"" (ИНН 6827016382)";"ООО ""СКХ""";ACTIVE;Тамбовская обл, Никифоровский р-н, село Сабуро-Покровское, ул Полевая, зд 2Б;Каменев Антон Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.61.2;;1;2021-05-26;
4218014305;"АО ""ОФ ""АНТОНОВСКАЯ""";"АО ""ОФ ""АНТОНОВСКАЯ""";ACTIVE;Кемеровская область - Кузбасс, Новокузнецкий р-н, поселок Чистогорский, д 134;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ ГОРНАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""";;05.10.23;HSG-1100;1;2015-11-27;
9309010650;"ООО ЦОФ ""ДОНЕЦКАЯ""";"ООО ЦОФ ""ДОНЕЦКАЯ""";ACTIVE;Донецкая Народная Респ, г Торез, ул Капустина, д 55;Беляев Андрей Владимирович;ДИРЕКТОР;05.10.21;ТВ-80-1;1;2025-12-23;
7721427433;"ООО ""МАРИЗЕРНОПРОДУКТ""";"ООО ""МАРИЗЕРНОПРОДУКТ""";ACTIVE;г Йошкар-Ола, Элеваторный проезд, д 5, ком 3;Поликарпов Дмитрий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.91.1;;1;2021-10-12;
5921002508;"ЗАО""ЧУСОВСКАЯ МЕЛЬНИЦА""";"ЗАО ""ЧУСОВСКАЯ МЕЛЬНИЦА""";ACTIVE;Пермский край, г Чусовой, рп Лямино, ул Калинина, д 1;Тонаканян Георгий Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.61.2;ТВ-200;1;2022-07-21;
3302000186;"ОАО ВКХ ""Мукомол""";"АО ВКХП ""МУКОМОЛ""";ACTIVE;г Москва, Багратионовский проезд, д 7 к 20в, офис 440;Королев Владимир Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.61.2;ТВ-200-01;1;2015-11-02;
4612001551;"ОАО ""Лукашевское ХПП""";"АО ""ЛУКАШЕВСКОЕ ХПП""";ACTIVE;Курская обл, Курчатовский р-н, пгт Иванино, ул Ленина, влд 11;Добровольский Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.61.2;ДН-500, ТВ-200;1;2019-12-13;
1316105019;"ОАО ""АПО Элеком""";"ОАО ""АПО ЭЛЕКОМ""";ACTIVE;Респ Мордовия, поселок Ромоданово, Хлебное шоссе, д 1;Базакин Иван Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;01.11.1;ТВ-200;1;2019-02-07;
4246004250;"ООО ОФ ""Анжерская""";"ООО ""ФАБРИКА""";LIQUIDATED;г Кемерово, ул Сарыгина, д 29, помещ 43;Зяблов Андрей Павлович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;46.73;ТВ-80/1;1;2015-06-10;
3102003214;"СПК  ""Колхоз имени  Горина";"СПК ""КОЛХОЗ ИМЕНИ ГОРИНА""";ACTIVE;Белгородская обл, Белгородский р-н, село Бессоновка, ул Партизанская, зд 6А;Перунов Роман Владимирович;ПРЕДСЕДАТЕЛЬ КООПЕРАТИВА;01.46.11;ТВ-80-1;1;2021-07-22;
6632004667;"ПАО ""Надеждинский металлургический завод""";"ПАО ""НАДЕЖДИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""";ACTIVE;Свердловская обл, г Серов, ул Агломератчиков, стр 6;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ - СТАЛЬ""";;24.10.6;ИДЦ-286-04-2025;1;2025-08-26;
6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";ACTIVE;Свердловская обл, г Ревда, ул Среднеуральская, д 1;Абдулазизов Багир Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;24.44;К-1500;1;2015-07-21;
7424024375;"ПАО ""ЮГК""";"ПАО ""ЮГК""";ACTIVE;Челябинская обл, г Пласт, тер шахта Центральная;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ЮГК""";;07.29.41;К250-61-5;1;2024-10-22;
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";ACTIVE;г Санкт-Петербург, наб Реки Фонтанки, д 203;Быстров Андрей Владимирович;ВРИО  ГЕНЕРАЛЬНОГО ДИРЕКТОРА;30.11;К-250-61-5;1;2016-12-29;
3528191736;"АО ""ФосАгро-Череповец""";"АО ""ФОСАГРО-ЧЕРЕПОВЕЦ""";LIQUIDATED;Вологодская обл, г Череповец, Северное шоссе, д 75;Рыбников Михаил Константинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15;ЦК-115/9, ЦК-135/8;1;2017-05-04;
2462206345;"АО ""Красмаш""";"АО ""КРАСМАШ""";ACTIVE;"г Красноярск, пр-кт им.газеты ""Красноярский рабочий"", зд 29";Дюкарев Александр Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;30.30.4;К250-61-5;1;2018-11-29;
3814007314;"АО ""САЯНСКХИМПЛАСТ""";"АО ""САЯНСКХИМПЛАСТ""";ACTIVE;Иркутская обл, г Саянск, тер промышленный узел промплощадка, кв-л 186, к 104;Александров Михаил Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.16;К-111;1;2015-12-18;
3623007578;"ООО ""ТД КМЗ""";"ООО ""ТД КМЗ""";ACTIVE;Воронежская обл, Поворинский р-н, село Пески, ул Советская 2-я, зд 1;Владисенко Александр Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.61.2;ЗАФ-49, ЗАФ-53;1;2021-08-23;
1402046085;"АО ""Полюс Алдан""";"АО ""ПОЛЮС АЛДАН""";ACTIVE;Респ Саха (Якутия), Алданский улус, поселок Нижний Куранах, ул Строительная, д 14;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ПОЛЮС""";;07.29.41;Э 200-31-1;1;2014-07-21;
3623004866;"АО ""КМЗ"" (ИНН 3623004866)";"АО ""КМЗ""";LIQUIDATED;Воронежская обл, Поворинский р-н, село Пески, ул Советская 2-я, зд 1;Бартенев Иван Степанович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.61.2;ЗАФ-49, ЗАФ-53;1;2017-06-06;
9308017740;"ООО ""ДМЗ"" (ИНН 9308017740)";"ООО ""ДМЗ""";BANKRUPT;Донецкая Народная Респ, г Донецк, ул Университетская, д 36А, офис 209;Волшукова Оксана Владимировна;ДИРЕКТОР;46.90;АКВ-12, АКВ-12-III, ТУ-01-0182;1;2023-12-07;
2211005435;"ОАО ""Алтайский Химпром""";"АО ""АЛТАЙСКИЙ ХИМПРОМ""";ACTIVE;Алтайский край, г Яровое, Предзаводская пл, д 2;Чибитько Алексей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.4;ТВ-80-1, ТВ-80-1,6-М1;1;2015-11-30;
6617002344;"ОАО ""БРУ""";"АО ""БОГОСЛОВСКОЕ РУДОУПРАВЛЕНИЕ""";ACTIVE;Свердловская обл, г Краснотурьинск, ул Октябрьская, д 28;Зубков Олег Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;07.10.1;К-250-61-1;1;2016-12-15;
