inn;nomer_procedury;skolko_zapisey;istochniki;tipy;tekst;pochemu
7204095194;31807057747;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;ОЗП-056-ПИР-СМР-ИП-18 ОЗП-056-ПИР-СМР-ИП-18 по открытому запросу предложений в электронной форме на ЭТП ГПБ (Группа Газпромбанка) на право заключения договора на разработку проектн;один документ записан несколькими фактами — счётчик «Фактов» завышен
7204095194;31502234949;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;тип не установлен;Разработка проекта и проведение работ по капитальному ремонту фундамента турбоагрегата ТВ-300.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7204095194;31502373252;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;тип не установлен;Разработка проекта и проведение работ по капитальному ремонту фундамента турбоагрегата ТВ-300;один документ записан несколькими фактами — счётчик «Фактов» завышен
7204095194;32616157715;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;МИ-050-ПП-26 в электронной форме на электронной торговой площадке на право заключения договора на оказание услуг по проведению текущего ремонта воздуходувного агрегата GTB-T40-XY, ;один документ записан несколькими фактами — счётчик «Фактов» завышен
7204095194;31907880425;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;МИ-029-СМР-ИП-19 Выполнение комплекса работ «под ключ» (разработка рабочей документации, выполнение строительно-монтажных работ по зданию воздуходувной насосной станции ВНС-2, пост;один документ записан несколькими фактами — счётчик «Фактов» завышен
7204095194;32616157742;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;МИ-059-ТМЦ-ПП-26 в электронной форме на электронной торговой площадке на право заключения договора на поставку комплекта запасных частей для проведения текущего ремонта воздуходувн;один документ записан несколькими фактами — счётчик «Фактов» завышен
7204095194;31806173725;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;ОЗП-015-ТМЦ-18 Поставка модульной воздуходувной станции для нужд ООО «Тюмень Водоканал»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7204095194;31807089048;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;ОЗП-065-СМР-ИП-18 На право заключения договора на выполнение работ по монтажу, электромонтажных и пуско-наладочных работ поставленного оборудования по объекту: «Модернизация воздух;один документ записан несколькими фактами — счётчик «Фактов» завышен
7204095194;32615934858;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;вихревая или роторная воздуходувка, принцип не центробежный;КО-025-ТМЦ-ПП-26 электронной форме на электронной торговой площадке на право заключения договора на поставку роторной воздуходувки, проводимый нецентрализованно для нужд ООО «Тюмен;один документ записан несколькими фактами — счётчик «Фактов» завышен
7415036215;32515364266;2;Росэлторг;не установлен | центробежная;Поставка уплотнений масляных для турбокомпрессора К250-61-5 (лот 1);один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП415897;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП359549;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Техническое обслуживание центробежного компрессора SAMSUNG SM 6100-2600 ст. № 4, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП933616;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К-345-91-1, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП043518;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К-345-91-1 № 3, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП034860;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К-345-91-1 № 3, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП045840;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К-345-91-1 № 3, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП206576;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Техническое обслуживание центробежного компрессора SAMSUNG SM 6100-2600, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП142752;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К-345-91-1 № 3, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП328872;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Техническое обслуживание центробежного компрессора Atlas Copco на ПАО «Уралкуз», согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП122967;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Текущий ремонт центробежного компрессора К-250-61-1 № 6, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП202938;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К-250-61-1 № 7, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП833093;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К-250-61-1 ст.№6, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП908675;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Капитальный ремонт центробежного компрессора К-345-91-1 на ПАО ""Уралкуз"", согласно ТЗ.";один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП918336;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К-345-91-1 ст.№1, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП721315;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К345-91-1 №1, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП711914;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Капитальный ремонт центробежного компрессора К345-91-1 №1, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП132601;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Закупка Трубный пучок промежуточного газоохладителя центробежного компрессора: ВОТ 62.2 Ч.130684СБ и Ч.371.84.СБ1 для нужд ПАО ""Уралкуз""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7420000133;ГП833098;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная по серии;Ремонт ротора ЦНД компрессора К-345-91-1, согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7449006184;B2609240848102;2;Росэлторг;не применимо | центробежная;Выполнение электромонтажных работ по укомплектованию шкафов электротехнических напольных Склада 3-4;один документ записан несколькими фактами — счётчик «Фактов» завышен
7450001007;ГП711204;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запасные части для центробежных компрессоров;один документ записан несколькими фактами — счётчик «Фактов» завышен
7450001007;ГП242636;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;"Капитальный ремонт турбокомпрессоров тепловозов ПАО ""ЧМК"" (2поз.)";один документ записан несколькими фактами — счётчик «Фактов» завышен
7536064538;32616233164;2;РТС-тендер | ЭТП ГПБ, поиск по словам;центробежный насос, не компрессор;Поставка погружных насосов ЭЦВ;один документ записан несколькими фактами — счётчик «Фактов» завышен
7601001107;900136;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Уплотнение сегментное воздуходувки;один документ записан несколькими фактами — счётчик «Фактов» завышен
7601001107;690107;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Поставка маслохолодильника воздуходувки В-304;один документ записан несколькими фактами — счётчик «Фактов» завышен
7701791321;ЗП4081303;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;ВЗПм-240812-10 Оказание услуг по ремонту турбокомпрессора 2-6ТКМ.00.000спч-04 НЭС1;один документ записан несколькими фактами — счётчик «Фактов» завышен
7701791321;ЗП3112588;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;ВЗПм-231113-110. Услуга по ремонту турбокомпрессора 2-6ТКМ.00.000спч-04 НЭС1;один документ записан несколькими фактами — счётчик «Фактов» завышен
7701791321;ЗП3091977;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Поставка Турбокомпрессора HPR 5000;один документ записан несколькими фактами — счётчик «Фактов» завышен
7701791321;ЗП206451;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"Замена турбокомпрессора 2-6ТКМ.00.000 спч-04 на НЭС-1 ""Звезда-1650ВК-05М3""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7701791321;ЗП2041678;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"Замена турбокомпрессора 2-6ТКМ.00.000 спч-04 на НЭС-1 ""Звезда-1650ВК-05М3""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7701984274;31907715570;2;Портал поставщиков Москвы;тип не установлен;"Открытый конкурс в электронной форме на право заключения договора на выполнение работ по разработке проектной документации и рабочей документации для объекта: ""Реконструкция воздух";один документ записан несколькими фактами — счётчик «Фактов» завышен
7701984274;32008823595;2;Портал поставщиков Москвы | Росэлторг;центробежная;Открытый конкурс в электронной форме на право заключения договора на выполнение работ по внедрению турбокомпрессоров на Люберецких очистных сооружений;один документ записан несколькими фактами — счётчик «Фактов» завышен
7701984274;32009551498;2;Портал поставщиков Москвы | Росэлторг;не установлен;Открытый конкурс в электронной форме среди субъектов малого и среднего предпринимательства на право заключения договора на оказание услуг по техническому обслуживанию воздуходувных;один документ записан несколькими фактами — счётчик «Фактов» завышен
7701984274;32009587017;2;Портал поставщиков Москвы | Росэлторг;не установлен;Открытый аукцион в электронной форме среди субъектов малого и среднего предпринимательства на право заключения договора на поставку агрегатов воздуходувных для нужд АО 'Мосводокана;один документ записан несколькими фактами — счётчик «Фактов» завышен
7701984274;32009491586;2;Портал поставщиков Москвы | Росэлторг;не установлен;Открытый конкурс в электронной форме среди субъектов малого и среднего предпринимательства на право заключения договора на оказание услуг по техническому обслуживанию механического;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;913769;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;выполнение работ по диагностике ступеней сжатия воздуходувок пневмообмыва Тип GMb 16f13 ледокола «Диксон» Архангельского управления Арктического бассейнового филиала ФГУП «Росморпо;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП4101755;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, № АРХ-100-2024 по выбору организации на право заключени;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП4091367;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Запрос ценовой информации в электронной форме (ЗЦИ АРХ-88-2024) для определения начальной (максимальной) цены договора на выполнение работ по ремонту и диагностике ступеней сжатия ;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП409609;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, № АРХ-93-2024 по выбору организации на право заключения;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП408402;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, № АРХ-87-2024 по выбору организации на право заключения;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП4071552;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, № АРХ-76-2024 по выбору организации на право заключения;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП4052588;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Запрос ценовой информации в электронной форме (ЗЦИ АРХ-61-2024) для определения начальной (максимальной) цены договора на выполнение работ по ремонту и диагностике ступеней сжатия ;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП404978;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, № АРХ-24-2024 по выбору организации на право заключения;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП402843;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Запрос ценовой информации в электронной форме (ЗЦИ АРХ-15-2024) для определения начальной (максимальной) цены договора на выполнение по ремонту и диагностике ступеней сжатия воздух;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;303547;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"выполнение работ по ремонту демонтированной (разобранной) воздуходувки № 4 (компрессора ПОУ) для ледокола ""Диксон"".";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;149491;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;"ДБФ ЦЗ №149491 Поставка воздуходувок для нужд Дальневосточного бассейнового филиала ФГУП ""Росморпорт""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;86628;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;"ДБФ ЦЗ №86628 Поставка воздуходувок для нужд Дальневосточного бассейнового филиала ФГУП ""Росморпорт""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;89597;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Поставка СЗЧ для ступеней сжатия воздуходувки пневмообмыва ледокола «Диксон» Архангельского филиала ФГУП «Росморпорт»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;86193;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Услуги по выполнению ремонта ступеней сжатия воздуходувки пневмообмыва Эрценер Машиненфабрик ледокола «Диксон» Архангельского филиала ФГУП «Росморпорт»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;57918;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"Услуги по диагностике ступеней сжатия воздуходувки пневмообмыва ледокола ""Диксон"" Архангельского филиала ФГУП ""Росморпорт""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;46944;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Поставка СЗЧ для ступени сжатия воздуходувки пневмообмыва ледокола «Диксон» Архангельского филиала ФГУП «Росморпорт»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;926013;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Ремонт турбокомпрессора ТК-23 ГД 6ЧН 25/34 з/с «Северо-Западный-503»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;900256;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Выполнение работ по монтажу двух турбокомпрессоров главных двигателей MAN D2876LE402 рабочего катера «Евгений Васильев»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;873932;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Поставка турбокомпрессора главного двигателя MAN D2876LE402 рабочего катера «Евгений Васильев»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;875475;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Выполнение работ по монтажу двух турбокомпрессоров главных двигателей MAN D2876LE402 рабочего катера «Евгений Васильев»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;873923;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Выполнение работ по ремонту ремонту двух турбокомпрессоров главных двигателей MAN D2876LE402 рабочего катера «Евгений Васильев»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП410834;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос котировок в электронной форме (СФ 60-24), участниками которого могут быть только субъекты малого и среднего предпринимательства, по выбору организации на право заключения до;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;737818;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;"Поставка СЗЧ (расходное снабжение) патрубка турбокомпрессора D50х500 №203591692 (D50 L500) прямой для катера ""Луч"" Астраханского филиала ФГУП ""Росморпорт""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП4091412;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос ценовой информации в электронной форме (ЗЦИ СФ 56-24), участниками которого могут быть только субъекты малого и среднего предпринимательства, для определения начальной (макс;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;569472;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Выполнение робот по ремонту турбокомпрессора ТК-23Н;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;471200;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Ремонт турбокомпрессора;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП2101608;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос котировок в электронной форме (СФ 35-22), участниками которого могут быть только субъекты малого и среднего предпринимательства, по выбору организации на право заключения до;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП2091623;2;ТЭК-Торг | ТЭК-Торг, контакты;не установлен;Запрос ценовой информации в электронной форме (ЗЦИ СФ 33-22), участниками которого могут быть только субъекты малого и среднего предпринимательства, для определения начальной (макс;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;383359;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Проведение дефектации и ремонта турбокомпрессора двигателя Mercruiser 4.2 D 320 установленного на катере «Вега» проекта Наутилус-800.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;217554;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"Поставка сменно-запасных частей для турбокомпрессора Brown Boveri , установленых на двигателях Wärtsilä ледокола ""Тор"" Архангельского филиала ФГУП ""Росморпорт""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;200675;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Услуги по проведению ремонта турбокомпрессоров Volvo Penta D5А-T серийный №1511214238 / 1511214239-2шт, Volvo Penta D9А2МН серийный №1009187071 /1009187074 -2шт для буксира «Добрын;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;154716;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;поставка СЗЧ для турбокомпрессора Brown Boveri тип VTR-200 модификация Z4S277II68 серийный номер В 47747 и В 47741, установлены на двигателях Wärtsilä 614Т серийные номера 341, 342;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;83398;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Поставка СЗЧ для турбокомпрессора ТК-23С-43 двигателя 8 ЧНП 25/34;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;915539;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;поставкf комплектных подшипников для газо-турбо нагнетателей ГТН VTR 321 – 2P BROWN BOVERI №НТ355108, обороты max. 22700 в минуту, температура max. 650˚C, спецификация F7K20.0IIDA1;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;771680;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;поставка сменно-запасных частей для газо-турбо нагнетателей главных и вспомогательных двигателей ледокола «Диксон» Архангельского управления Мурманского филиала ФГУП «Росморпорт»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;729563;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;"Поставка рабочей части автономного подогревателя в сборе с кожухом и нагнетателем воздуха, для дизельного отопителя Webasto Thermo E 200 ""SPHEROS"" Valeo 11114944A р/к ""Евгений Васи";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;677026;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;выполнение работ по ремонту газо-турбо нагнетателя № 1 на ледоколе «Диксон» ФГУП «Росморпорт» Архангельский филиал.;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;660712;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;поставка сменно-запасных частей для газо-турбо нагнетателя ледокола «Диксон» Архангельского филиала ФГУП «Росморпорт».;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;630771;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"ремонт газотурбонагнетатель НЗ на ГД 6NVD 26 A-3 Пр.Б шаланда ""Азавская""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;525657;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Поставка смазочного пистолета для нагнетателя с комплектующими на з/с «Вака Нами ГО» с доставкой до борта судна в морской порт Усть-Луга;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;465912;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;"Поставка нагнетателя воздуха НВ-1-12-УХЛ для катера ""Аэроход Хивус-10""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;403602;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Поставка сменно-запасных частей для ремонта вспомогательного двигателя Wartsila и газо-турбо нагнетателя VTR 200Н - WP3I для ледокола «Диксон».;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;161274;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Турбонагнетатель для главного двигателя Volvo-Penta D12D-C;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;62956;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"ДБФ ЦЗ Поставка СЗЧ на газо-турбо-нагнетатель (NAPIER, C-045-52) вспомогательного дизель-генератора 6AL20D с ПУС ""Надежда""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;51950;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"ДБФ ЦЗ Поставка СЗЧ на газо-турбо-нагнетатель (NAPIER, C-045-52) вспомогательного дизель-генератора 6AL20D с ПУС ""Надежда""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;31228;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;"закупка ремкомплекта на газотурбонагнетатель для рк ""Капитан Беляев"" Калининградского управления СЗБФ ФГУП ""Росморпорт""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП4021090;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;(КФ 04-24) по выбору организации на право заключения договора на проведение работ по установке турбовоздуходувки тип «52» ГД №1 Зульцер 6AL20/24 ПУС «Херсонес» Крымского филиала ФГ;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП311739;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;(№ КФ 60-23) по выбору организации на право заключения договора на поставку турбовоздуходувки тип «52», судового двигателя Зульцер 6AL 20/24 для ПУС «Херсонес» Крымского филиала ФГ;один документ записан несколькими фактами — счётчик «Фактов» завышен
7702352454;ЗП310982;2;ТЭК-Торг | ТЭК-Торг, контакты;услуга или чужая техника, не наша машина;Запрос ценовой информации в электронной форме № ЗЦИ КФ 32-23 для определения начальной (максимальной) цены договора на поставку турбовоздуходувки тип «52», судового двигателя Зульц;один документ записан несколькими фактами — счётчик «Фактов» завышен
7703370008;ГП933984;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка центробежной компрессорной установки 8 бар с устройством плавного пуска, в защитном кожухе (Включая шеф-монтажные и пуско-наладочные работы, обучение персонала, инжиниринг;один документ записан несколькими фактами — счётчик «Фактов» завышен
7703642903;589177;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;"940.24.00151_Поставка воздуходувки для станции глубокой очистки сточных вод для ООО ""ЛОЦ ""Энергетик""";один документ записан несколькими фактами — счётчик «Фактов» завышен
7704010978;32312874141;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Поставка прицепной воздуходувки для нужд филиала ГлавУпДК при МИД России МЗК «Москоу Кантри Клаб»;один документ записан несколькими фактами — счётчик «Фактов» завышен
