organizator;inn_organizatora;inn_primechanie;zakazchiki;inn_zakazchikov;predmet;summa;data_publikacii;region;stadiya;tip_procedury;sekciya;reestrovyy_nomer;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;Муфта зубчатая к-т Турбокомпрессора Моника Чер.№012.1174.00.00;0.0;2022-07-19;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП243040;https://etpgpb.ru/procedures/etp/659490-mufta-zubchataya-k-t-turbokompressora-monika-cher-012-1174-00-00/;турбокомпрессор;да;турбокомпрессор;
ДЕПАРТАМЕНТ ГОСЗАКАЗА ЯНАО;8901017607;;;;Поставка турбокомпрессора 0190200000323007673;37700.0;2023-06-20;Ямало-Ненецкий автономный округ;commission;Электронный аукцион;Закупки.Гос44;0190200000323007673;;турбокомпрессор;да;турбокомпрессор;
"ПАО ""ЧМК""";7450001007;;ПАО ЧМК;;"Капитальный ремонт турбокомпрессоров тепловозов ПАО ""ЧМК"" (2поз.)";0.0;2022-06-22;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП242636;https://etpgpb.ru/procedures/etp/645063-kapitalnyy-remont-turbokompressorov-teplovozov-pao-chmk-2poz/;турбокомпрессор;нет;турбокомпрессор;автотранспортный турбокомпрессор
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;Запчасти к турбокомпрессору Моника;0.0;2022-08-15;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП232398;https://etpgpb.ru/procedures/etp/668715-zapchasti-k-turbokompressoru-monika/;компрессор+турбокомпрессор;да;турбокомпрессор;
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;Оказание услуг по сервисному обслуживанию турбокомпрессора «Самсунг»;516000.0;2019-06-11;Челябинская область;completed;Попозиционная закупка;Закупки.Бизнес223;ГП906955;https://etpgpb.ru/procedures/etp/241782-okazanie-uslug-po-servisnomu-obsluzhivaniyu-turbokompressora-samsung/;турбокомпрессор;да;турбокомпрессор;
ПАО ЧМК;;нет в словаре площадки;ПАО ЧМК;;Капитализированный ремонт кислородного турбокомпрессора КТК 12,5/35 №8;0.0;2024-05-27;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП441092;https://etpgpb.ru/procedures/etp/957150-kapitalizirovannyy-remont-kislorodnogo-turbokompressora-ktk-125-35-8/;турбокомпрессор;да;турбокомпрессор;
МУП ВОДОКАНАЛ;;в словаре площадки 9 разных ИНН на это название;МУП ВОДОКАНАЛ;;Запрос ценовой информации для заключения прямого договора на оказание услуг по ремонту турбокомпрессоров автомобилей;0.0;2026-06-15;Свердловская область;commission;Предварительный отбор;Закупки.Бизнес;ГП630417;https://etpgpb.ru/procedures/etp/1262140-zapros-tsenovoy-informatsii-dlya-zaklyucheniya-pryamogo-dogovora-na-okazanie-uslug-po-remontu-turbokompressorov-avtomobiley/;турбокомпрессор;нет;турбокомпрессор;автотранспортный турбокомпрессор
Востокгазпром;7017005296;;Газпром метанол;7017156263;Право заключения договора на поставку запасных частей турбокомпрессоров для нужд ООО «Сибметахим»;2950094.4;2015-06-29;Томская область;completed;Запрос предложений;Закупки ГК «Газпром»;31502514822;https://etpgpb.ru/procedures/gaz/39133-pravo-zaklyucheniya-dogovora-na-postavku-zapasnyh-chastey-turbokompressorov-dlya-nuzhd-ooo-sibmetahim/;турбокомпрессор;да;турбокомпрессор;
ПАО «Южный Кузбасс»;4214000608;;ПАО «Южный Кузбасс»;4214000608;Поставка турбокомпрессора воздушного ТВ-200-1,4 согласно ТЗ;0.0;2023-02-02;Кемеровская область;completed;Попозиционная;Закупки.Бизнес;ГП302295;https://etpgpb.ru/procedures/etp/738892-postavka-turbokompressora-vozdushnogo-tv-200-14-soglasno-tz/;турбокомпрессор;да;турбокомпрессор;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;"приобретение запчастей на турбокомпрессор ""МОНИКА""";;2020-06-11;Республика Крым;completed;Попозиционная;Закупки.Бизнес;ГП018307;https://etpgpb.ru/procedures/etp/358995-priobretenie-zapchastey-na-turbokompressor-monika/;турбокомпрессор;да;турбокомпрессор;
Махмудов Абдулазиз Махмудович;470507656525;;Махмудов Абдулазиз Махмудович;470507656525;турбокомпрессор ЦК-135/М1;5000000.0;2026-07-16;Санкт-Петербург;accepting;Аукцион;ЭТП Торги;ИМ011668;https://etpgpb.ru/procedures/sale/1168962-turbokompressor-tsk-135-m1/;турбокомпрессор;да;турбокомпрессор;
ПАО «Южный Кузбасс»;4214000608;;ПАО «Южный Кузбасс»;4214000608;Турбокомпрессор типа ТВ-200-1,4, в сборе с рамой и электродвигателем. Согласно ТЗ;;2018-02-19;Кемеровская область;completed;Попозиционные торги;Закупки.Бизнес;ГП814564;https://etpgpb.ru/procedures/etp/140445-turbokompressor-tipa-tv-200-14-v-sbore-s-ramoy-i-elektrodvigatelem-soglasno-tz/;турбокомпрессор;да;турбокомпрессор;
Эльгауголь;1434045743;;Эльгауголь;1434045743;Закупка запасных частей для экскаватора CАТ345 (турбокомпрессор 4613746- 1шт.,  прокладка 2746851 - 1шт.);;2017-01-29;Республика Саха (Якутия);completed;Запрос предложений;Закупки.Бизнес;ГП701857;https://etpgpb.ru/procedures/etp/84768-zakupka-zapasnyh-chastey-dlya-ekskavatora-cat345-turbokompressor-4613746-1sht-prokladka-2746851-1sht/;турбокомпрессор;нет;турбокомпрессор;автотранспортный турбокомпрессор
БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;нет в словаре площадки;БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;Поставка турбокомпрессоров воздушных в комплекте с электродвигателем для нужд ООО «БАРНАУЛЬСКИЙ ВОДОКАНАЛ»;4945220.0;2017-08-30;Алтайский край;completed;Запрос предложений;Закупки.Бизнес223;31705472682;https://etpgpb.ru/procedures/etp/112559-postavka-turbokompressorov-vozdushnyh-v-komplekte-s-elektrodvigatelem-dlya-nuzhd-ooo-barnaulskiy-vodokanal/;компрессор+турбокомпрессор;да;турбокомпрессор;
БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;нет в словаре площадки;БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;Поставка турбокомпрессоров воздушных в комплекте с электродвигателем для нужд ООО «БАРНАУЛЬСКИЙ ВОДОКАНАЛ»;4945220.0;2017-07-19;Алтайский край;completed;Запрос предложений;Закупки.Бизнес223;31705337182;https://etpgpb.ru/procedures/etp/106264-postavka-turbokompressorov-vozdushnyh-v-komplekte-s-elektrodvigatelem-dlya-nuzhd-ooo-barnaulskiy-vodokanal/;компрессор+турбокомпрессор;да;турбокомпрессор;
ПАО ЧМК;;нет в словаре площадки;ПАО ЧМК;;Капитальный ремонт азотного турбокомпрессора 32 ВЦ 100/9 №1;0.0;2023-07-07;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП307956;https://etpgpb.ru/procedures/etp/806806-kapitalnyy-remont-azotnogo-turbokompressora-32-vts-100-9-1/;турбокомпрессор;да;турбокомпрессор;
ПАО ЧМК;;нет в словаре площадки;ПАО ЧМК;;Капитальный ремонт азотного турбокомпрессора 32 ВЦ 100/9 №2;0.0;2024-10-21;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП446534;https://etpgpb.ru/procedures/etp/1015671-kapitalnyy-remont-azotnogo-turbokompressora-32-vts-100-9-2/;турбокомпрессор;да;турбокомпрессор;
ГЛАВНОЕ УПРАВЛЕНИЕ МЧС РОССИИ ПО ИВАНОВСКОЙ ОБЛАСТИ;3702062557;;;;Закупка турбокомпрессора для автомобиля УРАЛ 0133100009824000001;48000.0;2024-02-09;Ивановская область;commission;Электронный аукцион;Закупки.Гос44;0133100009824000001;;турбокомпрессор;нет;турбокомпрессор;автотранспортный турбокомпрессор
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;"ООО ""МЕЧЕЛ-ЭНЕРГО""";;Оказание услуг по внедрению системы автоматизированного управления (САУТК) турбокомпрессором К-250 №2;3233200.0;2018-06-01;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес223;31806561022;https://etpgpb.ru/procedures/etp/158765-okazanie-uslug-po-vnedreniyu-sistemy-avtomatizirovannogo-upravleniya-sautk-turbokompressorom-k-250-2/;турбокомпрессор;да;турбокомпрессор;
"АО ""СНХЗ""";0268004714;;АО СНХЗ;;Реализация бывших в употреблении не востребованных турбокомпрессоров ВИОЛА типа 5RМD56 в количестве 4 комплектов;0.0;2025-03-13;Республика Башкортостан;completed;Продажа без объявления цены;ЭТП Торги;ГП527440;https://etpgpb.ru/procedures/etp/1092229-realizatsiya-byvshih-v-upotreblenii-ne-vostrebovannyh-turbokompressorov-viola-tipa-5rmd56-v-kolichestve-4-komplektov/;турбокомпрессор;да;турбокомпрессор;
"АО ""СНХЗ""";0268004714;;АО СНХЗ;;Реализация бывших в употреблении не востребованных турбокомпрессоров ВИОЛА типа 5RМD56 в количестве 4 комплектов;0.0;2024-02-09;Республика Башкортостан;completed;Продажа без объявления цены;ЭТП Торги;ГП414739;https://etpgpb.ru/procedures/etp/908315-realizatsiya-byvshih-v-upotreblenii-ne-vostrebovannyh-turbokompressorov-viola-tipa-5rmd56-v-kolichestve-4-komplektov/;турбокомпрессор;да;турбокомпрессор;
ННК-ВТК;7017349988;;ННК-ВТК;7017349988;Обслуживание и ремонт турбокомпрессоров HPR 4000;0.0;2016-04-13;Томская область;completed;Запрос котировок;Закупки.Бизнес;ГП604612;https://etpgpb.ru/procedures/etp/53023-obsluzhivanie-i-remont-turbokompressorov-hpr-4000/;турбокомпрессор;да;турбокомпрессор;
"АО ""ВОЛТАЙР-ПРОМ""";3435900531;;"АО ""ВОЛТАЙР-ПРОМ""";3435900531;Открытый тендер на право заключения договора подряда на капитальный ремонт электродвигателя для турбокомпрессора ТА-6000 К-1;0.0;2024-06-18;Волгоградская область;completed;Попозиционная;Закупки.Бизнес;ГП430663;https://etpgpb.ru/procedures/etp/969934-otkrytyy-tender-na-pravo-zaklyucheniya-dogovora-podryada-na-kapitalnyy-remont-elektrodvigatelya-dlya-turbokompressora-ta-6000-k-1/;турбокомпрессор;да;турбокомпрессор;
ПАО «Южный Кузбасс»;4214000608;;ПАО «Южный Кузбасс»;4214000608;Турбокомпрессор типа ТВ-200-1,4 в сборе с рамой и электродвигателем согласно ТЗ.;;2020-02-07;Кемеровская область;completed;Попозиционная;Закупки.Бизнес;ГП002967;https://etpgpb.ru/procedures/etp/317163-turbokompressor-tipa-tv-200-14-v-sbore-s-ramoy-i-elektrodvigatelem-soglasno-tz/;турбокомпрессор;да;турбокомпрессор;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;Запчасти турбокомпрессора Моника №1 (корпус, диафрагма, подшипник);0.0;2023-09-11;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП321525;https://etpgpb.ru/procedures/etp/838484-zapchasti-turbokompressora-monika-1-korpus-diafragma-podshipnik/;компрессор+турбокомпрессор;да;турбокомпрессор;
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;"Оказание услуг по сервисному обслуживанию турбокомпрессора «Самсунг» для нужд ОП ООО ""МЕЧЕЛ-ЭНЕРГО"" в г. Ижевск";360000.0;2020-07-22;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП043121;https://etpgpb.ru/procedures/etp/372957-okazanie-uslug-po-servisnomu-obsluzhivaniyu-turbokompressora-samsung-dlya-nuzhd-op-ooo-mechel-energo-v-g-izhevsk/;турбокомпрессор;да;турбокомпрессор;
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;"Оказание услуг по сервисному обслуживанию турбокомпрессора «Самсунг» для нужд ОП ООО ""МЕЧЕЛ-ЭНЕРГО"" в г. Ижевск";360000.0;2020-06-30;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП042534;https://etpgpb.ru/procedures/etp/365372-okazanie-uslug-po-servisnomu-obsluzhivaniyu-turbokompressora-samsung-dlya-nuzhd-op-ooo-mechel-energo-v-g-izhevsk/;турбокомпрессор;да;турбокомпрессор;
ПАО «Южный Кузбасс»;4214000608;;ПАО «Южный Кузбасс»;4214000608;Турбокомпрессор типа ТВ-200-1,4 в сборе с рамой и электродвигателем согласно ТЗ для ЦОФК;0.0;2021-01-21;Кемеровская область;completed;Попозиционная;Закупки.Бизнес;ГП125343;https://etpgpb.ru/procedures/etp/438176-turbokompressor-tipa-tv-200-14-v-sbore-s-ramoy-i-elektrodvigatelem-soglasno-tz-dlya-tsofk/;турбокомпрессор;да;турбокомпрессор;
ПАО «Южный Кузбасс»;4214000608;;ПАО «Южный Кузбасс»;4214000608;Запасные части к экскаваторной технике, турбокомпрессоры к ДВС, один ДВС, подшипники, АКПП;822800.0;2023-07-18;Кемеровская область;completed;Запрос предложений;Закупки.Бизнес;ГП331351;https://etpgpb.ru/procedures/etp/815029-zapasnye-chasti-k-ekskavatornoy-tehnike-turbokompressory-k-dvs-odin-dvs-podshipniki-akpp/;турбокомпрессор;нет;турбокомпрессор;автотранспортный турбокомпрессор
Востокгазпром;7017005296;;Газпром метанол;7017156263;Выполнение работ по сервисному техническому обслуживанию систем автоматического регулирования турбокомпрессоров производства метанола;7400239.2;2025-02-28;Томская область;completed;Маркетинговые исследования;Закупки ГК «Газпром»;32514565199;https://etpgpb.ru/procedures/gaz/227166-vypolnenie-rabot-po-servisnomu-tehnicheskomu-obsluzhivaniyu-sistem-avtomaticheskogo-regulirovaniya-turbokompressorov-proizvodstva-metanola/;турбокомпрессор;да;турбокомпрессор;
АВИАПРЕДПРИЯТИЕ ГАЗПРОМ АВИА;7736046504;;АВИАПРЕДПРИЯТИЕ ГАЗПРОМ АВИА;7736046504;"Выполнение работ по ремонту турбокомпрессора вертолета ЕС-135 для нужд ООО Авиапредприятие ""Газпром авиа""";38000000.0;2016-04-22;Москва;completed;Запрос предложений;Закупки ГК «Газпром»;31603589004;https://etpgpb.ru/procedures/gaz/62669-vypolnenie-rabot-po-remontu-turbokompressora-vertoleta-es-135-dlya-nuzhd-ooo-aviapredpriyatie-gazprom-avia/;турбокомпрессор;да;турбокомпрессор;
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;"Оказание услуг по сервисному обслуживанию турбокомпрессора «Самсунг» для нужд ОП ООО ""МЕЧЕЛ-ЭНЕРГО"" в г. Ижевск";516000.0;2019-07-03;Челябинская область;completed;Попозиционная;Закупки.Бизнес223;ГП907363;https://etpgpb.ru/procedures/etp/248624-okazanie-uslug-po-servisnomu-obsluzhivaniyu-turbokompressora-samsung-dlya-nuzhd-op-ooo-mechel-energo-v-g-izhevsk/;турбокомпрессор;да;турбокомпрессор;
ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;нет в словаре площадки;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;Ремонт  турбокомпрессоров поз.М-1, поз.М-6 и поз.М-5    цеха №56 Мономер;0.0;2022-07-26;Республика Башкортостан;completed;Предварительный отбор\Квалификационный отбор;Закупки.Бизнес;ГП255239;https://etpgpb.ru/procedures/etp/661995-remont-turbokompressorov-poz-m-1-poz-m-6-i-poz-m-5-tseha-56-mo/;турбокомпрессор;да;турбокомпрессор;
"АО ""ТОРГОВЫЙ ПОРТ ПОСЬЕТ""";;нет в словаре площадки;"АО ""ТОРГОВЫЙ ПОРТ ПОСЬЕТ""";;Поставка турбокомпрессора для перегрузочной машины «Libherr A934C» зав.№WLHZ1006KZK042323 хоз.№50, 2008 года выпуска;183476.94;2018-06-13;Приморский край;completed;Попозиционные торги;Закупки.Бизнес223;31806597077;https://etpgpb.ru/procedures/etp/160626-postavka-turbokompressora-dlya-peregruzochnoy-mashiny-libherr-a934c-zav-wlhz1006kzk042323-hoz-50-2008-goda-vypuska/;турбокомпрессор;да;турбокомпрессор;
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;"ООО ""МЕЧЕЛ-ЭНЕРГО""";;"Оказание услуг по сервисному обслуживанию турбокомпрессора ""Самсунг""";872680.8;2018-08-22;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес223;31806843224;https://etpgpb.ru/procedures/etp/172503-okazanie-uslug-po-servisnomu-obsluzhivaniyu-turbokompressora-samsung/;турбокомпрессор;да;турбокомпрессор;
Востокгазпром;7017005296;;Газпром метанол;7017156263;Выполнение болтовых работ на турбокомпрессорах производства метанола;5735146.98;2024-07-05;Томская область;completed;Маркетинговые исследования;Закупки ГК «Газпром»;32413782531;https://etpgpb.ru/procedures/gaz/218483-vypolnenie-boltovyh-rabot-na-turbokompressorah-proizvodstva-metanola/;турбокомпрессор;да;турбокомпрессор;
АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА НОВОКУЙБЫШЕВСК;6330001300;;;;Поставка запасных частей к автотранспорту и механизмам (турбокомпрессоры) 0142300013126000262;101300.0;2026-05-20;Самарская область;commission;Запрос котировок в электронной форме (оптима);Закупки.Гос44;0142300013126000262;;турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ООО ""МЕЧЕЛ-ЭНЕРГО""";;ХИМИЧЕСКАЯ ОЧИСТКА ВОЗДУХООХЛАДИТЕЛЕЙ ТУРБОКОМПРЕССОРА № 1 СОГЛАСНО ТЗ для нужд ЧФ ООО «МЕЧЕЛ-ЭНЕРГО»;784324.76;2018-11-22;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес223;31807184719;https://etpgpb.ru/procedures/etp/188912-himicheskaya-ochistka-vozduhoohladiteley-turbokompressora-1-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ООО ""МЕЧЕЛ-ЭНЕРГО""";;ХИМИЧЕСКАЯ ОЧИСТКА ВОЗДУХООХЛАДИТЕЛЕЙ ТУРБОКОМПРЕССОРА № 1 СОГЛАСНО ТЗ  для нужд ЧФ ООО «МЕЧЕЛ-ЭНЕРГО»;784324.76;2018-12-10;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес223;31807272006;https://etpgpb.ru/procedures/etp/192794-himicheskaya-ochistka-vozduhoohladiteley-turbokompressora-1-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ООО ""МЕЧЕЛ-ЭНЕРГО""";;ХИМИЧЕСКАЯ ОЧИСТКА ВОЗДУХООХЛАДИТЕЛЕЙ ТУРБОКОМПРЕССОРА № 1 СОГЛАСНО ТЗ  для нужд ЧФ ООО «МЕЧЕЛ-ЭНЕРГО»;784324.76;2018-11-13;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес223;31807139412;https://etpgpb.ru/procedures/etp/186890-himicheskaya-ochistka-vozduhoohladiteley-turbokompressora-1-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;Выполнение  работ   по  ремонту  турбокомпрессора TAE-50M4R2RCD/30 серийный № СВ-15095 инв. №14030009;70236.0;2019-02-20;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП926295;https://etpgpb.ru/procedures/etp/208954-vypolnenie-rabot-po-remontu-turbokompressora-tae-50m4r2rcd-30-seriynyy-sv-15095-inv-14030009/;турбокомпрессор;да;турбокомпрессор;
Востокгазпром;7017005296;;АО Газпром добыча Томск;7019035722;"Поставка наборов сервисных к турбокомпрессорам для нужд ОАО ""Томскгазпром""";2708321.25;2019-08-15;Томская область;completed;Маркетинговые исследования;Закупки ГК «Газпром»;31908202067;https://etpgpb.ru/procedures/gaz/140346-postavka-naborov-servisnyh-k-turbokompressoram-dlya-nuzhd-oao-tomskgazprom/;компрессор+турбокомпрессор;да;турбокомпрессор;
ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;Выполнение работ по диагностики и техническому обслуживанию турбокомпрессора TAE-200A/15 зав. № СВ-15093 согласно  Технического задания;61392.0;2021-03-15;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП127369;https://etpgpb.ru/procedures/etp/457936-vypolnenie-rabot-po-diagnostiki-i-tehnicheskomu-obsluzhivaniyu-turbokompressora-tae-200a-15-zav-sv-15093-soglasno-tehnicheskogo-zadaniya/;турбокомпрессор;да;турбокомпрессор;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;"Выполнение работ по замене охладителя газа турбокомпрессора ""Моника"" корпус А (5RVA70), корпус Б (7RVA70).";;2020-09-16;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП033015;https://etpgpb.ru/procedures/etp/390965-vypolnenie-rabot-po-zamene-ohladitelya-gaza-turbokompressora-monika-korpus-a-5rva70-korpus-b-7rva70/;турбокомпрессор;да;турбокомпрессор;
ГЭХ Закупки;;нет в словаре площадки;ПАО ТГК-1;7841312071;МИ №1452/МИ - Турбокомпрессоры к тепловозам для Апатитской ТЭЦ (D24NP00166);2280000.0;2023-12-15;Санкт-Петербург;completed;Запрос (ценовых) котировок;Закупки.Бизнес;32313095002;https://etpgpb.ru/procedures/etp/885918-mi-1452-mi-turbokompressory-k-teplovozam-dlya-apatitskoy-tets-d24np00166/;турбокомпрессор;нет;турбокомпрессор;автотранспортный турбокомпрессор
"АО ""ВОЛТАЙР-ПРОМ""";3435900531;;"АО ""ВОЛТАЙР-ПРОМ""";3435900531;Открытый тендер на право заключения договора подряда по ремонту турбокомпрессора ТА-6000 (К1) участка по производству и подготовки воздуха;0.0;2021-06-16;Волгоградская область;completed;Попозиционная;Закупки.Бизнес;ГП130612;https://etpgpb.ru/procedures/etp/498936-otkrytyy-tender-na-pravo-zaklyucheniya-dogovora-podryada-po-remontu-turbokompressora-ta-6000-k1-uchastka-po-proizvodstvu-i-podgotovki-vozduha/;турбокомпрессор;да;турбокомпрессор;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;Трубный пучок охладителя газа турбокомпрессора 4VRZ корпус  А F=400м2, чертеж 1446883;;2019-10-21;Республика Крым;completed;Попозиционная;Закупки.Бизнес;ГП946105;https://etpgpb.ru/procedures/etp/280044-trubnyy-puchok-ohladitelya-gaza-turbokompressora-4vrz-korpus-a-f-400m2-chertezh-1446883/;турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ЧФ ООО ""Мечел-Энерго""";7722245108;"Капитальный ремонт турбокомпрессора доменного дутья №3А Согласно ТЗ для нужд ЧФ ООО ""МЕЧЕЛ-ЭНЕРГО""";2695073.74;2023-06-19;Челябинская область;completed;Запрос предложений в электронной форме для СМСП;Закупки.Бизнес223;32312498877;https://etpgpb.ru/procedures/etp/802549-kapitalnyy-remont-turbokompressora-domennogo-dutya-3a-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ЧФ ООО ""Мечел-Энерго""";7722245108;"Капитальный ремонт турбокомпрессора доменного дутья №3А Согласно ТЗ для нужд ЧФ ООО ""МЕЧЕЛ-ЭНЕРГО""";2695073.74;2023-07-27;Челябинская область;completed;Попозиционная;Закупки.Бизнес223;32312621161;https://etpgpb.ru/procedures/etp/819992-kapitalnyy-remont-turbokompressora-domennogo-dutya-3a-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ЧФ ООО ""Мечел-Энерго""";7722245108;"Химическая очистка воздухоохладителей Турбокомпрессора №4, №5 Согласно ТЗ для нужд ЧФ ООО ""МЕЧЕЛ-ЭНЕРГО""";2856201.6;2023-03-28;Челябинская область;completed;Попозиционная;Закупки.Бизнес223;32312232702;https://etpgpb.ru/procedures/etp/764739-himicheskaya-ochistka-vozduhoohladiteley-turbokompressora-4-5-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ЧФ ООО ""Мечел-Энерго""";7722245108;"Химическая очистка воздухоохладителей Турбокомпрессора №4, №5 Согласно ТЗ для нужд ЧФ ООО ""МЕЧЕЛ-ЭНЕРГО""";2856201.6;2023-04-12;Челябинская область;completed;Попозиционная;Закупки.Бизнес223;32312282558;https://etpgpb.ru/procedures/etp/772723-himicheskaya-ochistka-vozduhoohladiteley-turbokompressora-4-5-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
ЦРМЗ;7721678652;;ЦРМЗ;7721678652;Турбокомпрессор и комплектующие;;2023-08-28;Москва;completed;Ценовой запрос;Закупки.Бизнес;499505;https://etpgpb.ru/procedures/price_request/499505-turbokompressor-i-komplektuyuschie/;турбокомпрессор;да;турбокомпрессор;
«Транснефть – Дальний Восток»;2724132118;;«Транснефть – Дальний Восток»;2724132118;Турбокомпрессор;;2026-01-28;Приморский край;completed;Ценовой запрос;Торговый портал;893644;https://etpgpb.ru/procedures/price_request/893644-turbokompressor/;турбокомпрессор;да;турбокомпрессор;
"ООО ""НЭУ""";;нет в словаре площадки;"ООО ""НЭУ""";;Поставка ЗИП к двигателю Caterpillar (головка блока, комплект прокладок, муфта соединительная, турбокомпрессор в сборе, форсунка топливная). (Лот №5951).;0.0;2023-10-10;Ямало-Ненецкий автономный округ;completed;Запрос предложений;Закупки.Бизнес;ГП322562;https://etpgpb.ru/procedures/etp/850684-postavka-zip-k-dvigatelyu-caterpillar-golovka-bloka-komplekt-prokladok-mufta-soedinitelnaya-turbokompressor-v-sbore-forsunka-toplivnaya-lot-5951/;турбокомпрессор;да;турбокомпрессор;
"АО ""СНХЗ""";0268004714;;АО СНХЗ;;Сбор коммерческих предложений (Турбокомпрессор ВИОЛА);0.0;2026-02-26;Республика Башкортостан;completed;Продажа без объявления цены;ЭТП Торги;ИМ004758;https://etpgpb.ru/procedures/sale/1162024-sbor-kommercheskih-predlozheniy-turbokompressor-viola/;турбокомпрессор;да;турбокомпрессор;
Востокгазпром;7017005296;;Газпром метанол;7017156263;Поставка систем автоматического регулирования турбокомпрессоров для нужд ООО «Сибметахим»;16510534.8;2020-06-26;Томская область;completed;Конкурентный отбор;Закупки ГК «Газпром»;ГП006120;https://etpgpb.ru/procedures/gaz/154224-postavka-sistem-avtomaticheskogo-regulirovaniya-turbokompressorov-dlya-nuzhd-ooo-sibmetahim/;турбокомпрессор;да;турбокомпрессор;
Востокгазпром;7017005296;;Газпром метанол;7017156263;Выполнение работ по проведению помпажного испытания турбокомпрессора производства метанола;1023552.0;2023-07-18;Томская область;completed;Маркетинговые исследования;Закупки ГК «Газпром»;32312590221;https://etpgpb.ru/procedures/gaz/204044-vypolnenie-rabot-po-provedeniyu-pompazhnogo-ispytaniya-turbokompressora-proizvodstva-metanola/;турбокомпрессор;да;турбокомпрессор;
