marka;nash_profil;tip;sreda;seriya;proizvoditel;pochemu;nashih_upominaniy;nashih_predpriyatiy;znayut;ssylka;godno_kak_slovo_poiska
КНС-108Л;;;;;;;0;0;1s-неопознанные;;
КНС-12;;;;;;;2;2;1s-неопознанные;;
КНС-18;;;;;;;6;3;только наша база;;
КНС-23;;;;;;;2;2;только наша база;;
КНС-60;;;;;;;1;1;1s-неопознанные;;
КНС-75;;;;;;;1;1;1s-неопознанные;;
КНС-78;;;;;;;1;1;1s-неопознанные;;
КНС-78С;;;;;;;1;1;1s-неопознанные;;
КНС-83;;;;;;;1;1;1s-неопознанные;;
КНС-86А;;;;;;;2;1;1s-неопознанные;;
КНС-97;;;;;;;1;1;1s-неопознанные;;
КНС-97ПР;;;;;;;0;0;1s-неопознанные;;
КО-10;;;;;;;3;2;1s-неопознанные;;
КО-11;;;;;;;3;2;1s-неопознанные;;
КО-12;;;;;;;2;1;1s-неопознанные;;
КО-41-4;;;;;;;2;1;1s-неопознанные;;
КО-42-4;;;;;;;0;0;1s-неопознанные;;
КО-50;;;;;;;3;1;1s-неопознанные;;
КО-514;;;;;;;1;1;1s-неопознанные;;
КО-52-2;;;;;;;0;0;1s-неопознанные;;
КО-829Д;;;;;;;5;2;только наша база;;
КОС-25;;;;;;;1;1;1s-неопознанные;;
КП-1;;;;;;;1;1;1s-неопознанные;;
КП-1,2;;;;;;;0;0;1s-неопознанные;;
КП-1/4;;;;;;;2;2;только наша база;;
КП-101;;;;;;;0;0;1s-неопознанные;;
КП-101,3;;;;;;;0;0;1s-неопознанные;;
КП-101,4;;;;;;;0;0;1s-неопознанные;;
КП-11;;;;;;;1;1;1s-неопознанные;;
КП-12;;;;;;;2;2;1s-неопознанные;;
КП-2;;;;;;;0;0;1s-неопознанные;;
КП-2/4;;;;;;;2;2;только наша база;;
КП-200-24;;;;;;;1;1;1s-неопознанные;;
КП-220;;;;;;;0;0;1s-неопознанные;;
КП-270/150;;;;;;;5;2;только наша база;;
КП-3;;;;;;;0;0;1s-неопознанные;;
КП-3/1;;;;;;;2;2;только наша база;;
КП-3/2;;;;;;;2;2;только наша база;;
КП-3/3;;;;;;;2;2;только наша база;;
КП-4;;;;;;;0;0;1s-неопознанные;;
КП-4/4;;;;;;;2;2;только наша база;;
КП-480;;;;;;;0;0;1s-неопознанные;;
КП-5;;;;;;;0;0;1s-неопознанные;;
КП-701;;;;;;;0;0;1s-неопознанные;;
КП-701/1;;;;;;;4;2;только наша база;;
КП-701/2;;;;;;;3;2;только наша база;;
КП-8С;;;газ;;;Маслосистема предназначена для газового компрессора ЦК-301.;10;3;1s-среда, 1s-неопознанные;;
КПБ-190;;;;;;;0;0;1s-неопознанные;;
КПП 16;;;;;;;8;2;только наша база;;
КПП-095-04;;;;;;;0;0;1s-неопознанные;;
КПП-10;;;;;;;0;0;1s-неопознанные;;
КПП-10-30-10,5;;;;;;;0;0;1s-неопознанные;;
КПП-16;;;;;;;0;0;1s-неопознанные;;
КПП-16-30-10,5;;;;;;;0;0;1s-неопознанные;;
КПП-4Р;;;;;;;0;0;1s-неопознанные;;
КПП-50-160;;;;;;;0;0;1s-неопознанные;;
КПП-50-40;;;;;;;0;0;1s-неопознанные;;
КПЭИ-1096-9;;;;;;;0;0;1s-неопознанные;;
КПЭИ-140;;;;;;;0;0;1s-неопознанные;;
КР-01-01;;;газ;;;Компрессор эксплуатируется на гелиевом заводе для перекачки газовой смеси.;1;1;1s-среда, 1s-неопознанные;;
КР-204-2-11;;;;;;;0;0;1s-неопознанные;;
КР-204-2-15;;;;;;;0;0;1s-неопознанные;;
КР-204-2-16;;;;;;;0;0;1s-неопознанные;;
КР-204-2-17;;;;;;;0;0;1s-неопознанные;;
КР-57;;;;;;;1;1;1s-неопознанные;;
КР-58;;;;;;;1;1;1s-неопознанные;;
КР-59;;;;;;;1;1;1s-неопознанные;;
КР-600;;;;;;;11;3;1s-неопознанные;;
КРП-11;;;;;;;1;1;1s-неопознанные;;
КРП-14;;;;;;;1;1;1s-неопознанные;;
КРТ-020;;;;;;;0;0;1s-неопознанные;;
КС 840;;;;;;;5;2;только наша база;;
КС-00;;;газ;;;Компрессорная станция относится к магистральному газопроводу и перекачивает природный газ.;8;1;1s-среда, 1s-неопознанные;;
КС-01;;;;;;;2;1;1s-неопознанные;;
КС-02;;;;;;;7;1;1s-неопознанные;;
КС-03;;;газ;;;Газоперекачивающий агрегат ГТК-10-4 предназначен для транспортировки природного газа.;14;1;1s-среда, 1s-неопознанные;;
КС-1;;;;;;;6;2;только наша база;;
КС-10;;;;;;;19;4;1s-неопознанные;;
КС-101;;;;;;;0;0;1s-неопознанные;;
КС-11;;позиционное обозначение установки;;;;;38;4;1s-провайдером, 1s-неопознанные;;
КС-12;;;газ;;;Контекст указывает на эксплуатацию нагнетателей природного газа на данной компрессорной станции.;33;4;1s-среда, 1s-неопознанные;;
КС-13;;;;;;;21;3;1s-неопознанные;;
КС-14;;;;;;;9;3;1s-неопознанные;;
КС-15;;;газ;;;Контекст прямо указывает на размещение на объекте нагнетателей природного газа.;18;3;1s-среда;;
КС-16;;;газ;;;В контексте прямо указано размещение нагнетателя природного газа.;43;9;1s-среда;;
КС-17;;;газ;;;Нагнетатель газоперекачивающего агрегата на компрессорной станции перекачивает природный газ.;22;5;1s-среда, 1s-неопознанные;;
КС-17А;;;газ;;;Нагнетатели типа Н на компрессорной станции магистрального газопровода сжимают природный газ.;8;1;1s-среда, 1s-неопознанные;;
КС-18;;;газ;;;На компрессорной станции КС-18 используются центробежные нагнетатели природного газа.;25;3;1s-среда, 1s-неопознанные;;
КС-18А;;;газ;;;Нагнетатели типа Н на компрессорной станции магистрального газопровода предназначены для перекачки природного газа.;6;1;1s-среда, 1s-неопознанные;;
КС-19;;;газ;;;Нагнетатели типа Н на компрессорной станции магистрального газопровода сжимают природный газ.;61;14;1s-среда, 1s-провайдером, 1s-неопознанные;;
КС-19-П;;;;;;;0;0;1s-неопознанные;;
КС-19N;;;;;;;0;0;1s-неопознанные;;
КС-19А;;;газ;;;Нагнетатели типа Н на компрессорной станции магистрального газопровода сжимают природный газ.;11;1;1s-среда, 1s-неопознанные;;
КС-19П;;не компрессор (другое оборудование);;;;марка компрессорного масла КС-19п;36;4;1s-провайдером, 1s-неопознанные;;
КС-20;;;;;;;9;3;1s-неопознанные;;
КС-201;;;;;;;0;0;1s-неопознанные;;
КС-201/1;;;газ;;;Контекст говорит о системе подачи буферного газа в компрессорных агрегатах Siemens на газоперерабатывающем заводе.;4;1;1s-среда;;
КС-201/1,2;;;газ;;;В контексте прямо указана работа компрессора с попутным нефтяным газом.;0;0;1s-среда;;
КС-201/2;;;газ;;;Контекст говорит о системе подачи буферного газа в компрессорных агрегатах Siemens на газоперерабатывающем заводе.;2;1;1s-среда;;
КС-21;;;;;;;4;2;только наша база;;
КС-22;;;газ;;;Компрессорная станция КС-22 работает на магистральных газопроводах природного газа.;33;2;1s-среда, 1s-неопознанные;;
КС-24;;;;;;;3;1;1s-неопознанные;;
КС-25;;;газ;;;КС-25 — это обозначение компрессорной станции, используемой для транспортировки природного газа в Единой системе газоснабжения.;9;2;1s-среда, 1s-неопознанные;;
КС-26;;;газ;;;Нагнетатели компрессорной станции сжимают природный газ.;14;1;1s-среда, 1s-неопознанные;;
КС-28;;;;;;;7;3;только наша база;;
КС-29;;;не ясно;;;В представленном контексте и обозначении отсутствуют прямые сведения о рабочей среде.;1;1;1s-среда;;
КС-2К;;;;;;;39;6;1s-неопознанные;;
КС-3;;;;;;;4;1;1s-неопознанные;;
КС-3/2;;;газ;;;Контекст говорит об установке центробежных компрессоров на КС-3/2 Лянторского м/р, что характерно для газовой среды.;1;1;1s-среда;;
КС-3577-3;;;;;;;1;1;1s-неопознанные;;
КС-3577-4;;;;;;;1;1;1s-неопознанные;;
КС-400;;;;;;;7;3;только наша база;;
КС-4361А;;;;;;;3;2;1s-неопознанные;;
КС-45;;;;;;;1;1;1s-неопознанные;;
КС-5,5;;;;;;;0;0;1s-неопознанные;;
КС-50-42Б;;;;;;;0;0;1s-неопознанные;;
КС-50-42В;;;;;;;0;0;1s-неопознанные;;
КС-5476;;;;;;;1;1;1s-неопознанные;;
КС-60-01;;;;;;;2;1;1s-неопознанные;;
КС-6476;;;;;;;2;1;1s-неопознанные;;
КС-7;;;;;;;4;2;только наша база;;
КС-7-8-270Д;;;;;;;0;0;1s-неопознанные;;
КС-840;;;;;;;0;0;1s-неопознанные;;
КС101/1;;;газ;;;Компрессор эксплуатируется на компрессорной станции сжатия газа установки подготовки и переработки попутного нефтяного газа.;0;0;1s-среда;;
КС101/3;;;газ;;;Обозначение 'КС' в контексте установки переработки попутного нефтяного газа (УППНГ, КССГ) указывает на газовую среду.;0;0;1s-среда;;
КС50-42В;;;;;;;2;2;только наша база;;
КС7-8-270Д;;;;;;;4;2;только наша база;;
КСБТ-1200;;;;;;;0;0;1s-неопознанные;;
КСБУ-5А;;;;;;;1;1;1s-неопознанные;;
КСВ-1,86;;;;;;;0;0;1s-неопознанные;;
КСТ-200;;;;;;;2;1;1s-неопознанные;;
КСТ-320;;;;;;;7;2;1s-неопознанные;;
КТ-01А;;;;;;;0;0;1s-неопознанные;;
КТ-1;;;;;;;0;0;1s-неопознанные;;
КТ-1/1;;;не ясно;;;В приведенном контексте отсутствует информация о марке КТ-1/1.;172;2;1s-среда;;
КТ-1/1.;;;;;;;9;2;только наша база;;
КТ-115-8;;;;;;;6;2;только наша база;;
КТ-11А;;;;;;;1;1;1s-неопознанные;;
КТ-16;;;;;;;0;0;1s-неопознанные;;
КТ-70-40-6;;;;;;;0;0;1s-неопознанные;;
КТ01А;;;;;;;2;2;только наша база;;
КТ02А;;;не ясно;;;Позиция относится к приводной турбине, а сжимаемая компрессором среда не указана.;1;1;1s-среда;;
КТ11А;;;;;;;7;2;только наша база;;
КТК 12;;;;;;;35;5;только наша база;;
КТК 7/14;;;;;;;9;3;только наша база;;
КТК-12;;;;;;;158;11;1s-неопознанные;;
КТК-12,2;;;;;;;0;0;1s-неопознанные;;
КТК-12,5;;центробежный газовый или технологический;;;;Казанькомпрессормаш, турбохолодильный компрессор;0;0;1s-провайдером, 1s-неопознанные;;
КТК-12,5/3,5;;;газ;;;Обозначение КТК и контекст прямо указывают на центробежный кислородный компрессор.;0;0;1s-среда;;
КТК-12,5/35;;;газ;;;Обозначение КТК указывает на кислородный турбокомпрессор, перекачивающий кислород.;0;0;1s-среда;;
КТК-12.5/35;;;газ;;;Компрессоры КТК в контексте прямо указаны как кислородный и азотный.;5;1;1s-среда;;
КТК-35-3;;;;;;;3;1;1s-неопознанные;;
КТК-7;;позиционное обозначение установки;;;;обозначение технологического комплекса/установки;0;0;1s-провайдером, 1s-неопознанные;;
КТК-7/14;;;воздух;;;Машина работает в составе воздухоразделительной установки, компримирующей атмосферный воздух.;22;4;1s-среда;;
КТК12,5;;;газ;;;Обозначение КТК расшифровывается как кислородный турбокомпрессор.;0;0;1s-среда;;
КТК12,5/35;;;газ;;;КТК это кислородный турбокомпрессор для сжатия кислорода;0;0;1s-среда;;
КТК12.5/35;;;газ;;;Обозначение КТК расшифровывается как хлорный турбокомпрессор, предназначенный для сжатия хлора.;0;0;1s-среда;;
КТК7/14;;;воздух;;;Аббревиатура КТК обозначает кислородный турбокомпрессор воздухоразделительной установки, относящейся к воздушной среде.;3;1;1s-среда;;
КТП-10;;;;;;;0;0;1s-неопознанные;;
КТП-10-2,1;;;;;;;0;0;1s-неопознанные;;
КТП-10-2,2;;;;;;;0;0;1s-неопознанные;;
КТП-10-2,3;;;;;;;0;0;1s-неопознанные;;
КТП-10-3;;;;;;;0;0;1s-неопознанные;;
КТП-10-7;;;;;;;0;0;1s-неопознанные;;
КТП-10-8;;;;;;;0;0;1s-неопознанные;;
КТП-21;;;;;;;5;1;1s-неопознанные;;
КТП-9-12;;;;;;;0;0;1s-неопознанные;;
КТП-9-7;;;;;;;0;0;1s-неопознанные;;
КТР-1500;;;;;;;6;1;1s-неопознанные;;
КТРУ-27,51;;;;;;;0;0;1s-неопознанные;;
КТРУ-28,30;;;;;;;0;0;1s-неопознанные;;
КТТА-19С;;;воздух;;;Турбокомпрессор и воздушный компрессор двигателя Cummins КТТА-19С предназначены для сжатия воздуха.;3;1;1s-среда;;
КУ 12;;;;;;;2;2;только наша база;;
КУ-1;;;;;;;0;0;1s-неопознанные;;
КУ-101;;;;;;;1;1;1s-неопознанные;;
КУ-12;;;;;;;0;0;1s-неопознанные;;
КУ-2;;;;;;;0;0;1s-неопознанные;;
КУ-201;;;;;;;2;1;1s-неопознанные;;
КФ-04-24;;;;;;;0;0;1s-неопознанные;;
КФ-12-25;;;;;;;0;0;1s-неопознанные;;
КФ-22-22;;;;;;;0;0;1s-неопознанные;;
КФ-30-24;;;;;;;0;0;1s-неопознанные;;
КФ-36-24;;;;;;;0;0;1s-неопознанные;;
КФА-09;;;;;;;2;1;1s-неопознанные;;
КХ-1;;;;;;;0;0;1s-неопознанные;;
КХ-2146;;;;;;;0;0;1s-неопознанные;;
КХ-80;;;;;;;0;0;1s-неопознанные;;
КХ80;;;газ;;;Марка центробежного компрессора 5846 КХ 80 560 на установке каталитического риформинга с индексом С-452 скорее всего сжимает водородосодержащий газ.;0;0;1s-среда;;
КЦ 101/1;;;;;;;13;2;только наша база;;
КЦ 101/3;;;;;;;6;2;только наша база;;
КЦ-10;;;;;;;1;1;1s-неопознанные;;
КЦ-101;;позиционное обозначение установки;;;;позиционный номер оборудования;0;0;1s-провайдером, 1s-неопознанные;;
КЦ-101/1;;;газ;;;В контекстах прямо указана работа компрессора с сырым углеводородным и попутным нефтяным газом.;39;4;1s-среда;;
КЦ-101/1-5;;;газ;;;В контексте указана работа установки с сырым и нефтяным газом.;5;1;1s-среда;;
КЦ-101/2;;;газ;;;В контекстах прямо указана транспортировка и переработка сырого углеводородного и попутного нефтяного газа.;45;4;1s-среда;;
КЦ-101/2,3,4;;;газ;;;КЦ в обозначении на газоперерабатывающем заводе означает компрессорный цех для газа.;0;0;1s-среда;;
КЦ-101/3;;;газ;;;Компрессор К-890 сжимает попутный нефтяной и сырой углеводородный газ;43;4;1s-среда;;
КЦ-101/4;;;газ;;;Позиционный номер относится к компрессорам попутного газа на газоперерабатывающих заводах.;11;5;1s-среда;;
КЦ-101/5;;;газ;;;В контексте прямо указано сжатие сырого углеводородного газа на газоперерабатывающем предприятии.;10;3;1s-среда;;
КЦ-102;;;газ;;;Компрессор установлен на площадке газоперерабатывающего завода (УПГ), среда однозначно газ.;3;2;1s-среда, 1s-неопознанные;;
КЦ-102/2;;;газ;;;Обозначение серии ГЦ указывает на газовый центробежный компрессор для попутного нефтяного газа.;16;1;1s-среда;;
КЦ-135;;;;;;;0;0;1s-неопознанные;;
КЦ-201;;;;;;;0;0;1s-неопознанные;;
КЦ-201/1;;;газ;;;Компрессор эксплуатируется на площадке переработки попутного нефтяного газа.;8;1;1s-среда;;
КЦ-202;;;газ;;;Индекс ГЦ в обозначении компрессора 4ГЦ2-109/18-76 указывает на газовый центробежный компрессор.;2;1;1s-среда, 1s-неопознанные;;
КЦ-301;;;;;;;4;2;только наша база;;
КЦ-5-6;;;;;;;0;0;1s-неопознанные;;
КЦ-501;;;;;;;0;0;1s-неопознанные;;
КЦ-501/1;;;газ;;;Турбокомпрессор расположен на площадке переработки попутного нефтяного газа.;10;2;1s-среда;;
КЦ-501/2;;;газ;;;Турбокомпрессор типа АТП является пропановым холодильным компрессором для работы с газом хладагентом.;7;1;1s-среда;;
КЦ-9,10;;;газ;;;Является продолжением контекста про центробежный нагнетатель НЦ-16/76 на компрессорной станции.;0;0;1s-среда;;
КЦ101/1;;;газ;;;Компрессор эксплуатируется на нефтегазодобывающем предприятии для сжатия газа.;0;0;1s-среда;;
КЦ101/2;;;газ;;;Обозначение 'КЦ' означает компрессор центробежный, а контекст 'нефтегаз' указывает на работу с попутным газом.;0;0;1s-среда;;
КЦ101/3;;;не ясно;;;В контексте отсутствует описание рабочей среды, а обозначение серии не позволяет однозначно её определить.;0;0;1s-среда;;
КЦ101/4;;;воздух;;;Обозначение серии К380 указывает на центробежный воздушный компрессор.;0;0;1s-среда;;
КЦ101/5;;;воздух;;;Модель К-380-103-1 является стандартным воздушным центробежным компрессором.;0;0;1s-среда;;
КЦ135/8;;;воздух;;;Обозначение КЦ указывают на центробежный воздушный компрессор общепромышленного назначения.;0;0;1s-среда;;
КЦ201/1;;;газ;;;Установлен в цехе подготовки газа (УКГ-2) Губкинского ГПЗ, среда — природный или попутный газ.;0;0;1s-среда;;
КЦ201/2;;;газ;;;Аналог КЦ201/1, установлен там же в цехе подготовки газа (УКГ-2) Губкинского ГПЗ.;0;0;1s-среда;;
КЧ-100;;;;;;;2;1;1s-неопознанные;;
КШ-50;;;;;;;0;0;1s-неопознанные;;
КЭП-160;;;;;;;0;0;1s-неопознанные;;
Л-10;;;;;;;0;0;1s-неопознанные;;
Л-100-1;;;;;;;1;1;1s-неопознанные;;
Л-107;;;;;;;5;1;1s-неопознанные;;
Л-108;;;газ;;;Оборудование задействовано в технологической схеме нитрозного нагнетателя, перекачивающего газ.;5;1;1s-среда;;
Л-12;;;;;;;1;1;1s-неопознанные;;
Л-13;;;;;;;1;1;1s-неопознанные;;
Л-13,11;;;;;;;0;0;1s-неопознанные;;
Л-16-1;;;;;;;2;1;1s-неопознанные;;
Л-17;;;;;;;5;2;1s-неопознанные;;
Л-20;;;;;;;3;1;1s-неопознанные;;
Л-200;;;;;;;0;0;1s-неопознанные;;
Л-202;;;;;;;0;0;1s-неопознанные;;
Л-203;;;;;;;1;1;1s-неопознанные;;
Л-205;;;;;;;0;0;1s-неопознанные;;
Л-24;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
Л-24-5;;;газ;;;Компрессор сжимает водородсодержащий газ на установке гидроочистки.;10;1;1s-среда, 1s-неопознанные;;
Л-24-7;;;;;;;5;2;только наша база;;
Л-24/5;;;;;;;5;2;только наша база;;
Л-24/6;;;;;;;19;3;только наша база;;
Л-24/7;;;;;;;33;5;только наша база;;
Л-25;;;;;;;0;0;1s-неопознанные;;
Л-27;;;;;;;0;0;1s-неопознанные;;
Л-29;;;газ;;;Оборудование относится к технологической линии конденсата нитрозных газов в производстве азотной кислоты.;8;2;1s-среда;;
Л-30-1;;;;;;;1;1;1s-неопознанные;;
Л-35;;позиционное обозначение установки;;;;обозначение технологической установки;2;2;1s-провайдером, 1s-неопознанные;;
Л-35-1000;;;;;;;3;1;1s-неопознанные;;
Л-35-11;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
Л-35-11-1000;;;;;;;6;2;1s-неопознанные;;
Л-35-11-300;;;;;;;1;1;1s-неопознанные;;
Л-35-11/1000;;;газ;;;Компрессор эксплуатируется на установке газокаталитического производства для сжатия технологического газа.;356;6;1s-среда;;
Л-35-11/1000.;;;;;;;11;3;только наша база;;
Л-35-11/300;;;;;;;127;7;только наша база;;
Л-35-5;;;;;;;14;3;1s-неопознанные;;
Л-35-6;;;;;;;0;0;1s-неопознанные;;
Л-35-6/300;;;;;;;9;2;только наша база;;
Л-35-8;;;;;;;1;1;1s-неопознанные;;
Л-35/11-1000;;;оба;;;В контекстах к данной установке приведены как воздуходувка, так и компрессор водородсодержащего газа.;419;7;1s-среда;;
Л-35/11-1000.;;;;;;;7;3;только наша база;;
Л-35/11-300;;;;;;;15;3;только наша база;;
Л-35/11-300М;;;;;;;6;2;только наша база;;
Л-35/11-600;;;;;;;32;2;только наша база;;
Л-35/6;;;;;;;23;5;только наша база;;
Л-39;;;;;;;0;0;1s-неопознанные;;
Л-45;;;;;;;0;0;1s-неопознанные;;
Л-5;;;;;;;0;0;1s-неопознанные;;
Л-8921;;;;;;;0;0;1s-неопознанные;;
Л-8925;;;;;;;0;0;1s-неопознанные;;
ЛА-20-155;;;;;;;0;0;1s-неопознанные;;
ЛГ 35/11-300;;;;;;;19;2;только наша база;;
ЛГ-35;;не компрессор (другое оборудование);;;;технологическая установка риформинга/гидроочистки (ЛГ-35);0;0;1s-провайдером, 1s-неопознанные;;
ЛГ-35-11;;;;;;;2;1;1s-неопознанные;;
ЛГ-35-8;;;;;;;0;0;1s-неопознанные;;
ЛГ-35/11;;;;;;;10;3;только наша база;;
ЛГ-35/11-300;;;газ;;;Установка каталитического риформинга ЛГ-35/11-300 работает с водородсодержащим газом.;21;3;1s-среда;;
ЛГ-35/8-300Б;;;оба;;;В контекстах позиции приведены как воздуходувки для воздуха, так и компрессор 5VRM для газа.;7;1;1s-среда;;
ЛГ35/11-300;;;воздух;;;Все описанные в контекстах машины данной установки являются воздуходувками.;1;1;1s-среда;;
ЛГА-200;;;;;;;1;1;1s-неопознанные;;
ЛЗ-150;;;;;;;1;1;1s-неопознанные;;
ЛЗ-240;;;;;;;3;1;1s-неопознанные;;
ЛИАЗ-4292;;;;;;;0;0;1s-неопознанные;;
ЛИАЗ-5292,67-78;;;;;;;0;0;1s-неопознанные;;
ЛКП-500-1000;;;;;;;4;1;1s-неопознанные;;
ЛМ-160;;;;;;;0;0;1s-неопознанные;;
ЛМЗ-97;;;;;;;3;1;1s-неопознанные;;
ЛО-2-75;;;;;;;0;0;1s-неопознанные;;
ЛОТ 27;;;;;;;2;2;только наша база;;
ЛП-18;;;;;;;1;1;1s-неопознанные;;
ЛП-35-11;;;;;;;0;0;1s-неопознанные;;
ЛР-68;;;;;;;3;2;только наша база;;
ЛС-20-04-3;;;;;;;3;1;1s-неопознанные;;
ЛСИ-200;;;оба;;;ЛСИ-200 это не марка компрессора, а технологическая установка, контекст не дает ясной рабочей среды для компрессора 4RSA32.;30;2;1s-среда, 1s-неопознанные;;
ЛТ-400;;;;;;;6;3;только наша база;;
ЛТ-500;;;;;;;80;20;только наша база;;
ЛТ-600;;;;;;;8;3;1s-неопознанные;;
ЛТ-650;;;;;;;18;7;только наша база;;
ЛТ-700;;;;;;;3;1;1s-неопознанные;;
ЛТИ-791;;;;;;;3;1;1s-неопознанные;;
ЛУ-1А-50;;;;;;;1;1;1s-неопознанные;;
ЛУ-1А-75;;;;;;;1;1;1s-неопознанные;;
ЛФ-35;;;;;;;0;0;1s-неопознанные;;
ЛФ-35-21;;;;;;;0;0;1s-неопознанные;;
ЛФ-35-21/1000;;;газ;;;Это шифр установки каталитического риформинга, рабочая среда которой — углеводородный газ.;222;1;1s-среда;;
ЛЧ 35/11-1000;;;;;;;46;2;только наша база;;
ЛЧ 35/11-1000.;;;;;;;6;2;только наша база;;
ЛЧ 35/11-600;;;;;;;11;2;только наша база;;
ЛЧ-24;;;;;;;0;0;1s-неопознанные;;
ЛЧ-24-2000;;;;;;;4;1;1s-неопознанные;;
ЛЧ-24-7;;;;;;;2;1;1s-неопознанные;;
ЛЧ-24/7;;;газ;;;Установка гидроочистки ЛЧ-24/7 использует водородсодержащий газ.;7;3;1s-среда;;
ЛЧ-24/9-2000;;;не ясно;;;ЛЧ-24/9-2000 — технологическая установка или печь, а не компрессорная машина.;0;0;1s-среда;;
ЛЧ-35;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
ЛЧ-35-11;;позиционное обозначение установки;;;;обозначение технологической установки (риформинг/гидроочистка);0;0;1s-провайдером, 1s-неопознанные;;
ЛЧ-35-11-1000.;;;;;;;3;2;только наша база;;
ЛЧ-35-11/1000;;;;;;;17;2;только наша база;;
ЛЧ-35-11/600;;;оба;;;В контекстах данной установки риформинга приведены воздуходувки для воздуха и циркуляционные компрессоры для газа.;31;3;1s-среда;;
ЛЧ-35/11-1000;;;;;;;27;2;только наша база;;
ЛЧ-35/11-600;;;газ;;;Установка ЛЧ-35/11-600 относится к нефтепереработке где компрессор работает с водородсодержащим газом.;13;4;1s-среда;;
ЛЧ35/11-1000;;;газ;;;Компрессор установки каталитического риформинга и гидроочистки ЛЧ 35/11-1000 перекачивает водородосодержащий газ.;0;0;1s-среда;;
ЛЮДМИЛА;;;;;;;0;0;1s-неопознанные;;
М-001;;;;;;;0;0;1s-неопознанные;;
М-0029;;;не ясно;;;Маркировка М-0029 является заводским номером и не содержит информации о рабочей среде.;4;1;1s-среда, 1s-неопознанные;;
М-0101;;;;;;;0;0;1s-неопознанные;;
М-04;;;;;;;1;1;1s-неопознанные;;
М-1;;;;;;;1;1;1s-неопознанные;;
М-1-01;;;;;;;0;0;1s-неопознанные;;
М-1-1;;;;;;;0;0;1s-неопознанные;;
М-1-2;;;;;;;0;0;1s-неопознанные;;
М-1-3;;;;;;;0;0;1s-неопознанные;;
М-1-В1;;;;;;;0;0;1s-неопознанные;;
М-1/1;;;газ;;;Обозначение серии ТГ расшифровывается как турбогазодувка и предназначено для перекачки газа.;2;1;1s-среда;;
М-1/2;;;газ;;;Обозначение ТГ указывает на турбогазодувку для перемещения технологического нитрозного газа.;3;1;1s-среда;;
М-10;;;газ;;;Позиция М-10 прямо указана как нитрозный нагнетатель.;5;1;1s-среда, 1s-неопознанные;;
М-1000;;;;;;;1;1;1s-неопознанные;;
М-101;;;газ;;;Трубопровод хвостовых газов от камеры сгорания поз. М-101 С/А до турбокомпрессора М-101М прямо указывает на рабочую среду — хвостовой газ.;5;3;1s-среда, 1s-провайдером, 1s-неопознанные;;
М-101-1;;;газ;;;Нагнетатель 133-21-1 является специализированной машиной для сжатия этилена.;2;1;1s-среда, 1s-неопознанные;;
М-101-2;;;газ;;;Нагнетатель 133-21-1 является специализированной машиной для сжатия этилена.;2;1;1s-среда, 1s-неопознанные;;
М-101/1;;;воздух;;;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;3;2;1s-среда;;
М-101/1,2;;;газ;;;Контекст прямо указывает на трубопровод пропилена от данного нагнетателя.;0;0;1s-среда;;
М-101/1М;;;воздух;;;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;1;1;1s-среда;;
М-101/2Б;;;воздух;;;В контексте прямо указано: «нагнетатель воздуха типа 360-23-4».;4;1;1s-среда;;
М-101/3;;;воздух;;;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;1;1;1s-среда;;
М-101/4;;;воздух;;;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;4;2;1s-среда;;
М-101/4Б;;;;;;;4;2;только наша база;;
М-101/5;;;воздух;;;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;1;1;1s-среда;;
М-101/I;;;газ;;;Нагнетатель типа 133-21-1 задействован в производстве синтетического этилового спирта.;1;1;1s-среда;;
М-101/II;;;газ;;;Нагнетатель типа 133-21-1 используется в производстве синтетического этилового спирта для перекачки газа.;1;1;1s-среда;;
М-101/Б2;;;воздух;;;Нагнетатель 360-23-4 применяется в производстве азотной кислоты, что типично для сжатия воздуха.;1;1;1s-среда;;
М-101/М4;;;воздух;;;Компрессор агрегата ГТТ-3М в производстве азотной кислоты сжимает атмосферный воздух.;2;1;1s-среда;;
М-101Б;;;;;;;1;1;1s-неопознанные;;
М-101Е;;;;;;;0;0;1s-неопознанные;;
М-101М;;;газ;;;В контексте указана работа турбокомпрессора с хвостовыми газами.;6;2;1s-среда, 1s-неопознанные;;
М-103/2;;;;;;;4;2;только наша база;;
М-104;;;;;;;0;0;1s-неопознанные;;
М-104/3;;;газ;;;Компрессор АТКП-435-1600 применяется на товарно-сырьевой базе для сжатия газа.;2;2;1s-среда;;
М-104/5;;;газ;;;Компрессор АТКП-435-1600 применяется на товарно-сырьевой базе для сжатия газа.;1;1;1s-среда;;
М-106;;;;;;;8;2;только наша база;;
