marka;vid;sereya;proizvoditel;sreda;uverennost;pochemu;predpriyatiy;upominaniy;goditsya_dlya_poiska;kto_razobral
АК-1;не опознано;;;неизвестно;низкая;"Аббревиатура АК многозначна; конкретная модель не опознана";6;20;;2-я сессия
ВЦ 4-70;вентилятор или дымосос;ВЦ 4-70;;воздух;высокая;"ВЦ — вентилятор центробежный; серия ВЦ 4-70 хорошо известна в российской промышленности";7;20;;2-я сессия
К-330-23;центробежный компрессор;К;Казанькомпрессормаш;зависит от исполнения;высокая;Формат К-[подача]-[давление] характерен для центробежных компрессоров серии К;5;20;да;2-я сессия
ВП-50/8;поршневой компрессор;ВП;;воздух;средняя;"ВП — предположительно воздушный поршневой; формат подача/давление типичен для компрессоров";7;20;;2-я сессия
К 500-61-1;центробежный компрессор;К;Казанькомпрессормаш;зависит от исполнения;высокая;Формат К-[подача]-[давление]-[исполнение] идентичен серии К центробежных компрессоров;4;20;да;2-я сессия
К-200-130;центробежный компрессор;К;Казанькомпрессормаш;зависит от исполнения;высокая;Формат К-[подача]-[давление] характерен для центробежных компрессоров серии К;6;20;да;2-я сессия
К-202;не опознано;;;неизвестно;низкая;К-202 не вписывается однозначно ни в серию компрессоров, ни в серию насосов;5;20;;2-я сессия
К-201В;не опознано;;;неизвестно;низкая;К-201В не вписывается однозначно ни в серию компрессоров, ни в серию насосов;6;20;;2-я сессия
ГАЦ-70-4ВГ-У;не опознано;;;неизвестно;низкая;Аббревиатура ГАЦ не опознана в известных сериях компрессорного или насосного оборудования;1;20;;2-я сессия
6-200М;не опознано;;;неизвестно;низкая;Обозначение 6-200М неоднозначно, возможна принадлежность к различным классам оборудования;8;20;;2-я сессия
Н-12/1;позиционное обозначение;;;неизвестно;средняя;"Н = насос на схемах; формат Н-12/1 типичен для позиционных обозначений на российских P&ID";9;20;;2-я сессия
DABL 300;не опознано;;;неизвестно;низкая;Аббревиатура DABL не опознана среди известных марок компрессорного или насосного оборудования;8;20;;2-я сессия
BG 86;не опознано;;;неизвестно;низкая;BG 86 не опознаётся среди известных серий компрессорного, насосного или вентиляционного оборудования;9;20;;2-я сессия
НПС-200/700;насос;НПС;;зависит от исполнения;средняя;"НПС — типовое обозначение нефтяного/трубопроводного насосного агрегата; формат подача/напор";7;20;;2-я сессия
НК 200/370;насос;НК;;зависит от исполнения;высокая;"НК — нефтяной центробежный насос; формат НК подача/напор широко применяется в трубопроводном транспорте";11;20;;2-я сессия
Н-105/1;позиционное обозначение;;;неизвестно;средняя;"Н = насос на схемах; формат Н-105/1 типичен для позиционных обозначений, аналогично Н-370-18-1 из примера";7;20;;2-я сессия
GM-80L;не опознано;;;неизвестно;низкая;"Аббревиатура GM не соответствует ни одной устойчивой советской/российской серии; иностранный изготовитель однозначно не установлен";4;19;;2-я сессия
В-1/1;позиционное обозначение;;;неизвестно;средняя;Формат «литера-число/число» типичен для позиционных обозначений на P&ID;6;19;;2-я сессия
DK50;не опознано;;;неизвестно;низкая;Обозначение не соответствует известным сериям компрессорного оборудования;7;19;;2-я сессия
CNPF 100-360;насос;;CNP (предположительно);зависит от исполнения;низкая;CNP — китайский производитель насосов, формат 100-360 похож на диаметр/напор, но серия CNPF не подтверждена;1;19;;2-я сессия
ВЛ 110;не опознано;;;неизвестно;низкая;Серия ВЛ не идентифицирована в известных каталогах компрессорного оборудования;4;19;;2-я сессия
УНЖ 6-100;не опознано;;;неизвестно;низкая;Аббревиатура УНЖ не соответствует известной серии насосного или компрессорного оборудования;1;19;;2-я сессия
АС-01;не опознано;;;неизвестно;низкая;АС-01 не опознано как конкретная модель или позиционное обозначение;1;19;;2-я сессия
УПСВ-11;иное оборудование;УПСВ;;неизвестно;высокая;УПСВ — стандартная аббревиатура «установка предварительного сброса воды» в нефтяной промышленности;1;19;;2-я сессия
RC8-6S;не опознано;;;неизвестно;низкая;Обозначение RC8-6S не соответствует известным сериям компрессорного оборудования;1;19;;2-я сессия
553В6;не опознано;;;неизвестно;низкая;Формат похож на каталожный номер детали, а не на модель машины;2;19;;2-я сессия
ТВ-500-1;турбовоздуходувка/нагнетатель;ТВ;Невский машиностроительный завод;воздух;высокая;ТВ — серия турбовоздуходувок НМЗ, цифра 500 — типовой типоразмер серии;4;18;да;2-я сессия
ВУ-3;не опознано;;;неизвестно;низкая;ВУ-3 не соответствует увереннони серии оборудования, ни типовому позиционному обозначению;5;18;;2-я сессия
К-3000;центробежный компрессор;К;Казанькомпрессормаш;воздух;высокая;К-серия — центробежные воздушные компрессоры КомпрессорМаш, К-3000 — известный типоразмер;3;18;да;2-я сессия
VDL 100;не опознано;;;неизвестно;низкая;VDL 100 не соответствует известным сериям компрессорного или насосного оборудования;5;18;;2-я сессия
ТГ 150-1;не опознано;;;неизвестно;низкая;ТГ 150-1 может быть как турбогенератором, так и позиционным обозначением — уверенно не идентифицируется;1;18;;2-я сессия
XATS 156Dd;винтовой компрессор;XATS;Atlas Copco;воздух;высокая;XATS — серия передвижных дизельных винтовых компрессоров Atlas Copco, 156 — типоразмер;1;18;;2-я сессия
Н-95-81-1;позиционное обозначение;;;неизвестно;высокая;Формат «Н-число-число-число» идентичен примеру Н-370-18-1 из условия задачи — позиционное обозначение насоса;5;18;;2-я сессия
ЦТК-8/0;не опознано;;;неизвестно;низкая;Серия ЦТК не идентифицирована в известных каталогах компрессорного оборудования;6;18;;2-я сессия
BHX2501;не опознано;;;неизвестно;низкая;Обозначение BHX2501 не соответствует известным сериям компрессорного или насосного оборудования;7;18;;2-я сессия
MS 3142;не опознано;;;неизвестно;низкая;MS 3142 не соответствует известным сериям компрессорного оборудования;3;18;;2-я сессия
16ГЦ2;центробежный компрессор;ГЦ;Казанькомпрессормаш;газ;средняя;ГЦ — серия газовых центробежных компрессоров, 16 — типоразмер, 2 — число ступеней или модификация;3;18;да;2-я сессия
ГАЗ-53;иное оборудование;;ГАЗ;неизвестно;высокая;Грузовой автомобиль Горьковского автозавода, к компрессорному оборудованию не относится;7;18;;2-я сессия
С-100/400;центробежный компрессор;С;;воздух;средняя;"Формат «буква-производительность/давление» характерен для советских центробежных компрессоров; серия С встречается в отечественных каталогах";1;18;да;2-я сессия
С-400;иное оборудование;;;неизвестно;средняя;"Доминирующее значение — зенитный ракетный комплекс С-400; без дополнительного контекста отождествить с компрессором невозможно";2;18;;2-я сессия
ОМС 2620;не опознано;;;неизвестно;низкая;Обозначение не совпадает ни с одной известной серией компрессоров или стандартного оборудования;1;18;;2-я сессия
МТК-11;не опознано;;;неизвестно;низкая;Обозначение не распознано как стандартная модель компрессора или иного промышленного оборудования;1;18;;2-я сессия
КЦ-102/1;центробежный компрессор;КЦ;;газ;высокая;"КЦ — компрессор центробежный; серия КЦ-102 документально применяется на газотранспортных объектах Газпрома";1;18;да;2-я сессия
4М9-8;поршневой компрессор;4М;;зависит от исполнения;средняя;Цифро-буквенный формат соответствует советской номенклатуре поршневых компрессоров серий М/2М/4М;2;18;;2-я сессия
АФК1Э;не опознано;;;неизвестно;низкая;"Обозначение не совпадает с известными сериями компрессоров; суффикс Э может указывать на электрооборудование, но точно не определяется";5;18;;2-я сессия
ЕП 4-1000-5;не опознано;;;неизвестно;низкая;Обозначение не распознано как стандартная модель известного оборудования;1;18;;2-я сессия
СУ-10;не опознано;;;неизвестно;низкая;"Без контекста неоднозначно: система управления, самолёт Су или другое; к компрессору не привязывается";2;18;;2-я сессия
К-26-1108-ДКС-ЗРА;позиционное обозначение;;;газ;средняя;Составной проектный код: ДКС (дожимная компрессорная станция) и ЗРА (запорно-регулирующая арматура) — типичные фрагменты позиционного обозначения из проектной документации;1;18;;2-я сессия
П-220;не опознано;;;неизвестно;низкая;"Короткое обозначение встречается в разных классах оборудования; без дополнительного контекста не идентифицируется";4;17;;2-я сессия
УКПГ-8В;иное оборудование;;;газ;высокая;УКПГ — Установка комплексной подготовки газа, объектовое обозначение промысловой установки, не единица машинного оборудования;6;17;;2-я сессия
FL8500;не опознано;;;неизвестно;низкая;Буквенно-цифровой код не соответствует известной серии компрессорного или иного типового оборудования;6;17;;2-я сессия
Г1.1;позиционное обозначение;;;неизвестно;средняя;Формат «буква + цифра.цифра» типичен для позиционных обозначений на технологических схемах;4;17;;2-я сессия
НПС 120/65-750;насос;НПС;;зависит от исполнения;средняя;НПС — насос (нефтяной погружной скважинный или нефтеперекачивающий), параметрическая часть соответствует формату маркировки насосного оборудования;8;17;;2-я сессия
Т-1/1;позиционное обозначение;;;неизвестно;средняя;Т — теплообменник, формат Т-N/N стандартен для позиционных обозначений теплообменного оборудования на схемах;8;17;;2-я сессия
ПК-101/1;позиционное обозначение;;;неизвестно;средняя;"Формат «аббревиатура-NNN/N» типичен для позиционного обозначения на схеме; ПК может указывать на тип аппарата (поршневой компрессор), но не на марку машины";3;17;;2-я сессия
Н-26/1;позиционное обозначение;;;неизвестно;средняя;Н — насос, формат Н-NN/N является стандартным позиционным обозначением насоса на технологической схеме;7;17;;2-я сессия
НК-200/370;насос;НК;;зависит от исполнения;средняя;НК — консольный насос, формат серия/параметры соответствует маркировке насосного оборудования российского производства;7;17;;2-я сессия
Н-7/1;позиционное обозначение;;;неизвестно;средняя;Н — насос, формат Н-N/N является стандартным позиционным обозначением насоса на технологической схеме;9;17;;2-я сессия
Н-5/2;позиционное обозначение;;;неизвестно;средняя;Аналогично Н-7/1 — позиционное обозначение насоса на схеме;6;17;;2-я сессия
ФЛ-700;иное оборудование;;;неизвестно;низкая;"ФЛ не соответствует известной компрессорной серии; возможно фильтр или лубрикатор, уверенная расшифровка без контекста невозможна";5;17;;2-я сессия
PN 10;иное оборудование;;;неизвестно;высокая;PN 10 — обозначение условного давления (Pressure Nominal10 бар), класс арматуры или трубопровода, не модель оборудования;2;17;;2-я сессия
BSS-600-R;не опознано;;;неизвестно;низкая;Буквенно-цифровой код не соответствует известной серии оборудования;6;17;;2-я сессия
DABL 760;не опознано;;;неизвестно;низкая;Буквенно-цифровой код не соответствует известной серии оборудования;6;17;;2-я сессия
BR 500;не опознано;;;неизвестно;низкая;Буквенно-цифровой код не соответствует известной серии оборудования;7;17;;2-я сессия
305ВП-16/70;поршневой компрессор;ВП;;воздух;средняя;ВП — воздушный поршневой, формат числового префикса и параметров16/70 соответствует российской маркировке поршневых компрессоров;5;16;;2-я сессия
ПТ-90-130;не опознано;;;неизвестно;низкая;ПТ может означать разные типы оборудования (паровая турбина, насос ПТ и др.), однозначная расшифровка без контекста невозможна;2;16;;2-я сессия
2ВМ2;поршневой компрессор;ВМ;;воздух;средняя;ВМ — известная серия российских поршневых компрессоров, цифровые префикс и суффикс указывают на исполнение ряда;5;16;;2-я сессия
НК-200/120;не опознано;;;неизвестно;низкая;Аббревиатура НК с параметрами не соответствует известной серии компрессорного оборудования;5;16;;2-я сессия
ПКСД-5;поршневой компрессор;ПКСД;;воздух;средняя;ПКСД — передвижная компрессорная станция дизельная, известная серия мобильных поршневых компрессоров;5;16;;2-я сессия
7ВП-20/220;поршневой компрессор;ВП;;воздух;высокая;"Серия ВП — воздушный поршневой; 7 — количество цилиндров, 20/220 — производительность/давление";4;16;;2-я сессия
ЦК135/8;центробежный компрессор;ЦК;;зависит от исполнения;средняя;ЦК — стандартное обозначение центробежного компрессора в российской номенклатуре;3;16;да;2-я сессия
VTR-250;иное оборудование;VTR;ABB (BBC);неизвестно;средняя;VTR — серия турбонагнетателей ABB/BBC для судовых и стационарных двигателей;4;16;;2-я сессия
В-1/2;вентилятор или дымосос;В;;воздух;средняя;"Буква «В» — типовой префикс вентилятора в российской номенклатуре; дробная часть указывает типоразмер";4;16;;2-я сессия
Н-900-31-1;позиционное обозначение;;;неизвестно;средняя;"«Н» — стандартное сокращение насоса на российских схемах; формат с тремя числами характерен для позиционных обозначений ПТД";2;16;;2-я сессия
РЦВ 63/0;не опознано;;;неизвестно;низкая;Аббревиатура РЦВ не соответствует ни одной известной серии компрессорного оборудования;4;16;;2-я сессия
ГРПШ-400-01;иное оборудование;ГРПШ;;газ;высокая;"ГРПШ — газорегуляторный пункт шкафной; стандартное обозначение в газовой отрасли России";4;16;;2-я сессия
5М8-6;поршневой компрессор;;;газ;низкая;Формат «цифра-М-цифра-цифра» напоминает советскую номенклатуру поршневых компрессоров, но конкретная серия 5М8 не подтверждена;2;16;;2-я сессия
DABL 9042Li;не опознано;;;неизвестно;низкая;"Суффикс Li и буквенный код DABL характерны для аккумуляторного инструмента; не идентифицирован как компрессорное оборудование";6;16;;2-я сессия
SET 42В;не опознано;;;неизвестно;низкая;Обозначение не соответствует ни одной известной серии компрессорного или смежного оборудования;6;16;;2-я сессия
GM 150;не опознано;;;неизвестно;низкая;Префикс GM и число 150 не позволяют однозначно отнести к конкретной серии оборудования;3;15;;2-я сессия
6ВВ20/9;поршневой компрессор;ВВ;;зависит от исполнения;средняя;Формат «цифра-ВВ-производительность/давление» соответствует советской/российской номенклатуре поршневых компрессоров серии ВВ;2;15;;2-я сессия
RD7B;не опознано;;;неизвестно;низкая;Латинское обозначение RD7B не соответствует ни одной известной серии компрессорного оборудования;2;15;;2-я сессия
ДЭН-132;вентилятор или дымосос;ДЭН;;воздух;средняя;"ДЭН — типовое обозначение электрического нагнетателя/дымососа; 132 — типоразмер или мощность";3;15;;2-я сессия
Н-21/1;позиционное обозначение;;;неизвестно;средняя;"«Н» — сокращение насоса; формат Н-NN/N типичен для позиционных обозначений насосов на технологических схемах";8;15;;2-я сессия
В-1000;вентилятор или дымосос;В;;воздух;средняя;"«В» — префикс вентилятора;1000 — производительность или типоразмер";3;15;;2-я сессия
ПК-5;поршневой компрессор;ПК;;воздух;средняя;"ПК — аббревиатура поршневого компрессора; серия ПК известна в российской номенклатуре малых компрессоров";4;15;;2-я сессия
ВШВ-3/100;не опознано;;;неизвестно;низкая;Аббревиатура ВШВ не идентифицирована как конкретная серия компрессорного или вентиляционного оборудования;5;15;;2-я сессия
23ВФ-10/1;поршневой компрессор;ВФ;;зависит от исполнения;средняя;"ВФ — серия поршневых компрессоров для хладагентов; формат цифра-ВФ-производительность/давление стандартен для этой серии";4;15;;2-я сессия
Н-107;позиционное обозначение;;;неизвестно;средняя;"«Н» — стандартное позиционное сокращение насоса; трёхзначный индекс типичен для позиций на схемах";4;15;;2-я сессия
5-3;не опознано;;;неизвестно;низкая;Только два числа через тире — фрагмент обозначения или позиционный код без контекста;5;15;;2-я сессия
Н-3/2;насос;;;неизвестно;средняя;"«Н» — насос; формат дроби 3/2 указывает скорее на типоразмерный ряд модели, чем на позиционное обозначение";6;15;;2-я сессия
Н-235-28-1;позиционное обозначение;;;неизвестно;средняя;"«Н» — насос; формат с тремя числами через тире характерен для позиционных обозначений вПТД крупных установок";3;15;;2-я сессия
К 890-121-1;центробежный компрессор;К;;зависит от исполнения;средняя;Префикс «К» с трёхзначным числом — типовой шифр центробежного компрессора советского/российского стандарта;2;15;да;2-я сессия
Н-700-13-1;центробежный компрессор;Н;;газ;средняя;Серия «Н» (нагнетатель) с параметрическими числами — типовой шифр газового центробежного нагнетателя;4;15;да;2-я сессия
АТКА-545;не опознано;;;неизвестно;низкая;Аббревиатура АТКА не распознаётся как стандартное обозначение компрессорного или насосного оборудования;2;15;;2-я сессия
8/8-720;не опознано;;;неизвестно;низкая;Числовой формат без буквенного префикса — полная идентификация невозможна без дополнительного контекста;4;15;;2-я сессия
ДК-20-120;не опознано;;;неизвестно;низкая;Аббревиатура ДК не идентифицируется как известная серия компрессорного оборудования;2;15;;2-я сессия
Н-35;насос;Н;;зависит от исполнения;средняя;Серия «Н» с одним числом — характерный формат центробежного насоса советской классификации;8;15;;2-я сессия
НЦ-175;насос;НЦ;;зависит от исполнения;высокая;«НЦ» — устоявшаяся аббревиатура «насос центробежный» в советской/российской классификации;6;15;;2-я сессия
ТСЦ-100;не опознано;;;неизвестно;низкая;Аббревиатура ТСЦ не распознаётся как стандартная серия компрессорного или насосного оборудования;7;15;;2-я сессия
XB52А;не опознано;;;неизвестно;низкая;"Смешение латиницы и кириллицы; обозначение не соответствует известным сериям оборудования";5;15;;2-я сессия
GВ226;не опознано;;;неизвестно;низкая;"Смешение латиницы и кириллицы; серия не распознаётся как известная модель оборудования";7;15;;2-я сессия
BR 800;не опознано;;;неизвестно;низкая;Буквенно-цифровое обозначение латиницей не идентифицируется как конкретная известная серия оборудования;7;15;;2-я сессия
Т-101/1;позиционное обозначение;;;неизвестно;высокая;Формат «Буква-трёхзначное число/порядковый номер» — типичное позиционное обозначение аппарата на технологической схеме;4;15;;2-я сессия
НПС 200-700;насос;НПС;;зависит от исполнения;средняя;"«НПС» — известная серия центробежных насосов; числа 200-700 соответствуют формату подача/напор";4;15;;2-я сессия
Л-35/11-300;не опознано;;;неизвестно;низкая;Формат обозначения не соответствует ни одной известной серии;3;15;;2-я сессия
ТЭЦ-25;не опознано;;;неизвестно;низкая;ТЭЦ — аббревиатура электростанции, как марка оборудования не опознаётся;3;15;;2-я сессия
R 46;не опознано;;;неизвестно;низкая;Краткое иноязычное обозначение без узнаваемого производителя или серии;5;14;;2-я сессия
УКВШ 15/7;поршневой компрессор;УКВШ;;воздух;средняя;УКВШ — предположительно установка компрессорная воздушная, 15/7 — подача м³/мин / давление бар;2;14;;2-я сессия
BR 200;не опознано;;;неизвестно;низкая;Иноязычное обозначение, производитель и тип не установлены;6;14;;2-я сессия
ЦТК 275/9;центробежный компрессор;ЦТК;;воздух;средняя;ЦТК — предположительно центробежный турбокомпрессор, 275/9 — подача/давление;2;14;да;2-я сессия
GM-150S;не опознано;;;неизвестно;низкая;Иноязычное буквенно-цифровое обозначение, серия и производитель не установлены;2;14;;2-я сессия
GA132;винтовой компрессор;GA;Atlas Copco;воздух;высокая;GA-серия Atlas Copco — маслозаполненные винтовые компрессоры, 132 — мощность кВт;3;14;;2-я сессия
Л-35-5;не опознано;;;неизвестно;низкая;Формат с Л-префиксом не соответствует ни одной известной серии;3;14;;2-я сессия
К-210-130;центробежный компрессор;К;Казанькомпрессормаш;воздух;высокая;К-серия — советские/российские центробежные компрессоры, цифры — подача и давление;4;14;да;2-я сессия
Н95-81-1;позиционное обозначение;;;неизвестно;средняя;Формат «Н» + числа через дефис типичен для позиционного тега насоса на схеме;2;14;;2-я сессия
ТА-11;позиционное обозначение;;;неизвестно;средняя;ТА — стандартный префикс теплообменного аппарата на технологической схеме;4;14;;2-я сессия
25М;не опознано;;;неизвестно;низкая;Слишком короткое обозначение, не идентифицируется как конкретная модель;4;14;;2-я сессия
ТРЖК-3М;не опознано;;;неизвестно;низкая;Аббревиатура ТРЖК не соответствует известной серии компрессорного оборудования;6;14;;2-я сессия
4VRM-200/490;поршневой компрессор;;;зависит от исполнения;средняя;4V указывает на 4-цилиндровое V-образное исполнение, 200/490 — возможно подача/скорость;2;14;;2-я сессия
АК-72;не опознано;;;неизвестно;низкая;АК — многозначная аббревиатура, конкретная серия не установлена;3;14;;2-я сессия
6ВВ-32/7;поршневой компрессор;ВВ;;воздух;высокая;6ВВ —6-цилиндровый воздушный вертикальный поршневой компрессор советской серии, 32/7 — подача/давление;5;14;;2-я сессия
РГС-75;иное оборудование;РГС;;неизвестно;высокая;"РГС — резервуар горизонтальный стальной, 75 — объём в м³; не компрессорное оборудование";6;14;;2-я сессия
6-01.УЗ;позиционное обозначение;;;неизвестно;низкая;Формат «номер.буквы» типичен для позиционного тега КИП на схеме, не совпадает с известными моделями оборудования;4;14;;2-я сессия
6-01.У3;позиционное обозначение;;;неизвестно;низкая;Аналогичный формат «номер.буквы/цифры», предположительно позиционный тег КИП или чертёжный номер;3;14;;2-я сессия
РУ-0;не опознано;;;неизвестно;низкая;Аббревиатура РУ многозначна (распредустройство, регулятор уровня и др.), привязка к компрессорному оборудованию не установлена;5;14;;2-я сессия
BR776;не опознано;;;неизвестно;низкая;Латинский буквенно-цифровой код не соответствует ни одной известной серии компрессорного или насосного оборудования;5;14;;2-я сессия
Н-6500-11-4;позиционное обозначение;;;неизвестно;средняя;Структура «Н-число-число-число» идентична приведённому в задании примеру позиционного обозначения насоса Н-370-18-1;3;14;;2-я сессия
Г1.2;позиционное обозначение;;;неизвестно;низкая;Короткий буквенно-цифровой тег с точкой типичен для позиционных обозначений аппаратов на технологической схеме;4;14;;2-я сессия
Г2.1;позиционное обозначение;;;неизвестно;низкая;То же, что Г1.2 — аналогичный формат позиционного тега;4;14;;2-я сессия
П-11/1;позиционное обозначение;;;неизвестно;низкая;Формат «Буква-число/число» характерен для позиционных обозначений аппаратов (подогреватель, питатель и т.п.) на схеме;7;14;;2-я сессия
СКД-8-3.0-4000;не опознано;;;неизвестно;низкая;Аббревиатура СКД с числовыми параметрами не совпадает с известными сериями компрессорного оборудования;2;14;;2-я сессия
ПНШ-80-3-40;не опознано;;;неизвестно;низкая;Аббревиатура ПНШ не соответствует ни одной уверенно опознанной серии насосного или компрессорного оборудования;2;14;;2-я сессия
ТЭЦ-17;иное оборудование;;;неизвестно;высокая;"ТЭЦ — теплоэлектроцентраль; «ТЭЦ-17» — наименование объекта (электростанции), а не модель машины";3;14;;2-я сессия
АТП5-5/3;не опознано;;;неизвестно;низкая;Аббревиатура АТП многозначна, данный формат не опознан как стандартная серия компрессорного или насосного оборудования;4;14;;2-я сессия
РN 7;не опознано;;;неизвестно;высокая;PN (Pression Nominale) 7 — класс номинального давления трубопроводной арматуры, не обозначение машины;2;14;;2-я сессия
3-56;не опознано;;;неизвестно;высокая;"Числовой фрагмент без буквенного префикса; скорее всего обрывок номера позиции, чертежа или спецификации";2;14;;2-я сессия
НК-65/35-125;насос;НК;;зависит от исполнения;средняя;"НК — серия консольных центробежных насосов российского производства; формат НК-подача/напор-диаметр рабочего колеса стандартный";2;14;;2-я сессия
КГСН-150;не опознано;;;неизвестно;низкая;Аббревиатура КГСН не соответствует известной серии компрессорного или насосного оборудования;2;14;;2-я сессия
II-100;не опознано;;;неизвестно;низкая;"Римская цифра II с числом 100 не соответствует стандартному обозначению компрессорного оборудования; возможно фрагмент документа";4;14;;2-я сессия
ГПУ-10-01;иное оборудование;ГПУ;;газ;средняя;"ГПУ — газопоршневой агрегат (электрогенераторный); 10 — мощность в МВт; компрессором не является";2;14;;2-я сессия
ПС-90;иное оборудование;ПС-90;ОДК-Авиадвигатель (Пермь);газ;средняя;ПС-90 (ПС-90А, ПС-90ГП) — авиационный/промышленный газотурбинный двигатель, используется как привод, но не является компрессором;2;14;;2-я сессия
ХА-30;не опознано;;;неизвестно;низкая;ХА предположительно 'холодильный агрегат', но уверенной привязки к стандартной серии нет;5;13;;2-я сессия
GM 130L;не опознано;;;неизвестно;низкая;Сочетание букв и цифр не соответствует известным сериям компрессорного или насосного оборудования;4;13;;2-я сессия
SNH 80-R-42-U6;не опознано;;;неизвестно;низкая;Суффикс У6 указывает на климатическое исполнение российского производства, но серия SNH не опознана;2;13;;2-я сессия
К-12;центробежный компрессор;К;;воздух;высокая;Серия К — стандартные советские/российские центробежные компрессоры;5;13;да;2-я сессия
2-10;позиционное обозначение;;;неизвестно;низкая;Только цифры с дефисом — типичное позиционное обозначение на схеме;4;13;;2-я сессия
ТВ-500;турбовоздуходувка/нагнетатель;ТВ;;воздух;средняя;ТВ — общепринятая аббревиатура «турбовоздуходувка» в российской промышленности;2;13;да;2-я сессия
К905-61-1;центробежный компрессор;К;;зависит от исполнения;высокая;Формат К + подача + модификация — стандартная номенклатура российских центробежных компрессоров;4;13;да;2-я сессия
GA 315;винтовой компрессор;GA;Atlas Copco;воздух;высокая;Серия GA 315 — маслозаполненный винтовой компрессор Atlas Copco, хорошо известная модель;5;13;;2-я сессия
OLD10;не опознано;;;неизвестно;низкая;Обозначение не соответствует ни одной известной серии оборудования;5;13;;2-я сессия
ТВФ-63-2;иное оборудование;ТВФ;;неизвестно;высокая;ТВФ-63-2 — турбогенератор (серия ТВФ, 63 МВА), не компрессор;3;13;;2-я сессия
ТС 032/2013;не опознано;;;неизвестно;низкая;Формат «буквы пробел число/год» похож на ссылку на технический документ или стандарт, а не на оборудование;3;13;;2-я сессия
К-1500-61-2;центробежный компрессор;К;;зависит от исполнения;высокая;Формат К + подача + модификация — стандартная номенклатура российских центробежных компрессоров;3;13;да;2-я сессия
К 1500-62-2;центробежный компрессор;К;;зависит от исполнения;высокая;Аналогично К-1500-61-2, та же серия с иным суффиксом модификации;2;13;да;2-я сессия
НЦ-230/3-3;насос;НЦ;;зависит от исполнения;высокая;НЦ — насос центробежный, стандартная советская/российская серия насосов;5;13;;2-я сессия
К-1200-6;центробежный компрессор;К;;зависит от исполнения;средняя;Формат К + число + модификация соответствует серии российских центробежных компрессоров;3;13;да;2-я сессия
Б-1/2;не опознано;;;неизвестно;низкая;"Слишком короткое обозначение; возможно позиционный номер на схеме илиссылка на баллон/блок";6;13;;2-я сессия
ТЭЦ-16;иное оборудование;;;неизвестно;высокая;"ТЭЦ — тепловая электроцентраль;ТЭЦ-16 — наименование электростанции, а не единицы оборудования";3;13;;2-я сессия
6ГМ25;поршневой компрессор;ГМ;;газ;высокая;"Серия ГМ (газомоторный) — советские/российские поршневые газовые компрессоры;6 — число цилиндров, 25 — производительность";3;13;;2-я сессия
CDP-224;не опознано;;;неизвестно;низкая;Обозначение CDP-224 не соответствует известным сериям компрессорного или насосного оборудования;2;13;;2-я сессия
PN80;не опознано;;;неизвестно;высокая;PN80 — класс номинального давления трубопроводной арматуры (80 бар), а не наименование оборудования;6;13;;2-я сессия
АСЦЛ 20-24;не опознано;;;неизвестно;низкая;Аббревиатура АСЦЛ не соответствует однозначно известной серии компрессорного или насосного оборудования;2;13;;2-я сессия
КЦ 101/1;центробежный компрессор;КЦ;;газ;средняя;КЦ — серия центробежных компрессоров, формат числа/числа типичен для газовых машин;2;13;да;2-я сессия
ЛЧ-35/11-600;не опознано;;;неизвестно;низкая;Аббревиатура ЛЧ с данным набором цифр не идентифицируется в известных сериях;4;13;;2-я сессия
Е-113;позиционное обозначение;;;неизвестно;высокая;Буква Е в российских П&И-схемах — позиционное обозначениеёмкости или теплообменника;6;13;;2-я сессия
GA55;винтовой компрессор;GA;Atlas Copco;воздух;высокая;"Atlas Copco серия GA — маслозаполненные винтовые компрессоры; 55 — мощность привода";5;13;;2-я сессия
ИП-2-6;не опознано;;;неизвестно;низкая;Сочетание ИП с данными цифрами не идентифицируется как известная серия компрессорного оборудования;2;13;;2-я сессия
HV45;не опознано;;;неизвестно;низкая;Префикс HV не идентифицируется однозначно ни с одним известным производителем или серией;2;13;;2-я сессия
GA 30;винтовой компрессор;GA;Atlas Copco;воздух;высокая;"Atlas Copco серия GA — маслозаполненные винтовые компрессоры; 30 — мощность привода";3;13;;2-я сессия
Н-8/1;позиционное обозначение;;;неизвестно;высокая;Н — стандартный буквенный код насоса на российских технологических схемах (ГОСТ);10;13;;2-я сессия
Н-310;позиционное обозначение;;;неизвестно;средняя;"Н — код насоса в российских схемах; трёхзначный номер без параметрических дробей указывает на позиционный тег";7;13;;2-я сессия
СКН-10-3315;не опознано;;;неизвестно;низкая;Аббревиатура СКН с данными цифрами не идентифицируется в известных сериях компрессорного или насосного оборудования;2;13;;2-я сессия
Н-10/2;позиционное обозначение;;;неизвестно;высокая;"Н — стандартный код насоса в российских П&И-схемах; формат числа/числа типичен для позиционных тегов";8;13;;2-я сессия
Н-7/2;позиционное обозначение;;;неизвестно;высокая;"Н — стандартный код насоса в российских П&И-схемах; формат числа/числа типичен для позиционных тегов";9;13;;2-я сессия
НК-560/335-70;насос;НК;;зависит от исполнения;средняя;"НК — серия консольных центробежных насосов; 560/335 — подача/напор, -70 возможно типоразмер или КПД";2;13;;2-я сессия
ППУА 1600/100;иное оборудование;ППУА;;неизвестно;высокая;"ППУА — передвижная паровая установка автомобильная; 1600/100 — паропроизводительность и давление";4;13;;2-я сессия
