organizaciya,inn,marka,moshchnost,god,cena,tip_oborudovaniya,istochnik,dokument,ssylka,kak_privyazano,ogovorka
"АО ""Одинцовская теплосеть""",,ДЕ-25/14,"14,1 Гкал/ч",1998,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №3; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Универсал,"0,8 Гкал/ч",1978,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №4; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Универсал-6,"0,47 Гкал/ч",1979,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №6; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,КЧМ-5-К,"0,08 Гкал/ч",2005,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №7 г. Голицыно, Коммуни-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,"КВр-0,125","0,12 Гкал/ч",2010,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №7 г. Голицыно, Коммуни-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,Универсал-6М,"0,24 Гкал/ч",1982,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №8А г. Голицыно, Петров-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,ТВГМ 8М,"8,3 Гкал/ч",1989,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №9 г. Голицыно, пр. Кера-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,НР-18,"0,8 Гкал/ч",2002,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №11 г. Одинцово, Минское; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,КВСВ-1,"1,0 Гкал/ч",1972,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №11 г. Одинцово, Минское; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,КЧМ-5-К,"0,08 Гкал/ч",2008,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №13 г. Голицыно, Банный; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,"Квр-0,125","0,125 Гкал/ч",2014,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №13 г. Голицыно, Банный; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,КЧМ-5М,"0,08 Гкал/ч",2006,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №14 г. Голицыно, 1-й Рабо-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,Buderus S825L,"2,15 Гкал/ч",2014,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №2; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,100R,"0,086 Гкал/ч",2014,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Пет-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,ТВГ-4Р,"4,3 Гкал/ч",1981,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Сав-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Vitoplex 100 PV1,"0,265 Гкал/ч",2012,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Лес-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Vitoplex 100 PV1,0 Гкал/ч,2012,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Лес-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Global - 5,"2,15 Гкал/ч",2004,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Ка-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Универсал-3,"0,3 Гкал/ч",1972,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Ули-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,"""СТМ-Оскол""","0,215 Гкал/ч",2025,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Ан-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Oskol-energy,"1,29 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №27; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,"ДКВР-6,5/13","3,66 Гкал/ч",1978,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №1; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,"ДКВР-6,5/13","3,66 Гкал/ч",2007,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №1; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,"КВа-1,0 Гн-115","0,86 Гкал/ч",1995,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №2; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,RS-D-2500,"2,15 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №3; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,"КВа-1,6-ЭЭ","1,376 Гкал/ч",1998,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №4; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,BAXI-100,"0,086 Гкал/ч",2004,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №5.1; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,BAXI-100,"0,086 Гкал/ч",2004,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №5.2; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,BAXI-100,"0,086 Гкал/ч",2004,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №5.3; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,КЧМ-5 ДГ-А,"0,073 Гкал/ч",1994,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №6; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,ИШМА-100,"0,082 Гкал/ч",2000,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №8; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,КЧМ-5-Г,"0,073 Гкал/ч",1972,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №8; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,ДКВР-10/13,"5,63 Гкал/ч",1970,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Лики-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Vitoplex 100 PV1,"0,43 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Юди-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Vitoplex 100 PV1,0 Гкал/ч,2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Юди-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Vitoplex 100 SX,"1,45 Гкал/ч",2014,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Зайце-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Vitoplex 100 SX,1 Гкал/ч,2014,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Зайце-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,ЗИО-60,"0,35 Гкал/ч",1997,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Кобя-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,КВГМ-20,"20,0 Гкал/ч",1981,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Цен-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Минск-1,"0,7 Гкал/ч",1982,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №1,; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,ДКВР-4/13,"2,32 Гкал/ч",1981,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №2,; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"АО ""Одинцовская теплосеть""",,ВК-21 (КСВа-2),"1,72 Гкал/ч",1991,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Дуб-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Ишма-50,"0,043 Гкал/ч",1972,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №1; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Ишма-50,"0,043 Гкал/ч",1972,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №2; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,"ВПКГ-2,5","2,5 Гкал/ч",1996,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Сос-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,ТГ-3,3 Гкал/ч,1968,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №10; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,КВГМ-10,10 Гкал/ч,1987,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №11; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,ДКВр-10/13,"5,63 Гкал/ч",1968,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Новый; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,ДКВр-10/13,"5,63 Гкал/ч",2005,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Новый; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,ДКВр-10/13,"5,63 Гкал/ч",2008,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Новый; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Global-6,"2,58 Гкал/ч",2004,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Шара-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,Galdaie-Boiler,"0,085 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Ни-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"АО ""Одинцовская теплосеть""",,De-Dietrich,"0,069 Гкал/ч",2014,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Ани-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
