oboznachenie;tip;sreda;rasshifrovka;uverennost
Н-650-23-1;центробежный;не знаю;Центробежный нагнетатель, среда не указана в строках реестра;низкая
СТД-12500-2;не машина;не знаю;Обозначение электроприводного газоперекачивающего агрегата в сборе;высокая
НЦ 00 НЦ12;не знаю;не знаю;Возможно опечатка или неполное обозначение, в реестре упоминается НЦ-12/56-1,44;низкая
Е-309;не машина;не знаю;Обозначение емкости или аппарата в технологической схеме;высокая
Г-43-10;не машина;не знаю;Обозначение установки (неполное Г-43-107М/1);средняя
ЦК-301-1;центробежный;технологический газ;Центробежный нагнетатель на газокаталитическом производстве;средняя
Н215-1;насос;не знаю;Насос маслосистемы для смазки нагнетателей;высокая
ЦК201-1;центробежный;технологический газ;Центробежный нагнетатель на газокаталитическом производстве;средняя
No11042;не машина;не знаю;Инвентарный номер (часть номера 110428);высокая
СК-600/2;не машина;не знаю;Обозначение площадки производства серной кислоты;высокая
Н2900-12-1;центробежный;технологический газ;Центробежный нагнетатель на производстве серной кислоты, вероятно воздуходувка или газодувка;средняя
А28-02793-0038;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
СК-600/1;не машина;не знаю;Обозначение площадки производства серной кислоты;высокая
Л-107;не машина;не знаю;Обозначение линии трубопровода в технологической схеме;высокая
Х-102;не машина;не знаю;Обозначение выхлопной трубы в технологической схеме;высокая
ЦНВ 800/1,6;центробежный;не знаю;Центробежный нагнетатель на компрессорной станции, среда не указана;низкая
НЦ-16/7;центробежный;не знаю;Центробежный нагнетатель, среда не указана в строках реестра;низкая
ДП-2023-017.0149;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
НЦВ-6,3-56/1,45;центробежный;не знаю;Центробежный нагнетатель, среда не указана в строке реестра;низкая
No24830;не машина;не знаю;Заводской номер газоперекачивающего агрегата;высокая
No24624;не машина;не знаю;Заводской номер (вероятно центробежного нагнетателя в составе ГПА);средняя
NoДП-2025-007.1616;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
No12622;не машина;не знаю;Заводской номер нагнетателя в составе ГПА;высокая
ЦК301-1;центробежный;технологический газ;Центробежный компрессор на установке каталитического крекинга;высокая
Г-43-107 М;не машина;не знаю;Номер технологической установки или площадки;средняя
ДП-2023-017.0071;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
А26-00430-0020;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
ВМ-40;центробежный;воздух;Воздушный нагнетатель марки ВМ-40 на установке каталитического крекинга;высокая
GM150;центробежный;не знаю;Центробежный нагнетатель производства GE Oil & Gas (Nuovo Pignone);средняя
S145/1;центробежный;не знаю;Центробежный нагнетатель производства Siemens Energy (Dresser-Rand);средняя
Р-3979-ТУ;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
Р-3980-ТУ;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
Н-7500-2;центробежный;не знаю;Центробежный нагнетатель производительностью 7500 м³/мин;средняя
А51-01028-0002;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
В-207/1;не машина;не знаю;Позиционное обозначение по технологической схеме;высокая
ТВ-500-1,08 М;центробежный;воздух;Турбовоздуходувка одноступенчатая ТВ-500 на установке каталитического крекинга;высокая
No 12622;не машина;не знаю;Инвентарный номер газоперекачивающего агрегата;высокая
ДП-2024-060.1234;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
А51-01028-0275;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
S 125/4;центробежный;не знаю;Центробежный нагнетатель производства Siemens Energy (Dresser-Rand);средняя
VCM 200;не знаю;не знаю;Дополнительное обозначение в маркировке нагнетателя S125/4C-VCM 200;низкая
C-804;не машина;не знаю;Технологический номер (позиция) нагнетателя по схеме;высокая
А28-02621-0002;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
Н-900-31-4;центробежный;воздух;Воздушный центробежный нагнетатель производительностью 900 м³/мин;высокая
А51-01028-0069;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
В-207/2;не машина;не знаю;Позиционное обозначение по технологической схеме;высокая
ТВ-500-1.08;центробежный;воздух;Турбовоздуходувка одноступенчатая ТВ-500 на установке каталитического крекинга;высокая
В-207/3;не машина;не знаю;Позиционное обозначение по технологической схеме;высокая
Д-2-6-3-5-12;не машина;не знаю;Номер производственного цеха;высокая
НМ-250;вентилятор;воздух;Нагнетатель мельничный для пневмотранспорта муки производства Элеватормельмаш;высокая
ТК-0135-НКО;не машина;не знаю;Номер заключения или технологического комплекса;средняя
Н-47-71-1;центробежный;природный газ;Центробежный нагнетатель природного газа на подземном хранилище газа;высокая
А51-01028-0009;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
НЦВ-6,3/125-2,2;центробежный;природный газ;Нагнетатель центробежный вертикальный на подземном хранилище газа;высокая
И-3-13;не машина;не знаю;Номер производственного объекта или площадки;средняя
ТК-0131-НКО;не машина;не знаю;Номер заключения или технологического комплекса;средняя
ЦНВ 200/3;центробежный;воздух;Центробежный нагнетатель воздуха производительностью 200 м³/мин;высокая
И-3-13-16;не машина;не знаю;Номер производственного объекта или площадки;средняя
ТК-0134-НКО;не машина;не знаю;Номер заключения или технологического комплекса;средняя
ТК-0133-НКО;не машина;не знаю;Номер заключения или технологического комплекса;средняя
ВН-360-22-1;центробежный;воздух;Воздушный центробежный нагнетатель производительностью 360 м³/мин;высокая
И-2-3;не машина;не знаю;номер цеха;высокая
И-2/2;не машина;не знаю;номер отделения цеха;высокая
И-2/1;не машина;не знаю;номер отделения цеха;высокая
ИНН 34460;не машина;не знаю;идентификационный номер налогоплательщика;высокая
ЗАФ 5;не машина;не знаю;номер или код в заключении, не является маркой оборудования;высокая
ГТК-10-4Б;центробежный;природный газ;газотурбинный компрессор газоперекачивающего агрегата с нагнетателем 370-18-1;высокая
В-604-1;не машина;не знаю;технологический номер позиции нагнетателя 610-11-1;высокая
ГПА1-4;не машина;природный газ;номер газоперекачивающего агрегата;высокая
IV-8001-1;не машина;не знаю;номер трубопровода масла в обвязке нагнетателей;высокая
Н-9000-11-5С;центробежный;воздух;центробежный нагнетатель для агломерационного цеха;средняя
К-8/9;не машина;не знаю;технологический номер позиции нагнетателя Н-540-41-1;высокая
В-9/3;не машина;не знаю;номер позиции нагнетателя Н-1200-25-3 на очистных сооружениях;высокая
Н-1200-25-3;центробежный;воздух;центробежный нагнетатель для биологических очистных сооружений;средняя
В-7/5;не машина;не знаю;номер позиции нагнетателя Н-1200-25-3 на очистных сооружениях;высокая
В-6/6;не машина;не знаю;номер позиции нагнетателя Н-1200-25-3 на очистных сооружениях;высокая
В-8/4;не машина;не знаю;номер позиции нагнетателя Н-1200-25-3 на очистных сооружениях;высокая
Е-1/3;не машина;не знаю;номер позиции емкости отработанного масла;высокая
Е-1/4;не машина;не знаю;номер позиции емкости свежего масла;высокая
СК 600/2;не машина;не знаю;номер корпуса цеха производства серной кислоты;высокая
Н700-13-1;центробежный;технологический газ;центробежный нагнетатель для производства серной кислоты;средняя
Н-900;центробежный;не знаю;центробежный нагнетатель для металлургического производства;средняя
В-12/1;не машина;не знаю;номер позиции нагнетателя 400-12-2;высокая
В-12/2;не машина;не знаю;номер позиции нагнетателя 400-12-2;высокая
О-500-23;центробежный;не знаю;центробежный нагнетатель, конкретная среда не определена из строк реестра;низкая
Н-50-32-1;центробежный;не знаю;центробежный нагнетатель, конкретная среда не определена из строк реестра;низкая
Н 1361;центробежный;технологический газ;центробежный нагнетатель газодувка;средняя
ДКЦ-1;не машина;технологический газ;номер цеха доменного комплекса;высокая
Н-700-13-1;центробежный;технологический газ;центробежный нагнетатель для производства серной кислоты;средняя
H-1361;центробежный;технологический газ;центробежный нагнетатель газодувка;средняя
НГ 360-21-1;центробежный;не знаю;центробежный нагнетатель серии 360, конкретная среда не определена;низкая
Э1700-11-2М;центробежный;воздух;центробежный нагнетатель, вероятно воздуходувка по индексу Э;средняя
Анон-2;не машина;не знаю;номер цеха или участка;высокая
Э 200-31-1;центробежный;воздух;центробежный нагнетатель воздуходувка по индексу Э;средняя
НЦ 235-21-1;центробежный;не знаю;центробежный нагнетатель, конкретная среда не определена из строк реестра;низкая
Н-1000-31-2;центробежный;не знаю;центробежный нагнетатель, конкретная среда не определена из строк реестра;низкая
К-340-81-4;центробежный;природный газ;центробежный нагнетатель для компрессорной станции месторождения;высокая
ЦДНГ-10 ООО;не машина;не знаю;номер цеха добычи нефти и газа и организационно-правовая форма;высокая
Н9000-11-5С1;центробежный;воздух;центробежный нагнетатель для агломерационной фабрики;средняя
Н-400-12-2;центробежный;технологический газ;центробежный нагнетатель полукоксового газа;высокая
ЗАФ-49;поршневой;воздух;ротационный воздушный нагнетатель для агломерационного производства;средняя
ЗАФ-53;винтовой;не знаю;Ротационный нагнетатель;средняя
Н 13000-11-1;центробежный;воздух;Центробежный нагнетатель на агломерационной фабрике;средняя
М-101;не машина;не знаю;Позиция по технологической схеме;высокая
ЦНТ-900-11-1;центробежный;не знаю;Центробежный нагнетатель турбинный;средняя
АНК-65;не машина;не знаю;Арматура нагнетателя;высокая
ВДА-1;не машина;не знаю;Технологический индекс позиции;высокая
ККЦ-2;не машина;не знаю;Обозначение цеха;высокая
Н-1200-26-1;центробежный;воздух;Центробежный нагнетатель воздуха для воздуходувной станции;высокая
ВДС-1 КВО;не машина;не знаю;Обозначение воздуходувной станции;высокая
Н670-24-1;центробежный;не знаю;Центробежный нагнетатель (по маслоохладителю);средняя
ГTK-10-4;центробежный;природный газ;Газоперекачивающий агрегат с центробежным нагнетателем;высокая
Н 700-13-1;центробежный;технологический газ;Центробежный нагнетатель для производства серного ангидрида;высокая
УПСК-2;не машина;не знаю;Обозначение установки;высокая
В-4/2;не машина;не знаю;Позиция по технологической схеме;высокая
ВДА-2;не машина;не знаю;Технологический индекс позиции;высокая
ЦК-301-2;центробежный;технологический газ;Центробежный компрессор на газокаталитическом производстве;средняя
Г 43-107 М;не машина;не знаю;Обозначение установки газокаталитического производства;высокая
ГTK-10 ЦEX;не машина;не знаю;Обозначение цеха;высокая
СТД-1250-2;не машина;не знаю;Синхронный турбогенератор (электродвигатель);высокая
PN 80;не машина;не знаю;Обозначение номинального давления;высокая
КС-00;не машина;не знаю;Обозначение компрессорной станции;высокая
DN 700;не машина;не знаю;Обозначение номинального диаметра;высокая
А 12 ООО;не машина;не знаю;Часть обозначения турбоагрегата или организации;средняя
ВДС-1;не машина;не знаю;Обозначение воздуходувной станции;высокая
ЦК-201-3;центробежный;технологический газ;Центробежный компрессор на газокаталитическом производстве;средняя
ЦК-201-2;центробежный;технологический газ;Центробежный компрессор на газокаталитическом производстве;средняя
Н-215/1;насос;не знаю;Насос (масляная система нагнетателей);средняя
ЦК-201-1;центробежный;технологический газ;Центробежный компрессор на газокаталитическом производстве;средняя
АК-72 АО;не машина;не знаю;Обозначение цеха;высокая
СК 600/3;центробежный;технологический газ;Центробежный нагнетатель для производства серной кислоты;средняя
ЦДНГ-6;не машина;не знаю;Обозначение цеха;высокая
Р-2700-ТУ;не машина;не знаю;Регистрационный номер;средняя
Н 750-23-6;центробежный;воздух;Центробежный нагнетатель воздуха для очистки сточных вод;высокая
Н700-03-1;центробежный;не знаю;Центробежный нагнетатель;средняя
А40-00174-422;не машина;не знаю;Регистрационный номер ОПО;высокая
КС-26;не машина;не знаю;Обозначение компрессорной станции;высокая
Н 360-21-1;центробежный;воздух;Центробежный нагнетатель воздуха для очистки сточных вод;высокая
КЦ-1 ЭГПА;не машина;не знаю;Обозначение компрессорного цеха;высокая
АИМ63;не машина;не знаю;Взрывозащищённый электродвигатель;высокая
А40-00174-0284;не машина;не знаю;Регистрационный номер ОПО;высокая
КС-22;не машина;не знаю;номер компрессорной станции или площадки;высокая
НЦ-16-76/1,44;центробежный;природный газ;нагнетатель центробежный для транспорта газа;высокая
УНЦ-16-76/1,44;центробежный;природный газ;нагнетатель центробежный унифицированный для транспорта газа;высокая
RA49.316.0;не машина;не знаю;позиция трубопровода по схеме;высокая
Н-340-81-4;центробежный;технологический газ;нагнетатель центробежный для каталитического крекинга;высокая
У141/49;не машина;не знаю;обозначение установки;высокая
TV103;не машина;не знаю;позиция оборудования по схеме;высокая
TV114;не машина;не знаю;позиция оборудования по схеме;высокая
TV105;не машина;не знаю;позиция оборудования по схеме;высокая
TV101;не машина;не знаю;позиция оборудования по схеме;высокая
Н-120;не машина;не знаю;позиция оборудования по схеме;средняя
HV101;не машина;не знаю;позиция оборудования по схеме;высокая
TV115;не машина;не знаю;позиция оборудования по схеме;высокая
К-1500-61-2;центробежный;воздух;турбокомпрессор воздушный для металлургического производства;высокая
Н-7/3;не машина;не знаю;технологический номер позиции;высокая
ТГ-65-1.0;центробежный;технологический газ;турбокомпрессор центробежный технологический;средняя
ИП-3-4-5;не машина;не знаю;номер цеха производства изопрена;высокая
ТВ-42-1,4-01;центробежный;природный газ;турбокомпрессор для подготовки газа;средняя
В-304/2;не машина;не знаю;технологический номер позиции;высокая
ТВ100-1,12;центробежный;воздух;турбокомпрессор воздуходувка;средняя
М-101 С;не машина;не знаю;позиция камеры сгорания по схеме;высокая
ИП-4-4Д;не машина;не знаю;обозначение отделения цеха;высокая
ТКА-4;не машина;не знаю;технологический номер позиции;высокая
К-525-61-1;центробежный;воздух;турбокомпрессор воздушный;средняя
К-500-61-5М;центробежный;воздух;турбокомпрессор воздушный;средняя
ТГ-170-1;центробежный;технологический газ;турбокомпрессор для производства серы;высокая
ЗЭ-2022;не машина;не знаю;номер заключения экспертизы;высокая
ТГ-170-1,7-В1;центробежный;технологический газ;турбокомпрессор для производства серы;высокая
В-82/1 АО;не машина;не знаю;технологический номер позиции;высокая
ТГ150-1,1;центробежный;технологический газ;турбокомпрессор центробежный;средняя
К402.01;не машина;не знаю;регистрационный номер трубопровода;высокая
ТВ 500-1,08;центробежный;технологический газ;турбокомпрессор для газопереработки;средняя
У-07-08;не машина;не знаю;обозначение установки;высокая
АКВ-12-III;центробежный;воздух;турбокомпрессор воздушный;средняя
К402.02;не машина;не знаю;регистрационный номер трубопровода;высокая
ТГ-170-1,7;центробежный;технологический газ;турбокомпрессор для содового производства;высокая
К402.04;не машина;не знаю;регистрационный номер трубопровода;высокая
А1/1-3;не машина;не знаю;технологический номер трубопровода;высокая
К402.03;не машина;не знаю;регистрационный номер трубопровода;высокая
М-303/3;не машина;не знаю;технологический номер позиции;высокая
ВЦ-701/1;не машина;не знаю;Позиция по схеме турбокомпрессора ТВ-200-1,4-01.У3;высокая
ВЦ-701/2;не машина;не знаю;Позиция по схеме турбокомпрессора ТВ-200-1,4-01.У3;высокая
ПНД-3;не машина;не знаю;Подогреватель низкого давления №3 (элемент турбинной установки);высокая
ПНД-2;не машина;не знаю;Подогреватель низкого давления №2 (элемент турбинной установки);высокая
TKV-324;центробежный;не знаю;Турбокомпрессор TKV-324 установки ЛЧ-24/7;низкая
А68-00095-0002;не машина;не знаю;Регистрационный номер ОПО;высокая
А68-00095-0003;не машина;не знаю;Регистрационный номер ОПО;высокая
ТВ300-1,6;центробежный;не знаю;Турбокомпрессор воздушный ТВ300-1,6 из состава ЦУХПК;средняя
СМХ-02-0104-2026;не машина;не знаю;Номер заключения экспертизы;высокая
А66-04200-0005;не машина;не знаю;Регистрационный номер ОПО;высокая
М-303/6;не машина;не знаю;Технический номер турбокомпрессора Виола;высокая
П1200;не машина;не знаю;Номер заключения экспертизы;высокая
К 400-51-1;центробежный;не знаю;Центробежный турбокомпрессор К 400-51-1 производства изопренового каучука;низкая
В1-У2;не машина;не знаю;Обозначение климатического исполнения турбокомпрессора 2ТГ-80;высокая
АА-100/3;не машина;не знаю;Неполное обозначение, реальная марка АА-100/35А;высокая
ОГЗ-23;не машина;не знаю;Номер заключения экспертизы;высокая
К-01-03;не машина;не знаю;Технический номер турбокомпрессора АТП5-5/3;высокая
СМХ-02-0103-2026;не машина;не знаю;Номер заключения экспертизы;высокая
БП-04208;не машина;не знаю;Паспортный или инвентарный номер турбокомпрессора ТВ-200-1,4-01.УЗ;высокая
НКТУ-090-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-091-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-085-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-084-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-083-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-082-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-080-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-079-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-078-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-092-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-097-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-101-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
НКТУ-100-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
А68-00343-0002;не машина;не знаю;Регистрационный номер ОПО;высокая
ТВ 500-1,08 МВ1;центробежный;воздух;Турбокомпрессор воздушный ТВ 500-1,08 МВ1;высокая
УТНГП-188-ТТ;не машина;не знаю;Номер заключения экспертизы на трубопровод;высокая
УТНГП-365-НКО;не машина;не знаю;Номер заключения экспертизы;высокая
ТВ-500-1,0;центробежный;воздух;Турбокомпрессор воздушный ТВ-500-1,08М-В1;высокая
ТК-0832-ТТ;не машина;не знаю;Номер заключения экспертизы на трубопровод;высокая
К-500-61-1М;центробежный;не знаю;Турбокомпрессор К-500-61-1М;низкая
УТНГП-357-НКО;не машина;не знаю;Номер заключения экспертизы;высокая
Р-302/1;не машина;не знаю;позиция насоса по технологической схеме;высокая
Н-4/1;не машина;не знаю;позиция оборудования по технологической схеме;высокая
В-2/3;не машина;не знаю;позиция оборудования по технологической схеме;высокая
Н-4/2;не машина;не знаю;позиция оборудования по технологической схеме;высокая
НКНХ-1403-24;не машина;не знаю;номер заключения экспертизы промышленной безопасности;высокая
К-403/3,4;не машина;не знаю;позиция компрессора по технологической схеме;высокая
К-104;не машина;не знаю;позиция технологического трубопровода;высокая
А35-02444-0015;не машина;не знаю;регистрационный номер объекта экспертизы;высокая
ТВ-200-1,12;центробежный;воздух;воздушный турбокомпрессор производительностью 200 м³/мин, давление 1,12 МПа;высокая
НКНХ-1920-24;не машина;не знаю;номер заключения экспертизы промышленной безопасности;высокая
АТКА-545-5000;центробежный;не знаю;агрегат турбокомпрессорный;средняя
АТК-3/2;не машина;не знаю;позиция турбокомпрессора по технологической схеме;высокая
УТНГП-130-НКО;не машина;не знаю;часть номера заключения экспертизы;высокая
ТК6-RPA;центробежный;не знаю;центробежный турбокомпрессор Галя-Э;средняя
ДОФ-3;не машина;не знаю;название производственной площадки или цеха;средняя
М-5/1;не машина;не знаю;позиция турбокомпрессора по технологической схеме;высокая
ВПЗ 9,6/120;центробежный;воздух;воздушный турбокомпрессор производства Невского завода;высокая
Д-2-6-3-5;не машина;не знаю;номер цеха, участка или производственной площадки;средняя
А70-00187-0012;не машина;не знаю;регистрационный номер объекта экспертизы;высокая
АТКА-445-8000;центробежный;не знаю;агрегат турбокомпрессорный;средняя
А70-00187-0013;не машина;не знаю;регистрационный номер объекта экспертизы;высокая
А70-00187-0011;не машина;не знаю;регистрационный номер объекта экспертизы;высокая
Тк-3/2;не машина;не знаю;технологическая позиция турбокомпрессора;высокая
TKL 13.13-56.9;центробежный;не знаю;центробежный турбокомпрессор;средняя
Тк-3/1;не машина;не знаю;технологическая позиция турбокомпрессора;высокая
А01-10817-0010;не машина;не знаю;регистрационный номер объекта экспертизы;высокая
ГНС-919/21-25;не машина;не знаю;часть номера заключения экспертизы;высокая
Т-319;не машина;не знаю;позиция оборудования или сооружения;средняя
IDS30;не машина;не знаю;позиция или индекс оборудования;низкая
ТВ200-1,4;центробежный;воздух;воздушный турбокомпрессор производительностью 200 м³/мин;высокая
К60-М;насос;не знаю;центробежный насос;средняя
ЦНС 38-176;насос;не знаю;центробежный насос секционный;средняя
Тк-317/4;не машина;не знаю;позиция турбокомпрессора по технологической схеме;высокая
ТГ-200-1,4;центробежный;не знаю;газовый турбокомпрессор;средняя
ТВ-23/3;не машина;не знаю;позиция турбокомпрессора по технологической схеме;высокая
ТВ-23/2;не машина;не знаю;позиция турбокомпрессора по технологической схеме;высокая
ТВ-23/1;не машина;не знаю;позиция турбокомпрессора по технологической схеме;высокая
ТКА 11;не машина;не знаю;номер здания укрытия турбокомпрессорного агрегата;высокая
ТКА 12;не машина;не знаю;номер здания укрытия турбокомпрессорного агрегата;высокая
ТКА 13;не машина;не знаю;номер здания укрытия турбокомпрессорного агрегата;высокая
ТВ-22/3;не машина;не знаю;позиция по схеме турбокомпрессора ТВ-80-1,4М-О1;высокая
ТВ-22/2;не машина;не знаю;позиция по схеме турбокомпрессора ТВ-80-1,4М-О1;высокая
ТКА 14;не машина;не знаю;номер здания укрытия турбокомпрессора на КС Пуровская;высокая
ТКА 15;не машина;не знаю;номер здания укрытия турбокомпрессора на КС Пуровская;высокая
ТКА 16;не машина;не знаю;номер здания укрытия турбокомпрессора на КС Пуровская;высокая
ТКА 17;не машина;не знаю;номер здания укрытия турбокомпрессора на КС Пуровская;высокая
ТКА 18;не машина;не знаю;номер здания укрытия турбокомпрессора на КС Пуровская;высокая
ТКА 19;не машина;не знаю;номер здания укрытия турбокомпрессора на КС Пуровская;высокая
ТК-901/1;не машина;не знаю;обозначение здания укрытия под турбокомпрессор;высокая
ТК-901/2;не машина;не знаю;обозначение здания укрытия под турбокомпрессор;высокая
RPА-70;центробежный;попутный нефтяной газ;центробежный турбокомпрессор Светлана на площадке переработки ПНГ;высокая
RPK60;центробежный;попутный нефтяной газ;турбокомпрессор АТП 5-5/3 на площадке переработки ПНГ;высокая
НТК-1;не машина;не знаю;обозначение площадки переработки попутного нефтяного газа;высокая
SM 4000-900-2;центробежный;воздух;турбокомпрессор Samsung на руднике;средняя
ФГВ-132;не машина;не знаю;вероятно, часть позиционного обозначения центрифуги ФГВ-1321У;средняя
ТВ200-1,4-01 У3;центробежный;воздух;турбокомпрессор воздушный многоступенчатый;высокая
МО-318;не машина;не знаю;отсадочная машина обогатительного производства;высокая
МО-212;не машина;не знаю;отсадочная машина обогатительного производства;высокая
ВВН-2-50;вентилятор;воздух;вентилятор высокого давления;средняя
ТВ 80-1,6-01;центробежный;воздух;турбокомпрессор воздушный многоступенчатый;высокая
ЗИФ-1,2,3;не машина;не знаю;обозначение зданий или площадок на опасном объекте;высокая
TM2000-3;центробежный;не знаю;турбокомпрессор Samsung двухступенчатый;средняя
SM6000-2250-1;центробежный;не знаю;турбокомпрессор Samsung двухступенчатый;средняя
С-4001;не машина;не знаю;позиция турбокомпрессора по схеме;высокая
В-82/2;не машина;не знаю;позиция турбокомпрессора ТГ150-1,12М-В1 по схеме;высокая
В-82/1;не машина;не знаю;позиция турбокомпрессора ТГ150-1,12М-В1 по схеме;высокая
К-345-91-1;центробежный;воздух;турбокомпрессор воздушный для ККЦ металлургического производства;высокая
Р44,4-39,4;не машина;не знаю;часть обозначения турбокомпрессора Анна ТК-Р44,4-39,4;высокая
SM6000;центробежный;не знаю;турбокомпрессор Samsung двухступенчатый;средняя
SМ6000;центробежный;не знаю;турбокомпрессор Samsung двухступенчатый;средняя
ТВ-200-1,4-1;центробежный;воздух;турбокомпрессор воздушный на фабрике обогащения угля;высокая
Р44,4-39,5;не машина;не знаю;часть обозначения турбокомпрессора Анна ТК-Р44,4-39,5;высокая
М-101/5;не машина;не знаю;позиция турбокомпрессора агрегата ГТТ-3М по схеме;высокая
М-101/3;не машина;не знаю;позиция турбокомпрессора агрегата ГТТ-3М по схеме;высокая
ТМ 2000-3;центробежный;не знаю;турбокомпрессор Samsung двухступенчатый;средняя
ТВ 250-1,12;центробежный;воздух;турбокомпрессор воздушный многоступенчатый на производстве муки;высокая
ТВ-80;центробежный;воздух;турбокомпрессор воздушный многоступенчатый;высокая
ТВ-175;центробежный;воздух;турбокомпрессор воздушный многоступенчатый;высокая
ТВ-80-1,8-01;центробежный;воздух;турбокомпрессор воздушный многоступенчатый;высокая
Тк-301/1;не машина;не знаю;позиция турбокомпрессора ТК-2R-444 по схеме;высокая
А66-00394-0001;не машина;не знаю;регистрационный номер площадки извлечения золота ЗИФ-1,2,3;высокая
ЦК-100-61;центробежный;технологический газ;центробежный турбокомпрессор на ГХЗ в цехе № 5;средняя
ТКФ-248-4000 НУ6;центробежный;не знаю;центробежный турбокомпрессор производительностью 4000 м³/мин;низкая
ТКФ-248-4000 НУ4;центробежный;не знаю;центробежный турбокомпрессор производительностью 4000 м³/мин;низкая
ТВ80-1,4;центробежный;воздух;турбокомпрессор воздушный производительностью 80 м³/мин, давление 1,4 кгс/см²;высокая
ПХУ-1;не машина;не знаю;площадка или установка подготовки и хранения углеводородов;высокая
ТВ-80-1,6-М1;центробежный;воздух;турбокомпрессор воздушный 80 м³/мин, 1,6 кгс/см², модификация М1;высокая
ТВ-300-1,6-О2;центробежный;кислород;турбокомпрессор кислородный 300 м³/мин, 1,6 кгс/см²;высокая
ФК1592;не машина;не знаю;инвентарный или позиционный номер турбокомпрессора ТВ-200-1,4;высокая
ФК3537;не машина;не знаю;инвентарный или позиционный номер турбокомпрессора ТВ-200-1,4;высокая
К-525-61-5;центробежный;воздух;центробежный турбокомпрессор воздушный производительностью 525 м³/мин на руднике;высокая
ТВ-42/1,4-01;центробежный;не знаю;турбокомпрессор 42 м³/мин, 1,4 кгс/см² на установке подготовки газа;средняя
ТКФ-248-4000 НУ;центробежный;не знаю;центробежный турбокомпрессор производительностью 4000 м³/мин;низкая
СТД 3150-2;не машина;не знаю;стационарная турбодетандерная установка, привод компрессора К-505/525;средняя
К-505/525;центробежный;воздух;центробежный компрессор воздушный производительностью 505-525 м³/мин;средняя
ВЦ-160/9;центробежный;воздух;воздушный центробежный турбокомпрессор 160 м³/мин, 9 кгс/см²;высокая
Тк-308/1;не машина;не знаю;технологический номер турбокомпрессора ТК-R-393 ВЕСНА;высокая
ЗИФ-1,2,3 А66;не машина;не знаю;площадка извлечения золота ЗИФ-1,2,3 с регистрационным номером А66;высокая
ТВ-200-1,12 М1;центробежный;воздух;турбокомпрессор воздушный 200 м³/мин, 1,12 кгс/см², модификация М1;высокая
В-63/3;не машина;не знаю;технологический номер турбокомпрессора ТВ-200-1,12 М1-01;высокая
Д-5-6;не машина;не знаю;номер цеха;высокая
ТВ-80/1;центробежный;воздух;турбокомпрессор воздушный 80 м³/мин, 1,4 кгс/см², модификация М1;высокая
А28-02793-0008;не машина;не знаю;регистрационный номер ОПО апатито-нефелиновой обогатительной фабрики №3;высокая
А28-02793-0006;не машина;не знаю;регистрационный номер ОПО апатито-нефелиновой обогатительной фабрики №2;высокая
Тк-301/4;не машина;не знаю;технологический номер турбокомпрессора ТК-2R-444;высокая
А68-00603-0008;не машина;не знаю;регистрационный номер ОПО площадки обогащения угля ЦОФ «Кузбасская»;высокая
ФК1592/1;не машина;не знаю;инвентарный или позиционный номер турбокомпрессора ТВ-200-1,4;высокая
А28-02793-0001;не машина;не знаю;регистрационный номер ОПО Кировского рудника АО «Апатит»;высокая
В-63/2;не машина;не знаю;технологический номер турбокомпрессора ТВ-200-1,12 М1-01;высокая
ТВ 200-1,12;центробежный;воздух;турбокомпрессор воздушный 200 м³/мин, 1,12 кгс/см²;высокая
А43-00895-0001;не машина;не знаю;регистрационный номер ОПО площадки мостового крана;высокая
Н-311/2;не машина;не знаю;технологический номер насоса шестеренного РЗ-7,5 для подачи масла;высокая
