inn;predpriyatie;zakluchenij_otricatelnyh;iz_nih_ne_sootvetstvuet;sreda;srok;marki;poslednyaya_data;primer_zaklucheniya;chto_v_tekste;ssylka;proverok_nadzora;pokupaet;planiruet;region;telefon_predpriyatiya;lyudej_tehnicheskih;kto
3234043140;"ЗАО ""ГРУППА КРЕМНИЙ ЭЛ""";3;0;газ или иная среда;;А-0,6;23.05.2016;заключение ЭПБ № 08-ТУ-02755-2015;Воздухоразделительная установка А-0,6 №2 в азотно-компрессорной станции ЗАО «Группа Кремний-ЭЛ» (241037, г. Брянск, ул. Красноармейская, 103);https://monitor-pb.ru/conclusion/08-%D0%A2%D0%A3-02755-2015;;;;;;0;
4716028445;"АО ""ЛОТЭК""";3;0;среда не названа;;;25.07.2017;заключение ЭПБ № 20-ТУ-09699-2017;Трубопровод повышенного давления к турбоагрегату ТГ-2, рег. №2118;https://monitor-pb.ru/conclusion/20-%D0%A2%D0%A3-09699-2017;;;;;;0;
5003028028;"ООО ""ГАЗПРОМ ТРАНСГАЗ МОСКВА""";3;0;среда не названа;;;15.01.2015;заключение ЭПБ № 02-ЗС-00295-2015;Здание укрытие газоперекачивающего агрегата № 1 компрессорной станции «Курская», инв. № 106242. (Регистрационный номер ЗЭПБ № ЗС.10.067/2014 от 08.12.2014.);https://monitor-pb.ru/conclusion/02-%D0%97%D0%A1-00295-2015;152;;;;;0;
6167087320;"ООО ""Ростгаз""";3;0;среда не названа;;FAS 942А | LB 942;30.12.2016;заключение ЭПБ № 30-ТУ-14815-2016;компрессорный агрегат FAS LB 942 на базе поршневого компрессора CORKEN, зав. № 742821. Опасный производственный объект Станция газонаполнительная, рег. № А29-04896-0055. ;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-14815-2016;;;;;;0;
7414003633;"ПАО ""ММК""";3;0;газ или иная среда;;;17.03.2023;заключение ЭПБ № 56-ЗС-13409-2022;здание компрессорной станции №1 Кислородной станции №4 (инв. №208000180) Кислородного цеха ПАО «ММК», применяемое на опасном производственном объекте III класса опасности;https://monitor-pb.ru/conclusion/56-%D0%97%D0%A1-13409-2022;96;;;Челябинская;"[""8 800 775-000-5 (Центр информационной ";0;
8913000816;"АО ""ПУРГАЗ""";3;0;среда не названа;;АСВН-80А | АХ 65-50-160Т | Н-1.1 | Н-1.2 | Н-2.1 | Н-2.2 | Н-3.1 | Н-3.2;26.11.2019;заключение ЭПБ № 57-ТУ-43936-2019;Электронасосные агрегаты АХ 65-50-160Т зав. № 9905, 9909, тех. № Н-1.1, Н-1.2, инв. № 2438, насосной химических реагентов, применяемые на опасном производственном объекте;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-43936-2019;4;;;;;0;
9105002604;"ООО ""НОВАТОР""";3;0;среда не названа;;ВХ-350-7-0, | П-220;17.03.2016;заключение ЭПБ № 80-ТУ-00670-2016;Агрегат компрессорный П-220, зав. № 4713;https://monitor-pb.ru/conclusion/80-%D0%A2%D0%A3-00670-2016;;;;;;0;
3414504304;"ООО ""ЛУКОЙЛ-КГПЗ""";2;0;среда не названа;;;27.03.2019;заключение ЭПБ № 39-ЗС-03954-2019;здания и сооружения на опасном производственном объекте, предназначенные для осуществления технологических процессов, хранения сырья или продукции, перемещения людей и гр;https://monitor-pb.ru/conclusion/39-%D0%97%D0%A1-03954-2019;;;;;;0;
4205310868;"ООО ""КХК""";2;0;среда не названа;;;19.05.2020;заключение ЭПБ № 68-ТУ-09515-2020;техническое устройство: двухступенчатый винтовой компрессорный агрегат F2MS3-2500 зав.№ 4858, поз. Агр-5, применяемый на опасном производственном объекте - «Аммиачно-холо;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-09515-2020;;;;;;0;
6315376946;"ПАО ""Т ПЛЮС""";2;0;среда не названа;;;06.09.2021;заключение ЭПБ № 46-ТУ-43889-2021;"""Кран мостовой. Рег. № 29999. Заводской № 521. Год выпуска 1977. Год ввода в эксплуатацию 1977. Грузоподъемность 100/50 т. Назначение: транспортировка деталей турбоагрега";https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-43889-2021;2140;1;1;;;0;
6906011179;"ООО ""Тверская генерация""";2;0;среда не названа;;;27.11.2018;заключение ЭПБ № 05-ТУ-20952-2018;на подогреватель высокого давления ПВД-6, турбоагрегата № 2, зав. № 36530, рег. № 60565, эксплуатируемый на опасном производственном объекте «Площадка главного корпуса ТЭ;https://monitor-pb.ru/conclusion/05-%D0%A2%D0%A3-20952-2018;106;1;;;;0;
7411005872;"ОАО ""КМЗ"" (ИНН 7411005872)";2;0;газ или иная среда;;ВП 16/70;26.11.2018;заключение ЭПБ № 56-ТУ-16562-2018;техническое устройство: компрессор поршневой стационарный воздушный 305 ВП 16/70 (зав. №105596) кислородной станции АО «Копейский машзавод»;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-16562-2018;;;;;;0;
7714626332;"АО ""ЭЙЧ ЭНД ЭН""";2;0;среда не названа;;А 420-7-1-09;17.06.2021;заключение ЭПБ № 43-ТУ-06924-2021;Агрегат винтовой компрессорный А 420-7-1-09 (зав. № 420, техн. № АК2), эксплуатируемый на Филиале «Молочный Комбинат «Эдельвейс» АО «ДАНОН РОССИЯ», Аммиачный компрессорны;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-06924-2021;;;;Тюменская;"[""8 800 600-84-14"", ""+7 (812) 406-84-14 ";0;
7841312071;"ПАО ""ТГК-1""";2;0;среда не названа;;3ПП-3-3ПП-4;23.12.2022;заключение ЭПБ № 26-ТУ-19404-2022;главный паропровод турбоагрегата ст. № 3 (3ПП-3-3ПП-4), рег.№910, применяемый при эксплуатации опасного производственного объекта «Площадка главного корпуса Апатитской ТЭ;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-19404-2022;217;1;;;;0;
0266008329;"ОАО ""Газпром нефтехим Салават""";1;0;среда не названа;;5К500 | К-500-61-1;18.10.2016;заключение ЭПБ № 41-ТУ-32729-2016;Трубопровод оборотной воды на турбокомпрессоре К-500-61-1 поз. 5. Рег. № 5К500.ОВ, об. 264/2 цех № 5 «ГХЗ»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-32729-2016;;;;;;1;Свечников А.В. | главный механик ОАО «Газпром Нефтехим Са |  | очередь обзвона
1121003135;"АО ""СЛПК""";1;0;среда не названа;;;13.09.2020;заключение ЭПБ № 25-ТУ-03421-2020;«Трубопровод конденсата греющего пара с ПВД турбоагрегата ст. № 2Э»;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-03421-2020;344;;;;;0;
1650157635;"ООО ""КАМАЗ-ЭНЕРГО""";1;0;газ или иная среда;;;20.10.2015;заключение ЭПБ № 43-ТУ-10513-2015;Трубопровод сжатого воздуха Кж-1,6 азотно-кислородной станции цеха газоснабжения Трубопровод кислорода цеха от компрессора КЗР до рампы азотно-кислородной станции цеха га;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-10513-2015;;;;;"[""+7 800 551-80-08 (горячая линия компла";0;
1660004878;"АО ""КАЗАНЬКОМПРЕССОРМАШ""";1;0;газ или иная среда;;;26.07.2018;заключение ЭПБ № 43-ЗС-10858-2018;Техническое состояние строительных конструкций площадки станции наполнительной кислородной ОАО «Казанькомпрессормаш»;https://monitor-pb.ru/conclusion/43-%D0%97%D0%A1-10858-2018;18;;;Татарстан;[];0;
2224152758;"АО ""СГК-АЛТАЙ""";1;0;среда не названа;;;04.05.2023;заключение ЭПБ № 68-ЗС-61645-2023;Внутренний маслопровод подпитки турбоагрегатов и ПЭН, рег.№60, эксплуатируемый на опасном производственном объекте «Предприятие (тепловая электростанция (ТЭЦ), осуществля;https://monitor-pb.ru/conclusion/68-%D0%97%D0%A1-61645-2023;;1;;;;0;
2308065678;"ООО ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""";1;0;среда не названа;;;04.03.2022;заключение ЭПБ № 25-ЗС-01063-2022;Здание: Компрессорный цех на 8 агрегатов, инв. № 125868. ОПО-площадка промысловой компрессорной станции. М-е: Республика Коми, Вуктыльский район, 21,5 км на юг от г. Вукт;https://monitor-pb.ru/conclusion/25-%D0%97%D0%A1-01063-2022;65;1;;;;0;
2308128945;"ООО ""ГАЗПРОМ ТРАНСГАЗ КРАСНОДАР""";1;0;газ или иная среда;;;15.10.2019;заключение ЭПБ № 30-ТУ-14364-2019;"Кран шаровой Ду 1200 Ру 8,0 зав.№ б/н, тех.№ 7-1 (Крановый узел 7-1 УП КС «Октябрьская»), инв.№ 106746, на ОПО: Площадка компрессорной станции ""Октябрьская"" Ростовского Л";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-14364-2019;20;;;;;0;
2457080792;"ООО ""МЕДВЕЖИЙ РУЧЕЙ""";1;0;среда не названа;;К-500-61-1;29.08.2023;заключение ЭПБ № 66-ТУ-13351-2023;Заключение № 1357/2022-ЭПБ экспертизы промышленной безопасности на техническое устройство: Турбокомпрессор №2 К-500-61-1 зав. №9825, инв. №33100006355;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-13351-2023;24;;;;;0;
2607018122;"ПАО ""ОГК-2""";1;0;среда не названа;;;07.07.2020;заключение ЭПБ № 03-ЗС-05808-2020;здание дожимной компрессорной станции инв.№ 2207_07-010260 филиала ПАО «ОГК-2»-Рязанская ГРЭС, расположенное по адресу: Рязанская обл., г. Новомичуринск, ул. Промышленная;https://monitor-pb.ru/conclusion/03-%D0%97%D0%A1-05808-2020;;1;;;;0;
2703032881;"ООО ""РН-Комсомольский НПЗ""";1;0;газ или иная среда;;;23.12.2022;заключение ЭПБ № 57-ЗС-55567-2022;сооружения – технологические трубопроводы установки азотной станции с воздушной компрессорной, предназначенных для транспортировки технологических сред на опасном произво;https://monitor-pb.ru/conclusion/57-%D0%97%D0%A1-55567-2022;22;;;;;0;
3128005590;"АО ""ОЗММ""";1;0;газ или иная среда;;;13.03.2018;заключение ЭПБ № 06-ЗС-03291-2018;"здание компрессорной, расположенной на ОПО - Площадка воздухоразделительной станции (кислородная станция) – III класс опасности, рег. № А06-05137-0010 АО ОЗММ""";https://monitor-pb.ru/conclusion/06-%D0%97%D0%A1-03291-2018;;;;;;0;
3329074234;"ООО ""ТЭЗиСПроект""";1;0;среда не названа;;П110 | П220;22.04.2015;заключение ЭПБ № 15-ТУ-04459-2015;техническое диагностирование компрессорных агрегатов П220 зав.№ 2014, П220 зав.№ 8133, П220 зав.№8384, П220 зав.№ 8439, П110 зав.№8201 аммиачно-холодильной установки, при;https://monitor-pb.ru/conclusion/15-%D0%A2%D0%A3-04459-2015;;;;;;0;
3418009283;"АО ""Николаевский маслодельный комбинат""";1;0;среда не названа;;НФ 411;13.12.2019;заключение ЭПБ № 39-ТУ-23904-2019;на техническое устройство: Компрессорный агрегат НФ 411, зав. №411194 применяемое на: ОПО «Аммиачно-холодильная установка» рег. №А39-00312-0002 (III класс опасности) расп;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-23904-2019;;;;;;0;
3435098928;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДЭНЕРГО""";1;0;среда не названа;;;12.12.2022;заключение ЭПБ № 39-ТУ-20873-2022;техническое устройство: Трубопровод «Пар на обогрев фланцев и шпилек турбоагрегата ст.№6», ОПО «Площадка главного корпуса ТЭЦ (г. Волжский)» рег. № А39-03903-0046, III кл;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-20873-2022;;1;;;;0;
4501122913;"ПАО ""КГК""";1;0;среда не названа;;К-2060;21.01.2015;заключение ЭПБ № 55-ТУ-00862-2015;техническое устройство трубопровод отбора пара к ПНД-1, 2, 3 и ПНД-4 турбоагрегата Т-100/130-120-3 ст. №6, рег. № К-2060-Тр;https://monitor-pb.ru/conclusion/55-%D0%A2%D0%A3-00862-2015;;;;Курганская;"[""8 800 101-50-92 (оперативно-диспетчерс";0;
5003065767;"ООО ""ГАЗПРОМ ПХГ""";1;0;среда не названа;;ЭГПА-6.3;03.04.2019;заключение ЭПБ № 51-ЗС-04539-2019;сооружение Фундаменты газоперекачивающих агрегатов ЭГПА-6.3 компрессорного цеха №1 КС Песчаный Умет (инв. № 139967) филиала ООО «Газпром ПХГ» Песчано-Умётское УПХГ. Опасн;https://monitor-pb.ru/conclusion/51-%D0%97%D0%A1-04539-2019;41;1;1;;;0;
5020000618;"ПАО ""Химлаборприбор""";1;0;газ или иная среда;;;11.09.2017;заключение ЭПБ № 02-ЗС-14982-2017;помещение дожимного компрессора в здании кислородной станции №2, принадлежащее ПАО «Химлаборприбор», расположенное по адресу: Московская область, г. Клин, ул. Папивина, д;https://monitor-pb.ru/conclusion/02-%D0%97%D0%A1-14982-2017;;;;;;0;
5053067248;"ООО ""Агрокомплекс ""Иванисово""";1;0;среда не названа;;ТЭЦ-29;15.05.2019;заключение ЭПБ № 02-ЗС-07143-2019;Здание дожимной компрессорной станции, расположенное по адресу: Московская область, г. Электросталь, проезд Энергетиков, д. 2, на опасном производственном объекте рег.№ А;https://monitor-pb.ru/conclusion/02-%D0%97%D0%A1-07143-2019;;;;;;0;
5251008501;"ПАО ""Русполимет""";1;0;газ или иная среда;;;04.06.2019;заключение ЭПБ № 40-ЗС-02532-2019;Здание компрессорной станции кислородно-компрессорного участка ПАО «Русполимет», расположенное по адресу: Нижегородская обл, г. Кулебаки, ул. Восстания, д.1.;https://monitor-pb.ru/conclusion/40-%D0%97%D0%A1-02532-2019;;;;;;0;
5507014923;"ФК ""Иртыш"" Росрезерва";1;0;среда не названа;;2А110-7-1,;02.10.2020;заключение ЭПБ № 60-ТУ-23507-2020;техническое устройство - компрессорный агрегат 2А110-7-1, зав. №8744, применяемое на опасном производственном объекте: «Аммиачно-холодильная установка»;https://monitor-pb.ru/conclusion/60-%D0%A2%D0%A3-23507-2020;;;;;;0;
5904119383;"ОАО ""ТГК-9""";1;0;среда не названа;;;11.08.2014;заключение ЭПБ № 25-ТУ-02822-2014;"главный паропровод турбоагрегата ст. №4 рег. №175 Сосногорской ТЭЦ филиала ОАО ""ТГК-9"" Коми";https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-02822-2014;;;;;;0;
6227007322;"АО ""РНПК""";1;0;среда не названа;;ЛЧ-35-11/600;09.02.2019;заключение ЭПБ № 03-ЗС-01629-2019;здание газовой компрессорной (инв. № 3110283) установки каталитического риформинга ЛЧ-35-11/600 цеха газокаталитического производства (цех № 3) Акционерного общества «Ряз;https://monitor-pb.ru/conclusion/03-%D0%97%D0%A1-01629-2019;26;;;;;1;Язев Кирилл | главный инженер АО «РНПК» |  | очередь обзвона
6318103898;"АО ""АГРЕГАТ""";1;0;среда не названа;;;26.08.2020;заключение ЭПБ № 53-ЗС-16743-2020;Здание компрессорной;https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-16743-2020;;;;;;0;
6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";1;0;газ или иная среда;;Д-7-17-Е3,;13.07.2018;заключение ЭПБ № 53-ЗС-09095-2018;Здание азотно-кислородной компрессорной станции отд. 17, участок Д-7-17-Е3, цеха ТЦЦ, инв. №125. Владелец – ООО «СИБУР Тольятти»;https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-09095-2018;32;;;;;0;
6330017980;"АО ""ННК""";1;0;среда не названа;;К-400-51-2,;29.04.2022;заключение ЭПБ № 53-ТУ-39173-2022;Центробежный компрессор марки К-400-51-2, технологический индекс 3/3, заводской № 6008, АО «Новокуйбышевская нефтехимическая компания» цех №5, отделение 0502.;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-39173-2022;27;;;;;0;
7017368130;"ООО ""Завод углеродистых материалов""";1;0;среда не названа;;Н-400-12-2;08.06.2017;заключение ЭПБ № 68-ТУ-11554-2017;техническое устройство: нагнетатель полукоксового газа Н-400-12-2 № 2 инв. № 508819, отделения конденсации, цеха полукоксования, ООО «Завод углеродистых материалов»;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-11554-2017;9;;;;;0;
7017373959;"АО ""ТОМСКАЯ ГЕНЕРАЦИЯ""";1;0;среда не названа;;;17.02.2023;заключение ЭПБ № 62-ТУ-53233-2023;техническое устройство –Трубопровод подачи пара на эжекторы и уплотнения турбоагрегата ТГ-1, применяемое на опасном производственном объекте «Площадка главного корпуса СП;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-53233-2023;;1;;;;0;
7401000191;"ПАО ""Агрегат""";1;0;среда не названа;;;13.07.2018;заключение ЭПБ № 56-ЗС-08693-2018;Здание компрессорной производственного корпуса 61 (цех 30) на опасном производственном объекте ПАО «АГРЕГАТ» в г. Сим Челябинской области (рег.№ А56-01006-0012, дата реги;https://monitor-pb.ru/conclusion/56-%D0%97%D0%A1-08693-2018;;1;;;;0;
7401016314;"ООО ""КЛЗ"" (ИНН 7401016314)";1;0;газ или иная среда;;;25.12.2017;заключение ЭПБ № 56-ЗС-20582-2017;"здание кислородной станции, расположенное на территории опасного производственного объекта IV класса опасности рег.№А56-72280-0006 ""Площадка компрессорной станции""";https://monitor-pb.ru/conclusion/56-%D0%97%D0%A1-20582-2017;;;;;;0;
7422000795;"ФГУП ""ПО ""МАЯК""";1;0;газ или иная среда;;1ВУВ-45/150,;26.10.2018;заключение ЭПБ № 56-ТУ-14579-2018;водородный компрессорный агрегат 1ВУВ-45/150, зав. № 780746, эксплуатируемый на опасном производственном объекте «Площадка производства спецматериалов завода № 156», рег.;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-14579-2018;;;;Челябинская область;"[""+7 (35130) 3-31-05""]";0;
7724294870;"ОАО ""Мосрыбокомбинат""";1;0;среда не названа;;GSV 111;05.03.2022;заключение ЭПБ № 15-ТУ-02364-2022;ЗАКЛЮЧЕНИЕ №Э/2020-25/Дс-11/4 экспертизы промышленной безопасности на техническое устройство, применяемое на опасном производственном объекте Винтовой компрессорный агрег;https://monitor-pb.ru/conclusion/15-%D0%A2%D0%A3-02364-2022;;;;;;0;
7730239877;АО «ГКНПЦ им. М.В. Хруничева»;1;0;среда не названа;;ВКА-1000;11.12.2019;заключение ЭПБ № 12-ТУ-19792-2019;вакуумный компрессорный агрегат ВКА-1000, зав. № 3, уч. № 6287;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-19792-2019;;;;;;0;
8602067092;"ПАО ""ЮНИПРО""";1;0;среда не названа;;;07.03.2018;заключение ЭПБ № 04-ЗС-03152-2018;здание главного корпуса с фундаментами под котлы и турбоагрегаты филиала «Смоленская ГРЭС» ПАО «Юнипро», эксплуатируемое на опасном производственном объекте «Площадка гла;https://monitor-pb.ru/conclusion/04-%D0%97%D0%A1-03152-2018;37;;;;;0;
8604035473;"ООО ""РН-ЮГАНСКНЕФТЕГАЗ""";1;0;среда не названа;;S-25;17.02.2015;заключение ЭПБ № 58-ТУ-05974-2015;"компрессорный агрегат BOGE S-25, заводской № 19487 ООО ""РН-Юганскнефтегаз"", УППН, ЦППН-3";https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-05974-2015;204;;;;;0;
