mesto,inn,naimenovanie,summa_bez_nds,operaciy,pervaya_pokupka,poslednyaya_pokupka,tip
479,7727159340,"ООО ""НОРГАУ РУССЛАНД""",10583.34,1,13.05.2025,13.05.2025,юрлицо
480,2222849374,"ООО ""НОВОСИБИРСКИЙ МЕЛЬКОМБИНАТ № 1""",8950.00,1,01.09.2025,01.09.2025,юрлицо
481,667323156718,АФАНАСЬЕВ АЛЕКСЕЙ ВАЛЕРЬЕВИЧ,8333.34,2,14.05.2025,22.05.2025,ИП
482,245305206479,КОЗЛОВА ЕЛЕНА АЛЕКСАНДРОВНА,8000.00,1,29.08.2025,29.08.2025,ИП
483,662104669362,ФОМИНЫХ ЮРИЙ ВЛАДИМИРОВИЧ,8000.00,1,20.11.2025,20.11.2025,ИП
484,5902066062,"ООО ""ФЛАМЕНГО""",6958.33,1,06.06.2025,06.06.2025,юрлицо
485,6623029538,"АО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД""",6200.00,1,21.07.2025,21.07.2025,юрлицо
486,666102855642,МИХАЙЛОВ ОЛЕГ ВАДИМОВИЧ,5916.66,1,20.06.2025,20.06.2025,ИП
487,7017156263,"ООО ""ГАЗПРОМ МЕТАНОЛ""",5833.33,1,28.02.2025,28.02.2025,юрлицо
488,6671098732,"ООО ""ГОРЫ УРАЛА""",5250.00,1,13.01.2025,13.01.2025,юрлицо
489,7802762006,"ООО ""ПРОМЫШЛЕННЫЕ СИСТЕМЫ""",4000.00,1,09.07.2025,09.07.2025,юрлицо
490,9702030651,"ООО ""ПНЕВМОПРОГРЕСС""",2916.67,1,03.02.2025,03.02.2025,юрлицо
491,3123216598,"ООО ""ФАБРИКА КОМПРЕССОРОВ""",1550.00,1,16.12.2025,16.12.2025,юрлицо
