inn;predpriyatie;chto_u_nih;moy_yarlyk;citata;ssylka;pochemu
7733857776;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная / воздух;садовый инструмент, не машина;Воздуходувка Makita BHX2501;https://www.roseltorg.ru/procedure/SP9139228/2;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7118009040;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""ГОЛОВЕНЬКОВСКИЙ ДЕТСКИЙ Д";центробежная / воздух;садовый инструмент, не машина;Поставка хозяйственных товаров (воздуходувка, триммер);https://zakupki.mos.ru/need/4524223;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7715731322;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная | не установлен | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Воздуходувка для чистки компьютера от пыли;https://zakupki.mos.ru/auction/9731762;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7806042591;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная | тип не установлен | не установлен / воздух;садовый инструмент, не машина;Поставка компрессора для шкафа холодильного для Государственного бюджетного дошкольного образовательного учреждения детский сад № 16 компенсирующего вида Красногвардейского района Санкт-Петербурга для нужд Санкт-Петербур;https://zakupki.mos.ru/need/5707508;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7806037785;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГИМНАЗИЯ №177;центробежная / воздух;садовый инструмент, не машина;Поставка электрического садового пылесоса-воздуходувки;https://zakupki.mos.ru/need/4246039;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7814046720;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки и лестницы для нужд ГБДОУ № 33 Приморского района Санкт-Петербурга;https://zakupki.mos.ru/need/105862;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
2628016302;АДМИНИСТРАЦИЯ ГОРОДА-КУРОРТА КИСЛОВОДСКА;центробежная / воздух;садовый инструмент, не машина;Приобретение воздуходувки;https://www.roseltorg.ru/procedure/0321300044625000212/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7733054120;Государственное бюджетное учреждение здравоохранения города Москвы «Ту;центробежная | не установлен / воздух;вихревая или роторная воздуходувка, принцип не центробежный;Поставка запасных частей к воздуходувки роторной.;https://zakupki.mos.ru/tender/1388757;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5030032288;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ НАЗАРЬЕВСКАЯ СР;центробежная / воздух;садовый инструмент, не машина;поставка воздуходувки;https://zakupki.mos.ru/need/3795473;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
6629020796;"Общество с ограниченной ответственностью ""Научно-производственное объе";центробежная | не установлен | центробежный насос, не компре / воздух;вихревая или роторная воздуходувка, принцип не центробежный;мониторинг цен в электронной форме на Воздуходувка EVL 31/29 Erstevak;https://www.roseltorg.ru/procedure/ATOM21052600269/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7804068820;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная | не установлен / воздух;садовый инструмент, не машина;85.11;ссылки нет: факт «организация есть в выгрузке площадки», отдельной страницы у него не существует;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7743085720;Государственное бюджетное профессиональное образовательное учреждение ;центробежная | тип не установлен | садовый инструмент, не ма / воздух;садовый инструмент, не машина;Воздуходувка Makita EB5300TH;https://www.roseltorg.ru/procedure/SP9112840/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7818011037;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5784541;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
8906008821;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТ";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки Champion GBR376;https://zakupki.mos.ru/need/5081483;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7728232708;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная / воздух;садовый инструмент, не машина;Воздуходувка, 68Вт Flymart;https://zakupki.mos.ru/auction/9908813;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5004017830;"МУ ЦКТ ""РОДНИКИ""";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки Huter GB-26V;https://zakupki.mos.ru/need/5089722;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7702061938;Государственное бюджетное учреждение города Москвы «Московский городск;центробежная | не установлен / воздух;садовый инструмент, не машина;Стартер для воздуходувки CHAMPION GB-226;https://www.roseltorg.ru/procedure/SP10178158/4;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5075371065;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ РУЗСКОГО ГОРОДСКОГО ОКРУГА;центробежная | тип не установлен | не установлен / воздух;садовый инструмент, не машина;Поставка сварочного аппарата и компрессора;https://zakupki.mos.ru/need/5920212;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7814022800;САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВ;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Поставка кустореза и воздуходувки для хозяйственной службы СПб ГБ ПОУ КПСС в 2025 году.;https://zakupki.mos.ru/need/5815073;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
