marka;fakty;sreda;pochemu;uverennost
C-0247-25;1;воздух;Компрессор серии К-345-92 относится к воздушным турбокомпрессорам.;высокая
ИТН-332;1;воздух;Компрессор серии К-345-92 относится к воздушным турбокомпрессорам.;высокая
C-1015-25;1;воздух;Компрессор серии К-345 относится к воздушным турбокомпрессорам.;высокая
ИТН-334;1;воздух;Компрессор серии К-345-9 является стандартным центробежным воздушным компрессором.;высокая
C-1014-25;1;воздух;Компрессор серии К-345-9 является стандартным центробежным воздушным компрессором.;высокая
ИТН-329;1;воздух;Компрессор серии К-345-9 является стандартным центробежным воздушным компрессором.;высокая
C-1013-25;1;воздух;Компрессор серии К-345-9 относится к центробежным воздушным компрессорам.;высокая
ИТН-307;1;воздух;Оборудование входит в состав воздушного центробежного компрессора серии К-345-9.;высокая
К-60-82-1;1;газ;Компрессор эксплуатируется на производстве этилена для сжатия технологического газа.;средняя
В-403А;1;газ;Машина работает в цехе производства этилена и сжимает углеводородный газ.;средняя
В-403Б;1;газ;Машина работает в цехе производства этилена и сжимает углеводородный газ.;средняя
ВО-26Б/3;1;воздух;Аббревиатура ВО означает воздухоохладитель воздушного центробежного компрессора ЦК-135/8.;высокая
ФМ-26В/2;1;воздух;Компрессор ЦК-135/8 является стандартным центробежным воздушным компрессором.;высокая
J80S/J82A2;1;воздух;Турбокомпрессор двигателей внутреннего сгорания сжимает атмосферный воздух.;высокая
К-24;1;воздух;Обозначение К-24 соответствует распространенной серии поршневых воздушных компрессоров.;высокая
ТГ300-1,18-В1;1;газ;Аббревиатура ТГ в обозначении обозначает турбогазодувку для работы с газом.;высокая
К-210-62-1;1;газ;Компрессор эксплуатируется на объекте производства этилена для сжатия технологического газа.;средняя
В-402А;1;газ;Позиция обозначает компрессор К-210-62-1 на производстве этилена.;средняя
В-402Б;1;газ;Позиция обозначает компрессор К-210-62-1 на производстве этилена.;средняя
К-345/1;1;воздух;Центробежный компрессор К-345 предназначен для сжатия атмосферного воздуха.;высокая
ИТН-330;1;воздух;Устройство входит в состав воздушной компрессорной установки К-345-92-1.;высокая
ИТН-336;1;воздух;Устройство входит в состав воздушной компрессорной установки К-345-92-1.;высокая
ИТН-308;1;воздух;Устройство входит в состав воздушной компрессорной установки К-345-92-1.;высокая
K-3820;1;газ;Компрессор задействован в технологическом процессе производства линейных альфа-олефинов для сжатия газов.;средняя
К-3401;1;газ;Машина используется в составе установки производства линейных альфа-олефинов.;средняя
К-3407;1;газ;Оборудование работает в составе технологической схемы производства линейных альфа-олефинов.;средняя
К-250-6-61-5;1;воздух;Обозначение К-250 относится к известной серии центробежных компрессоров для сжатия атмосферного воздуха.;высокая
ВK-101/1;1;не ясно;В приведенном контексте и маркировке отсутствуют точные сведения о рабочей среде компрессора.;низкая
20MB10;1;не ясно;В контексте и обозначении марки машины нет достаточных данных для однозначного определения сжимаемой среды.;низкая
GВ-352;1;не ясно;Позиционный номер и описание не содержат информации о типе рабочей среды.;низкая
МФТП16;1;не ясно;Внутренний номер договора не дает сведений о сжимаемой среде изготавливаемого турбокомпрессора.;низкая
WD10/WD615;1;воздух;Турбокомпрессор двигателя внутреннего сгорания предназначен для сжатия атмосферного воздуха.;высокая
WD10G/WD615;1;воздух;Турбина двигателя внутреннего сгорания подает сжатый атмосферный воздух в цилиндры.;высокая
П1200;1;газ;Компрессор эксплуатируется в технологическом процессе производства изопрен-мономеров.;средняя
М-303/6;1;газ;Турбокомпрессор Виола используется на объекте производства изопрен-мономеров.;средняя
АТК-3/2;1;газ;Обозначение серии АТК указывает на азотный турбокомпрессорный агрегат.;высокая
М-5/1;1;газ;В контексте прямо указано использование пропанового турбокомпрессора на данной позиции.;высокая
АТКА-445-8000;1;газ;Обозначение серии АТКА указывает на азотный турбокомпрессорный агрегат.;высокая
В-63/3;1;воздух;Обозначение серии ТВ указывает на турбовоздуходувку.;высокая
В-63/2;1;воздух;Обозначение серии ТВ указывает на турбовоздуходувку.;высокая
ТУ-0243-20;1;воздух;Обозначение серии К указывает на центробежный воздушный компрессор.;высокая
ТУ-1139-21;1;воздух;Заключение относится к машине серии ТВ, которая является турбовоздуходувкой.;высокая
В-63/1;1;воздух;Обозначение серии ТВ указывает на турбовоздуходувку.;высокая
С-801В;1;не ясно;В приведённом контексте и обозначении нагнетателя S145/1C сведений о рабочей среде нет.;низкая
С-801А;1;не ясно;В приведённом контексте и обозначении нагнетателя S145/1C сведений о рабочей среде нет.;низкая
C-804А;1;оба;В позиции приведены контексты для двух разных машин, одна из которых подаёт воздух, а вторая работает с газом винилхлоридом.;высокая
С-804А;1;оба;В позиции представлены две разные машины, одна из которых является воздуходувкой, а вторая нагнетателем газа винилхлорида.;высокая
C-804B;1;газ;Обозначение VCM указывает на сжатие монометра винилхлорида.;высокая
С-804В;1;оба;В позиции представлены контексты двух разных машин, работающих на воздухе и на газе.;высокая
ВН-360-22-1;1;воздух;Обозначение серии ВН и текст контекста прямо указывают на воздухонагнетатель.;высокая
Г-320В;1;газ;Обозначение серии ТГ расшифровывается как турбокомпрессор газовый.;высокая
М-303/3;1;не ясно;В приведённом контексте и наименовании Виола отсутствует информация о рабочей среде.;низкая
Г-320А;1;газ;Обозначение серии ТГ расшифровывается как турбокомпрессор газовый.;высокая
АТКП-335-2000;1;газ;Обозначение серии АТКП указывает на турбокомпрессорный агрегат для сжатия газа.;высокая
М-112/1;1;газ;Позиция относится к компрессору серии АТКП, предназначенному для работы с газом.;высокая
TKE14.17;1;не ясно;В обозначении марки TKE 14.17 и приведенном контексте отсутствуют сведения о рабочей среде.;низкая
М-902I;1;воздух;Позиция относится к компрессору К-250-61-2, который является стандартным центробежным воздушным компрессором.;высокая
М-53;1;воздух;Серия АТКА-445 расшифровывается как атмосферный воздушный турбокомпрессорный агрегат.;высокая
М-52;1;воздух;Серия АТКА-445 расшифровывается как атмосферный воздушный турбокомпрессорный агрегат.;высокая
М-22;1;воздух;Серия АТКА-545 расшифровывается как атмосферный воздушный турбокомпрессорный агрегат.;высокая
М-21;1;воздух;Серия АТКА-545 расшифровывается как атмосферный воздушный турбокомпрессорный агрегат.;высокая
М-902/4;1;воздух;Позиция относится к компрессору К-250-61-2, который является стандартным центробежным воздушным компрессором.;высокая
ТУ-1922-21;1;не ясно;Обозначение заключения и марка компрессора 38М10-711 не содержат однозначной информации о рабочей среде.;низкая
ТУ-0389-20;1;воздух;Обозначение серии К-350 указывает на серийный воздушный центробежный компрессор.;высокая
ТУ-0398-20;1;воздух;Обозначение серии К-350 указывает на серийный воздушный центробежный компрессор.;высокая
Н-3/2;1;воздух;Обозначение серии К-400 указывает на серийный воздушный центробежный компрессор.;высокая
К-20;1;не ясно;В приведённом контексте отсутствуют данные о марках компрессорного оборудования и рабочей среде.;низкая
ТК-403/1;1;газ;Установка эксплуатируется в производстве изобутилена и изопрен-мономеров для сжатия технологического газа.;средняя
5RMD56;1;газ;Турбокомпрессор используется в производстве бутадиена и углеводородного сырья для сжатия газа.;средняя
М-303/4;1;газ;Компрессор модели 5RMD 56 применяется на объекте производства углеводородного сырья для сжатия газа.;средняя
TK-2R-444;1;газ;Оборудование эксплуатируется на объекте производства синтетического каучука для сжатия газа.;средняя
М-104/3;1;газ;Компрессор АТКП-435-1600 применяется на товарно-сырьевой базе для сжатия газа.;средняя
М-104/5;1;газ;Компрессор АТКП-435-1600 применяется на товарно-сырьевой базе для сжатия газа.;средняя
LMV-331Р;1;не ясно;В контексте отсутствует информация о рабочей среде компрессора LMV-331Р.;низкая
LМС-331Р;1;не ясно;В контексте отсутствует информация о рабочей среде компрессора LMC-331Р.;низкая
Т702А;1;газ;Оборудование эксплуатируется на участке комплексной подготовки газа.;средняя
Т-702В;1;воздух;В контексте машина прямо названа воздуходувкой.;высокая
ТК6-RPA-56А;1;не ясно;Приведенный контекст не содержит сведений о рабочей среде компрессора.;низкая
TPS57-32;1;не ясно;В контексте отсутствуют данные о сжимаемой рабочей среде.;низкая
ТВ80-1,4-01.УЗ;1;воздух;Серия ТВ означает турбовоздуходувку, а объект применения относится к водоканалу.;высокая
ТУ-1011-21;1;воздух;Марка К-1500-62-2 обозначает стандартный центробежный воздушный компрессор.;высокая
К-119;1;воздух;Марка К-250-61-2 обозначает стандартный центробежный воздушный компрессор.;высокая
Н-902/3;1;воздух;Марка К-250-61-2 обозначает стандартный центробежный воздушный компрессор.;высокая
95C0040;1;газ;В контексте прямо указано, что клапан установлен на газовом компрессоре.;высокая
PSV-3621;1;газ;В контексте указано, что позиция относится к газовому компрессору.;высокая
JOS-15-А;1;не ясно;В приведенном контексте отсутствует информация о рабочей среде клапана.;низкая
К-410;1;не ясно;В приведённом контексте отсутствуют данные о рабочей среде.;низкая
V-400;1;не ясно;Контекст не содержит сведений о рабочей среде этого оборудования.;низкая
V-450;1;не ясно;В тексте контекста нет информации о рабочей среде данной машины.;низкая
ТК23Н-40;1;воздух;Серия ТК обозначает турбокомпрессор наддува ДВС, сжимающий атмосферный воздух.;высокая
CАТ345;1;воздух;Турбокомпрессор экскаватора CAT 345 сжимает атмосферный воздух для наддува двигателя.;средняя
HX82;1;воздух;Турбокомпрессор серии HX предназначен для подачи атмосферного воздуха в цилиндры ДВС.;высокая
ISX15;1;воздух;Турбокомпрессор двигателя Cummins ISX15 используется для сжатия атмосферного воздуха.;высокая
QSX15;1;воздух;Турбокомпрессор дизельного двигателя сжимает атмосферный воздух для подачи в цилиндры.;высокая
CPU315-5;1;воздух;Турбокомпрессор на объекте Водоканала предназначен для аэрации очистных сооружений воздухом.;средняя
Н-650-21-2;1;газ;Обозначение Н и контекст прямо указывают на нагнетатель природного газа.;высокая
Н-650-23-1;1;газ;Серия Н обозначает центробежный нагнетатель природного газа для газоперекачивающих агрегатов.;высокая
1ХГО-9/1;1;не ясно;В приведенном контексте отсутствуют данные о рабочей среде технологического трубопровода.;низкая
НТ-194;1;не ясно;Регистрационный номер трубопровода не позволяет определить рабочую среду.;низкая
НТ-195;1;не ясно;Регистрационный номер трубопровода не содержит информации о перекачиваемой среде.;низкая
К-380-120-1;1;газ;Компрессорный агрегат применяется на газоперерабатывающем объекте для сжатия газа.;средняя
К201А;1;газ;Компрессор с позиционным обозначением К201А эксплуатируется на газоперерабатывающем производстве.;средняя
К201В;1;газ;Компрессор с позиционным обозначением К201В эксплуатируется на газоперерабатывающем производстве.;средняя
660К-01-02;1;газ;Обозначение АТП расшифровывается как азотный турбокомпрессор, азот относится к газам.;высокая
460К-01-02;1;газ;Обозначение АТП расшифровывается как азотный турбокомпрессор, азот относится к газам.;высокая
К-01-03;1;газ;Обозначение АТП расшифровывается как азотный турбокомпрессор, азот относится к газам.;высокая
660К-01-04;1;газ;Обозначение АТП расшифровывается как азотный турбокомпрессор, азот относится к газам.;высокая
ТВ500-1,08;1;воздух;Префикс ТВ в обозначении серии означает турбовоздуходувку.;высокая
08В-2;1;воздух;По контексту машина является турбокомпрессором серии ТВ, то есть турбовоздуходувкой.;высокая
У-08;1;воздух;На данной установке эксплуатируется турбовоздуходувка серии ТВ для сжатия воздуха.;высокая
ТВ-500-1,08М-В1;1;воздух;Префикс ТВ в обозначении серии означает турбовоздуходувку.;высокая
У-07/08;1;воздух;Все указанные в контексте для этой установки машины являются воздуходувками и турбовоздуходувками.;высокая
VRM-200/490;1;газ;Центробежный компрессор на технологической установке нефтепереработки сжимает водородосодержащий или углеводородный газ.;средняя
661МН-01-01;1;газ;Обозначение ГПА в составе компрессорного узла указывает на работу с газом.;высокая
661МН-01-02;1;газ;Насос входит в состав компрессорного агрегата ГПА, предназначенного для газа.;высокая
661МН-03-01;1;газ;Пусковой насос относится к компрессорной установке ГПА для перекачки газа.;высокая
661ГПА-01-02;1;газ;Аббревиатура ГПА обозначает газоперекачивающий агрегат.;высокая
661МН-02-01;1;газ;Обозначение ГПА в составе агрегата подтверждает газовую рабочую среду.;высокая
Ш40-4-19,5;1;газ;Насос входит в комплектность газоперекачивающего агрегата ГПА.;высокая
ТВ500-1,08/В-1;1;воздух;Серия ТВ обозначает турбовоздуходувку, предназначенную для сжатия воздуха.;высокая
07В-2;1;воздух;Маркировка относится к турбокомпрессору серии ТВ, работающему на воздухе.;высокая
У-07-08;1;воздух;Установка оснащена турбокомпрессором серии ТВ для подачи воздуха.;средняя
660К-01-01;1;не ясно;Приведенных контекстов и обозначения АТП5-5/3 недостаточно для точного определения рабочей среды.;низкая
6MP3-2F;1;не ясно;В контексте и маркировке турбины отсутствуют сведения о сжимаемой среде компрессора.;низкая
КТ02А;1;не ясно;Позиция относится к приводной турбине, а сжимаемая компрессором среда не указана.;низкая
661МН-03;1;газ;Обозначение агрегата 661ГПА содержит аббревиатуру ГПА, обозначающую газоперекачивающий агрегат.;высокая
661МН-01;1;газ;Маркировка 661ГПА указывает на принадлежность компрессора к газоперекачивающему агрегату.;высокая
Ш40-4-19,5/4;1;газ;Маслонасос обслуживает компрессор в составе газоперекачивающего агрегата 661ГПА.;высокая
КР-01-01;1;газ;Компрессор эксплуатируется на гелиевом заводе для перекачки газовой смеси.;средняя
K-201B;1;газ;Оборудование завода стабилизации конденсата предназначено для переработки углеводородного газа.;средняя
K-201А;1;газ;Компрессор установлен на заводе стабилизации конденсата для сжатия углеводородного газа.;средняя
К-12;1;не ясно;В приведённом контексте отсутствуют данные о технологической среде компрессора.;низкая
К-03;1;не ясно;Приведённой информации недостаточно для однозначного определения сжимаемой среды.;низкая
ЦК-101/1;1;газ;Компрессор серии 4ГЦ2 эксплуатируется в газовой компрессорной.;высокая
ЦК-101/2;1;газ;Компрессор серии 4ГЦ2 работает в газовой компрессорной.;высокая
КМ-01А;1;воздух;Компрессор ЦК-135/8М1 установлен на азотно-кислородной станции.;высокая
Н01А;1;воздух;Маслонасос входит в состав воздушного компрессорного агрегата установки КВК.;высокая
КМ-01В;1;воздух;Компрессор ЦК-135/8М1 эксплуатируется на азотно-кислородной станции.;высокая
Н01В;1;воздух;Маслонасос обслуживает воздушный компрессорный агрегат установки КВК.;высокая
К6-30П;1;газ;Паровая турбина приводила центробежный газовый компрессор серии 5ЦД.;высокая
ТМП-6-20;1;газ;Турбомаслонасос входит в состав газового компрессорного агрегата 5ЦД.;высокая
НШ280-5;1;газ;Оборудование входит в состав газового компрессорного агрегата серии 5ЦД.;высокая
К02А;1;оба;Под данной позицией в контекстах указаны воздуходувка UNILINE и газовый компрессор RD7B.;высокая
171ГПА-1;1;газ;Буквы ГПА в обозначении означают газоперекачивающий агрегат.;высокая
3МCL1007;1;газ;Серия компрессоров MCL фирмы Nuovo Pignone предназначена для сжатия газа.;высокая
10С301С;1;газ;Контекст прямо указывает на применение компрессора в цехе очистки газа от сернистых соединений.;высокая
10С301А;1;газ;В контексте указано применение компрессора на установке очистки газов от сернистых соединений.;высокая
RC5-4B;1;газ;Компрессоры серии RC компании Dresser-Rand разработаны для перекачки газа.;высокая
У-80;1;газ;Установка У-80 входит в технологический комплекс газоперерабатывающего завода.;средняя
3MCL1007;1;газ;Серия компрессоров MCL фирмы Nuovo Pignone предназначена для работы с газом.;высокая
671ГПА-01;1;газ;Обозначение ГПА расшифровывается как газоперекачивающий агрегат.;высокая
331АК01-1;1;газ;Индекс ГЦ в маркировке компрессора обозначает газовый центробежный компрессор.;высокая
331АК01-2;1;газ;Индекс ГЦ в маркировке компрессора обозначает газовый центробежный компрессор.;высокая
ДП-2024-060;1;газ;В контексте указан газоперекачивающий агрегат с центробежным нагнетателем природного газа.;высокая
КС-15;1;газ;Контекст прямо указывает на размещение на объекте нагнетателей природного газа.;высокая
ДП-2025-007;1;газ;Оборудование входит в состав газоперекачивающей установки с центробежным нагнетателем.;высокая
ГТК10ИР;1;газ;Марка и контекст относятся к газоперекачивающему агрегату для перекачки газа.;высокая
ГТ750-6;1;газ;Газотурбинная установка работает в составе газоперекачивающего агрегата с нагнетателем газа.;высокая
М330;1;газ;Заводской номер относится к газотурбинной установке газоперекачивающего агрегата.;высокая
РП8-1В;1;не ясно;Обозначение относится к ручному мостовому крану, а не к компрессорному оборудованию.;низкая
РП8-2В;1;не ясно;Марка принадлежит подъемно-транспортному крану, а не компрессорной машине.;низкая
ГПУ-10;1;газ;Контекст прямо указывает на состав газоперекачивающей установки с нагнетателем природного газа.;высокая
5RSA39;1;не ясно;В приведенном контексте и марке компрессора отсутствуют данные о рабочей среде.;низкая
С601;1;газ;Компрессор эксплуатируется в технологическом процессе производства полипропилена.;средняя
SRL60;1;газ;Компрессор работает в отделении полимеризации производства полипропилена с технологическим газом.;средняя
C401;1;газ;Позиция C401 относится к компрессору отделения полимеризации производства полипропилена.;средняя
М-101/1,2;1;газ;Контекст прямо указывает на трубопровод пропилена от данного нагнетателя.;высокая
Е-116;1;газ;Аппарат установлен на трубопроводе пропилена.;высокая
М-101/II;1;газ;Нагнетатель типа 133-21-1 используется в производстве синтетического этилового спирта для перекачки газа.;средняя
М-101/I;1;газ;Нагнетатель типа 133-21-1 задействован в производстве синтетического этилового спирта.;средняя
А1/1-3;1;не ясно;Из описания маслобака турбокомпрессоров перекачиваемая среда однозначно не определяется.;низкая
6ТК12.00;1;воздух;Обозначение серии 6ТК указывает на турбокомпрессор наддува дизельного двигателя для подавления воздуха.;высокая
ТВ175-1;1;воздух;Серия ТВ расшифровывается как турбовоздуходувка, подающая воздух.;высокая
ТВ50-1,6-01.УЗ;1;воздух;Обозначение серии ТВ указывает на турбовоздуходувку для сжатия воздуха.;высокая
NT1-10A;1;воздух;Турбокомпрессоры серии Napier NT1 предназначены для подавления и сжатия воздуха наддува двигателей.;высокая
ТМ-03;1;воздух;Упомянутый в контексте компрессор К-250-61-5 является воздушным.;высокая
СТД-630-23;1;воздух;Оборудование используется на участке биологической очистки стоков для аэрации.;средняя
К-250-61-5М;1;воздух;Обозначение серии К-250 указывает на центробежный воздушный компрессор.;высокая
B4606;1;газ;Марка CDP-224 относится к центробежным нагнетателям природного газа.;высокая
В4630;1;газ;Марка CDP-224 относится к центробежным нагнетателям природного газа.;высокая
Н-370-18-2;1;газ;В контексте прямо указано определение нагнетатель природного газа.;высокая
2Н-16-76-1,4;1;газ;Обозначение серии 2Н указывает на центробежный нагнетатель природного газа.;высокая
КС-16;1;газ;В контексте прямо указано размещение нагнетателя природного газа.;высокая
Г43-107;1;газ;Оборудование входит в состав установки газокаталитического производства для переработки технологического газа.;средняя
Н-215/1;1;газ;Агрегат обеспечивает маслоснабжение нагнетателей технологического газа на газокаталитическом производстве.;средняя
ЦК-201-2;1;газ;Центробежный компрессор работает в составе установки газокаталитического производства для сжатия газа.;средняя
ЦК-201-3;1;газ;Центробежный компрессор предназначен для перекачки технологического газа на газокаталитическом производстве.;средняя
ТВ-80-1,4М1-01;1;воздух;Обозначение серии ТВ расшифровывается как турбовоздуходувка и предназначена для подачи воздуха.;высокая
АЛ-31;1;газ;Двигатель является приводом центробежного компрессора для транспортировки природного газа на компрессорной станции.;высокая
СПЧ370-76-1,24;1;газ;Сменная проточная часть предназначена для центробежного нагнетателя природного газа на компрессорной станции.;высокая
ДР59Л;1;газ;Газотурбинный двигатель входит в состав газоперекачивающего агрегата для перекачки природного газа.;высокая
Н-370-18-01;1;газ;Обозначение Н указывает на центробежный нагнетатель природного газа для компрессорных станций.;высокая
SRL-60;1;не ясно;Приведенный контекст и марка компрессора не содержат достаточных сведений для определения рабочей среды.;низкая
К-1002В;1;воздух;Модель К-270-61-1 относится к стандартной серии центробежных воздушных компрессоров.;высокая
32ВЦ-109/9;1;воздух;В контексте прямо указано, что компрессор 32ВЦ-109/9 является воздушным.;высокая
ПК-1,2;1;не ясно;В представленном контексте отсутствуют данные о рабочей среде оборудования ПК-1,2.;низкая
RB4B;1;газ;Центробежный компрессор типа RB4B используется для перекачки технологических газов на установках гидрокрекинга и производства бензола.;средняя
К-151;1;газ;Технологический номер К-151 присвоен газовому центробежному компрессору RB4B комплекса гидрокрекинга.;средняя
Н215-1;1;не ясно;Обозначение Н215-1 относится к масляному насосу системы смазки нагнетателей, сведения о сжимаемой среде отсутствуют.;низкая
ЦК201-1;1;газ;Нагнетатели серии ЦК201-1 входят в состав компрессорной станции газокаталитического производства и предназначен для сжатия технологического газа.;средняя
II-17;1;не ясно;Обозначение II-17 является регистрационным номером технологического трубопровода.;низкая
Е309;1;не ясно;Обозначение Е309 относится к дренажной емкости продувки корпусов нагнетателей, а не к компрессорной машине.;низкая
К0334-04/20;1;не ясно;Обозначение К0334-04/20 является номером заключения экспертизы промышленной безопасности.;низкая
II-18;1;не ясно;Обозначение относится к объекту масляного хозяйства и не содержит сведений о рабочей среде компрессора;низкая
ВД-301;1;воздух;Марка РТКВ и индекс ВД обозначают воздушный турбокомпрессор воздуходувку;высокая
ВД-1Д;1;воздух;Марка РТКВ обозначает воздушный турбокомпрессор для подачи воздуха;высокая
20М6-5;1;газ;Компрессор эксплуатируется на установке замедленного коксования для сжатия жирного газа;средняя
ВК-201;1;газ;Технологический индекс относится к компрессору газа установки замедленного коксования;средняя
Н2470-31-1;1;воздух;Серия Н2470 представляет собой воздуходувку для регенерации катализатора крекинга;высокая
НПС200-700;1;газ;Компрессор предназначен для транспортировки углеводородного газа установки висбрекинга;средняя
Н-204;1;газ;Индекс принадлежит компрессору сжатия углеводородного газа установки висбрекинга;средняя
ВД-1Б;1;воздух;Марка РТКВ обозначает воздушный турбокомпрессор;высокая
ВД-1А;1;воздух;В контексте машина прямо названа воздушным турбокомпрессором;высокая
ТВ-22/2;1;воздух;Обозначение ТВ указывает на турбовоздуходувку.;высокая
B-13;1;не ясно;Контекст и обозначение не содержат сведений о рабочей среде компрессора.;низкая
ТВ200-1,4М1-01;1;воздух;Обозначение ТВ указывает на турбовоздуходувку.;высокая
К-400;1;воздух;Серия К обозначает центробежный воздушный компрессор.;высокая
НГ360-21-1;1;газ;Обозначение НГ расшифровывается как нагнетатель газовый.;высокая
ТВ50-1,6;1;воздух;Обозначение ТВ указывает на турбовоздуходувку, а привязка к БОС подтверждает подачу воздуха.;высокая
SM4000-900-2;1;воздух;Серия SM является центробежным воздушным компрессором для снабжения рудника воздухом.;высокая
2ГЦ2-18/13-33;1;газ;В контексте прямо указано назначение машины для топливного газа, а серия ГЦ означает газовый центробежный компрессор.;высокая
Н-215-2;1;не ясно;В контексте приведены лишь данные по масляной системе и позиции оборудования, а среда не указана.;низкая
Е-211-1;1;не ясно;В контексте не содержится сведений о рабочей среде этой позиции оборудования.;низкая
М-2/4;1;воздух;Компрессор серии К-250 является стандартным центробежным воздушным компрессором.;высокая
Р-10/2;1;воздух;В данном отделении установлен центробежный воздушный компрессор марки К-250-61-2.;высокая
К-18/1,2;1;не ясно;В контексте указано только обозначение технологической позиции без марки компрессора и состава среды.;низкая
Т-14/1,2;1;не ясно;В контексте указано только обозначение технологической позиции без марки компрессора и состава среды.;низкая
Т-17/1,2;1;не ясно;В контексте указано только обозначение технологической позиции без марки компрессора и состава среды.;низкая
С-471-В;1;газ;Аббревиатура ХТК обозначает хлорный турбокомпрессор для сжатия хлора.;высокая
С-471-Д;1;газ;Обозначение ХТК расшифровывается как хлорный турбокомпрессор для сжатия хлора.;высокая
C-710C;1;газ;Маркировка 4VRZ относится к многовальным центробежным компрессорам для технологического газа.;высокая
ГЦ-86/3-7,1-У2;1;газ;Обозначение серии ГЦ расшифровывается как газовый центробежный компрессор.;высокая
М-118В;1;газ;Машина данной позиции имеет марку ГЦ, означающую газовый центробежный компрессор.;высокая
КА7-IVS;1;воздух;Обозначение серии КА7 относится к центробежным воздушным компрессорам.;высокая
С-710А;1;воздух;Обозначение серии КА7 относится к центробежным воздушным компрессорам.;высокая
С-710С;1;не ясно;Обозначение серии 4VRZ указывает на тип конструкции машинного агрегата и не содержит сведений о рабочей среде.;низкая
С-471В;1;газ;Обозначение серии ХТК расшифровывается как хлорный турбокомпрессор, предназначенный для сжатия газа.;высокая
